Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F20,Undergraduate,ASTRO     1,LUBIN P,A+,4
F20,Undergraduate,ASTRO     1,LUBIN P,A,122
F20,Undergraduate,ASTRO     1,LUBIN P,A-,22
F20,Undergraduate,ASTRO     1,LUBIN P,B+,11
F20,Undergraduate,ASTRO     1,LUBIN P,B,13
F20,Undergraduate,ASTRO     1,LUBIN P,B-,2
F20,Undergraduate,ASTRO     1,LUBIN P,C+,1
F20,Undergraduate,ASTRO     1,LUBIN P,C,16
F20,Undergraduate,ASTRO     1,LUBIN P,D,5
F20,Undergraduate,ASTRO     1,LUBIN P,F,16
F20,Undergraduate,ASTRO     1H,LUBIN P,A,6
