Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F20,Undergraduate,ENGL     10,GRIFFIN A R,A+,40
F20,Undergraduate,ENGL     10,GRIFFIN A R,A,162
F20,Undergraduate,ENGL     10,GRIFFIN A R,A-,38
F20,Undergraduate,ENGL     10,GRIFFIN A R,B+,25
F20,Undergraduate,ENGL     10,GRIFFIN A R,B,8
F20,Undergraduate,ENGL     10,GRIFFIN A R,B-,1
F20,Undergraduate,ENGL     10,GRIFFIN A R,C+,1
F20,Undergraduate,ENGL     10,GRIFFIN A R,C,1
F20,Undergraduate,ENGL     10,GRIFFIN A R,C-,1
F20,Undergraduate,ENGL     10,GRIFFIN A R,F,8
F20,Undergraduate,ENGL     10S,GRIFFIN A R,A+,4
F20,Undergraduate,ENGL     10S,GRIFFIN A R,A,8
F20,Undergraduate,ENGL     15,KEARNEY J J,A+,4
F20,Undergraduate,ENGL     15,KEARNEY J J,A,129
F20,Undergraduate,ENGL     15,KEARNEY J J,A-,75
F20,Undergraduate,ENGL     15,KEARNEY J J,B+,25
F20,Undergraduate,ENGL     15,KEARNEY J J,B,26
F20,Undergraduate,ENGL     15,KEARNEY J J,B-,3
F20,Undergraduate,ENGL     15,KEARNEY J J,C+,4
F20,Undergraduate,ENGL     15,KEARNEY J J,C,2
F20,Undergraduate,ENGL     15,KEARNEY J J,C-,2
F20,Undergraduate,ENGL     15,KEARNEY J J,D+,1
F20,Undergraduate,ENGL     15,KEARNEY J J,D-,2
F20,Undergraduate,ENGL     15,KEARNEY J J,F,8
F20,Undergraduate,ENGL     15S,KEARNEY J J,A,8
F20,Undergraduate,ENGL     22,HILTNER K C,A+,94
F20,Undergraduate,ENGL     22,HILTNER K C,A,308
F20,Undergraduate,ENGL     22,HILTNER K C,A-,156
F20,Undergraduate,ENGL     22,HILTNER K C,B+,115
F20,Undergraduate,ENGL     22,HILTNER K C,B,89
F20,Undergraduate,ENGL     22,HILTNER K C,B-,56
F20,Undergraduate,ENGL     22,HILTNER K C,C+,29
F20,Undergraduate,ENGL     22,HILTNER K C,C,30
F20,Undergraduate,ENGL     22,HILTNER K C,C-,13
F20,Undergraduate,ENGL     22,HILTNER K C,D+,9
F20,Undergraduate,ENGL     22,HILTNER K C,D,5
F20,Undergraduate,ENGL     22,HILTNER K C,D-,5
F20,Undergraduate,ENGL     22,HILTNER K C,F,17
F20,Undergraduate,ENGL     22S,HILTNER K C,A,21
F20,Undergraduate,ENGL     50,BLAKE F D,A+,19
F20,Undergraduate,ENGL     50,BLAKE F D,A,74
F20,Undergraduate,ENGL     50,BLAKE F D,A-,47
F20,Undergraduate,ENGL     50,BLAKE F D,B+,28
F20,Undergraduate,ENGL     50,BLAKE F D,B,9
F20,Undergraduate,ENGL     50,BLAKE F D,B-,7
F20,Undergraduate,ENGL     50,BLAKE F D,C+,3
F20,Undergraduate,ENGL     50,BLAKE F D,C,3
F20,Undergraduate,ENGL     50,BLAKE F D,C-,2
F20,Undergraduate,ENGL     50,BLAKE F D,D,1
F20,Undergraduate,ENGL     50,BLAKE F D,F,2
F20,Undergraduate,ENGL     50S,BLAKE F D,A+,4
F20,Undergraduate,ENGL     50S,BLAKE F D,A,5
F20,Undergraduate,ENGL     65LC,WICKE J A,A+,112
F20,Undergraduate,ENGL     65LC,WICKE J A,A,56
F20,Undergraduate,ENGL     65LC,WICKE J A,A-,4
F20,Undergraduate,ENGL     65LC,WICKE J A,B+,2
F20,Undergraduate,ENGL     65LC,WICKE J A,B,3
F20,Undergraduate,ENGL     65LC,WICKE J A,B-,2
F20,Undergraduate,ENGL     65LC,WICKE J A,C+,6
F20,Undergraduate,ENGL     65LC,WICKE J A,C,1
F20,Undergraduate,ENGL     65LC,WICKE J A,F,1
F20,Undergraduate,ENGL     99,JUE M C,A,15
F20,Undergraduate,ENGL    101,REEVE D J,A+,7
F20,Undergraduate,ENGL    101,REEVE D J,A,26
F20,Undergraduate,ENGL    101,REEVE D J,A-,51
F20,Undergraduate,ENGL    101,REEVE D J,B+,56
F20,Undergraduate,ENGL    101,REEVE D J,B,18
F20,Undergraduate,ENGL    101,REEVE D J,B-,12
F20,Undergraduate,ENGL    101,REEVE D J,C+,3
F20,Undergraduate,ENGL    101,REEVE D J,C,3
F20,Undergraduate,ENGL    101,REEVE D J,F,7
F20,Undergraduate,ENGL    101S,REEVE D J,A+,4
F20,Undergraduate,ENGL    101S,REEVE D J,A,3
F20,Undergraduate,ENGL    102,CORTES P J,A+,17
F20,Undergraduate,ENGL    102,CORTES P J,A,17
F20,Undergraduate,ENGL    102,CORTES P J,A-,3
F20,Undergraduate,ENGL    102,CORTES P J,B+,3
F20,Undergraduate,ENGL    102,CORTES P J,B,1
F20,Undergraduate,ENGL    102,CORTES P J,C,1
F20,Undergraduate,ENGL    102,CORTES P J,F,1
F20,Undergraduate,ENGL    103A,MASLAN M J,A+,13
F20,Undergraduate,ENGL    103A,MASLAN M J,A,28
F20,Undergraduate,ENGL    103A,MASLAN M J,A-,20
F20,Undergraduate,ENGL    103A,MASLAN M J,B+,11
F20,Undergraduate,ENGL    103A,MASLAN M J,B,10
F20,Undergraduate,ENGL    103A,MASLAN M J,B-,15
F20,Undergraduate,ENGL    103A,MASLAN M J,C+,7
F20,Undergraduate,ENGL    103A,MASLAN M J,C,1
F20,Undergraduate,ENGL    103A,MASLAN M J,C-,2
F20,Undergraduate,ENGL    103A,MASLAN M J,F,12
F20,Undergraduate,ENGL    103AS,MASLAN M J,A,9
F20,Undergraduate,ENGL    106CW,DONNELLY B,A,25
F20,Undergraduate,ENGL    106CW,DONNELLY B,A-,3
F20,Undergraduate,ENGL    106CW,DONNELLY B,F,1
F20,Undergraduate,ENGL    122CM,HILTNER K C,A+,2
F20,Undergraduate,ENGL    122CM,HILTNER K C,A,27
F20,Undergraduate,ENGL    122CM,HILTNER K C,A-,5
F20,Undergraduate,ENGL    122FE,SHEWRY T J,A+,1
F20,Undergraduate,ENGL    122FE,SHEWRY T J,A,22
F20,Undergraduate,ENGL    122FE,SHEWRY T J,A-,8
F20,Undergraduate,ENGL    122FE,SHEWRY T J,B+,4
F20,Undergraduate,ENGL    122FE,SHEWRY T J,B,1
F20,Undergraduate,ENGL    140,JUE M C,A+,7
F20,Undergraduate,ENGL    140,JUE M C,A,16
F20,Undergraduate,ENGL    140,JUE M C,A-,4
F20,Undergraduate,ENGL    140,JUE M C,B+,2
F20,Undergraduate,ENGL    140,JUE M C,B,2
F20,Undergraduate,ENGL    140,JUE M C,B-,1
F20,Undergraduate,ENGL    140,JUE M C,C+,1
F20,Undergraduate,ENGL    140,JUE M C,F,2
F20,Undergraduate,ENGL    147OM,JUE M C,A+,8
F20,Undergraduate,ENGL    147OM,JUE M C,A,9
F20,Undergraduate,ENGL    147OM,JUE M C,A-,2
F20,Undergraduate,ENGL    147OM,JUE M C,B,3
F20,Undergraduate,ENGL    147OM,JUE M C,C+,1
F20,Undergraduate,ENGL    147OM,JUE M C,C-,2
F20,Undergraduate,ENGL    147OM,JUE M C,F,2
F20,Undergraduate,ENGL    165LP,SHEWRY T J,A,12
F20,Undergraduate,ENGL    165LP,SHEWRY T J,A-,10
F20,Undergraduate,ENGL    165LP,SHEWRY T J,B+,1
F20,Undergraduate,ENGL    165LP,SHEWRY T J,B-,1
F20,Undergraduate,ENGL    165LP,SHEWRY T J,F,2
F20,Undergraduate,ENGL    165LW,LIM S,A+,7
F20,Undergraduate,ENGL    165LW,LIM S,A,13
F20,Undergraduate,ENGL    165LW,LIM S,A-,4
F20,Undergraduate,ENGL    165LW,LIM S,B,2
F20,Undergraduate,ENGL    165LW,LIM S,F,2
F20,Undergraduate,ENGL    179,DONELAN J H,A,16
F20,Undergraduate,ENGL    179,DONELAN J H,A-,11
F20,Undergraduate,ENGL    179,DONELAN J H,B+,3
F20,Undergraduate,ENGL    179,DONELAN J H,F,1
F20,Undergraduate,ENGL    192DF,DONNELLY B,A+,6
F20,Undergraduate,ENGL    192DF,DONNELLY B,A,59
F20,Undergraduate,ENGL    192DF,DONNELLY B,A-,42
F20,Undergraduate,ENGL    192DF,DONNELLY B,B+,38
F20,Undergraduate,ENGL    192DF,DONNELLY B,B,18
F20,Undergraduate,ENGL    192DF,DONNELLY B,B-,6
F20,Undergraduate,ENGL    192DF,DONNELLY B,C+,5
F20,Undergraduate,ENGL    192DF,DONNELLY B,C,5
F20,Undergraduate,ENGL    192DF,DONNELLY B,C-,1
F20,Undergraduate,ENGL    192DF,DONNELLY B,D-,1
F20,Undergraduate,ENGL    192DF,DONNELLY B,F,5
F20,Undergraduate,ENGL    197,DONNELLY B,A,6
F20,Undergraduate,ENGL    197,DONNELLY B,A-,4
F20,Undergraduate,ENGL    197,DONNELLY B,B+,1
F20,Undergraduate,ENGL    197,DONNELLY B,B,4
F20,Undergraduate,ENGL    197,DONNELLY B,B-,1
F20,Undergraduate,ENGL    197,DONNELLY B,D-,1
F20,Undergraduate,ENGL    197,KEARNEY J J,A,10
F20,Undergraduate,ENGL    197,KEARNEY J J,A-,5
F20,Undergraduate,ENGL    197,KEARNEY J J,B+,1
F20,Undergraduate,ENGL    197,KEARNEY J J,F,1
F20,Undergraduate,ENGL    199,JUE M C,A+,2
F20,Undergraduate,ENGL    199,JUE M C,A,12
F20,Undergraduate,ENGL    199,JUE M C,B-,1
F20,Undergraduate,ENGL    199RA,COOK E H,A+,5
F20,Undergraduate,ENGL    199RA,FUMERTON M P,A,5
F20,Undergraduate,LATIN   103,ENGLISH E D,A,3
F20,Undergraduate,LATIN   103,ENGLISH E D,A-,3
F20,Graduate,ENGL    231,ANDREA B D,A,11
F20,Graduate,ENGL    231,ANDREA B D,S,3
F20,Graduate,ENGL    233,CARLSON J A,A,14
F20,Graduate,ENGL    233,CARLSON J A,A-,1
F20,Graduate,ENGL    235,OLGUIN B V,A,6
F20,Graduate,ENGL    236,SALTON-COX G,A+,8
F20,Graduate,ENGL    238,LIU A Y,A,13
F20,Graduate,ENGL    238,LIU A Y,F,1
F20,Graduate,ENGL    265GW,OLGUIN B V,A+,2
F20,Graduate,ENGL    265GW,OLGUIN B V,A,10
F20,Graduate,ENGL    500,GRIFFIN A R,S,6
F20,Graduate,ENGL    500,KEARNEY J J,S,5
F20,Graduate,ENGL    595PP,FUMERTON M P,S,8
