Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F20,Undergraduate,MATRL   100A,HARTER J W,A+,4
F20,Undergraduate,MATRL   100A,HARTER J W,A,18
F20,Undergraduate,MATRL   100A,HARTER J W,A-,5
F20,Undergraduate,MATRL   100A,HARTER J W,B+,1
F20,Undergraduate,MATRL   100A,HARTER J W,B,7
F20,Undergraduate,MATRL   100A,HARTER J W,B-,5
F20,Undergraduate,MATRL   101,PITENIS A A,A+,1
F20,Undergraduate,MATRL   101,PITENIS A A,A,16
F20,Undergraduate,MATRL   101,PITENIS A A,B+,6
F20,Undergraduate,MATRL   101,PITENIS A A,B,7
F20,Undergraduate,MATRL   101,PITENIS A A,C+,1
F20,Undergraduate,MATRL   101,PITENIS A A,C,1
F20,Undergraduate,MATRL   101,PITENIS A A,F,1
F20,Undergraduate,MATRL   185,BEYERLEIN I J,A+,2
F20,Undergraduate,MATRL   185,BEYERLEIN I J,A,1
F20,Undergraduate,MATRL   185,BEYERLEIN I J,A-,1
F20,Undergraduate,MATRL   185,BEYERLEIN I J,F,1
F20,Graduate,MATRL   200A,SALEH O A,A+,2
F20,Graduate,MATRL   200A,SALEH O A,A,6
F20,Graduate,MATRL   200A,SALEH O A,A-,6
F20,Graduate,MATRL   200A,SALEH O A,B+,6
F20,Graduate,MATRL   200A,SALEH O A,B,5
F20,Graduate,MATRL   200Q,VAN DER VEN A,A+,2
F20,Graduate,MATRL   200Q,VAN DER VEN A,A,4
F20,Graduate,MATRL   200Q,VAN DER VEN A,A-,3
F20,Graduate,MATRL   200Q,VAN DER VEN A,B+,3
F20,Graduate,MATRL   200Q,VAN DER VEN A,B,1
F20,Graduate,MATRL   200S,GIANOLA D S,A+,1
F20,Graduate,MATRL   200S,GIANOLA D S,A,5
F20,Graduate,MATRL   200S,GIANOLA D S,B+,2
F20,Graduate,MATRL   200S,GIANOLA D S,B,2
F20,Graduate,MATRL   200S,GIANOLA D S,B-,1
F20,Graduate,MATRL   207,BEGLEY M R,A+,1
F20,Graduate,MATRL   207,BEGLEY M R,A,9
F20,Graduate,MATRL   207,BEGLEY M R,A-,1
F20,Graduate,MATRL   207,BEGLEY M R,B+,1
F20,Graduate,MATRL   209A,SPECK J S,A+,3
F20,Graduate,MATRL   209A,SPECK J S,A,11
F20,Graduate,MATRL   209A,SPECK J S,A-,3
F20,Graduate,MATRL   215A,PALMSTROM C J,A+,1
F20,Graduate,MATRL   215A,PALMSTROM C J,A,3
F20,Graduate,MATRL   215A,PALMSTROM C J,F,1
F20,Graduate,MATRL   241,STUCKY G D,A+,1
F20,Graduate,MATRL   241,STUCKY G D,A,7
F20,Graduate,MATRL   241,STUCKY G D,A-,3
F20,Graduate,MATRL   253,SAFINYA C R,A,6
F20,Graduate,MATRL   271A,HAWKER C J,A+,1
F20,Graduate,MATRL   271A,HAWKER C J,A,9
F20,Graduate,MATRL   273,BATES C M,A,12
F20,Graduate,MATRL   286C,CLEMENT R J,A+,1
F20,Graduate,MATRL   286C,CLEMENT R J,A,7
F20,Graduate,MATRL   286C,CLEMENT R J,A-,7
F20,Graduate,MATRL   286C,CLEMENT R J,B+,1
F20,Graduate,MATRL   289LM,POLLOCK T M,A,7
F20,Graduate,MATRL   289LM,POLLOCK T M,A-,1
F20,Graduate,MATRL   289LM,POLLOCK T M,B+,1
F20,Graduate,MATRL   290,BEGLEY M R,S,5
F20,Graduate,MATRL   290,BEYERLEIN I J,S,7
F20,Graduate,MATRL   290,CLEMENT R J,S,9
F20,Graduate,MATRL   290,DENBAARS S P,S,8
F20,Graduate,MATRL   290,NAKAMURA S,S,5
F20,Graduate,MATRL   290,PALMSTROM C J,S,6
F20,Graduate,MATRL   290,POLLOCK T M,S,13
F20,Graduate,MATRL   290,SESHADRI R,S,8
F20,Graduate,MATRL   290,SPECK J S,S,9
F20,Graduate,MATRL   290,STEMMER S,S,10
F20,Graduate,MATRL   290,VAN DER VEN A,S,10
F20,Graduate,MATRL   290,WILSON S D,S,7
F20,Graduate,MATRL   290,ZOK F,S,9
F20,Graduate,MATRL   598,CLEMENT R J,S,7
F20,Graduate,MATRL   598,POLLOCK T M,S,9
F20,Graduate,MATRL   598,SESHADRI R,S,7
F20,Graduate,MATRL   598,VAN DER VEN A,S,8
F20,Graduate,MATRL   598,ZOK F,S,7
F20,Graduate,MATRL   599,POLLOCK T M,S,5
F20,Graduate,MATRL   599,SPECK J S,S,5
F20,Graduate,MATRL   599,STEMMER S,S,7
