Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F20,Undergraduate,MS        1A,BUEHNER T D,A+,1
F20,Undergraduate,MS        1A,BUEHNER T D,A,22
F20,Undergraduate,MS        2AA,BUEHNER T D,A,24
F20,Undergraduate,MS       22,BUEHNER T D,A+,30
F20,Undergraduate,MS       22,BUEHNER T D,A,1
F20,Undergraduate,MS       22,BUEHNER T D,F,2
F20,Undergraduate,MS       99,BUEHNER T D,A+,2
F20,Undergraduate,MS       99,BUEHNER T D,A,9
F20,Undergraduate,MS      131,BUEHNER T D,A+,13
F20,Undergraduate,MS      131,BUEHNER T D,A,2
F20,Undergraduate,MS      131,BUEHNER T D,B+,3
F20,Undergraduate,MS      141,BUEHNER T D,A,15
F20,Undergraduate,MS      199,BUEHNER T D,A+,4
F20,Undergraduate,MS      199,BUEHNER T D,A,11
