Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F20,Undergraduate,PSTAT     5A,SWENSON J S,A+,6
F20,Undergraduate,PSTAT     5A,SWENSON J S,A,63
F20,Undergraduate,PSTAT     5A,SWENSON J S,A-,56
F20,Undergraduate,PSTAT     5A,SWENSON J S,B+,36
F20,Undergraduate,PSTAT     5A,SWENSON J S,B,56
F20,Undergraduate,PSTAT     5A,SWENSON J S,B-,39
F20,Undergraduate,PSTAT     5A,SWENSON J S,C+,51
F20,Undergraduate,PSTAT     5A,SWENSON J S,C,54
F20,Undergraduate,PSTAT     5A,SWENSON J S,C-,18
F20,Undergraduate,PSTAT     5A,SWENSON J S,D+,7
F20,Undergraduate,PSTAT     5A,SWENSON J S,D,6
F20,Undergraduate,PSTAT     5A,SWENSON J S,D-,8
F20,Undergraduate,PSTAT     5A,SWENSON J S,F,14
F20,Undergraduate,PSTAT     5H,HE J,P,14
F20,Undergraduate,PSTAT    10,HOLMES D E,A+,3
F20,Undergraduate,PSTAT    10,HOLMES D E,A,168
F20,Undergraduate,PSTAT    10,HOLMES D E,A-,51
F20,Undergraduate,PSTAT    10,HOLMES D E,B+,31
F20,Undergraduate,PSTAT    10,HOLMES D E,B,31
F20,Undergraduate,PSTAT    10,HOLMES D E,B-,12
F20,Undergraduate,PSTAT    10,HOLMES D E,C+,12
F20,Undergraduate,PSTAT    10,HOLMES D E,C,9
F20,Undergraduate,PSTAT    10,HOLMES D E,C-,3
F20,Undergraduate,PSTAT    10,HOLMES D E,F,19
F20,Undergraduate,PSTAT   109,WAINWRIGHT B,A,264
F20,Undergraduate,PSTAT   109,WAINWRIGHT B,B+,54
F20,Undergraduate,PSTAT   109,WAINWRIGHT B,B,128
F20,Undergraduate,PSTAT   109,WAINWRIGHT B,C+,14
F20,Undergraduate,PSTAT   109,WAINWRIGHT B,C,43
F20,Undergraduate,PSTAT   109,WAINWRIGHT B,D,12
F20,Undergraduate,PSTAT   109,WAINWRIGHT B,F,15
F20,Undergraduate,PSTAT   115,FRANKS A,A+,5
F20,Undergraduate,PSTAT   115,FRANKS A,A,16
F20,Undergraduate,PSTAT   115,FRANKS A,A-,10
F20,Undergraduate,PSTAT   115,FRANKS A,B+,18
F20,Undergraduate,PSTAT   115,FRANKS A,B,17
