Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F20,Undergraduate,RUSS      1,MCCLAIN K L,A+,6
F20,Undergraduate,RUSS      1,MCCLAIN K L,A,9
F20,Undergraduate,RUSS      1,MCCLAIN K L,A-,2
F20,Undergraduate,RUSS      1,MCCLAIN K L,B,1
F20,Undergraduate,RUSS      1,MCLELLAN L,A+,3
F20,Undergraduate,RUSS      1,MCLELLAN L,A,3
F20,Undergraduate,RUSS      1,MCLELLAN L,A-,4
F20,Undergraduate,RUSS      1,MCLELLAN L,B+,2
F20,Undergraduate,RUSS      1,MCLELLAN L,F,1
F20,Undergraduate,RUSS      1,MOVSESIAN H,A+,4
F20,Undergraduate,RUSS      1,MOVSESIAN H,A,2
F20,Undergraduate,RUSS      1,MOVSESIAN H,A-,2
F20,Undergraduate,RUSS      1,MOVSESIAN H,B+,2
F20,Undergraduate,RUSS      1,MOVSESIAN H,B,1
F20,Undergraduate,RUSS      1,MOVSESIAN H,C,3
F20,Undergraduate,RUSS      1,MOVSESIAN H,F,2
F20,Undergraduate,RUSS      4,MCLELLAN L,A+,5
F20,Undergraduate,RUSS      4,MCLELLAN L,A,7
F20,Undergraduate,RUSS      4,MCLELLAN L,A-,2
F20,Undergraduate,RUSS      4,MCLELLAN L,B+,1
F20,Undergraduate,RUSS      4,MCLELLAN L,B,1
F20,Undergraduate,RUSS      4,MCLELLAN L,D+,1
F20,Undergraduate,RUSS      4,MCLELLAN L,F,1
F20,Undergraduate,RUSS    101D,MCLELLAN L,A,9
F20,Undergraduate,RUSS    101D,MCLELLAN L,A-,3
F20,Undergraduate,RUSS    101D,MCLELLAN L,B+,1
