Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,ARTHI     6B,ADAMS A J,A+,1
F21,Undergraduate,ARTHI     6B,ADAMS A J,A,87
F21,Undergraduate,ARTHI     6B,ADAMS A J,A-,44
F21,Undergraduate,ARTHI     6B,ADAMS A J,B+,39
F21,Undergraduate,ARTHI     6B,ADAMS A J,B,52
F21,Undergraduate,ARTHI     6B,ADAMS A J,B-,28
F21,Undergraduate,ARTHI     6B,ADAMS A J,C+,16
F21,Undergraduate,ARTHI     6B,ADAMS A J,C,7
F21,Undergraduate,ARTHI     6B,ADAMS A J,C-,2
F21,Undergraduate,ARTHI     6B,ADAMS A J,D+,2
F21,Undergraduate,ARTHI     6B,ADAMS A J,D,2
F21,Undergraduate,ARTHI     6B,ADAMS A J,F,5
F21,Undergraduate,ARTHI     6F,WITTMAN R K,A+,1
F21,Undergraduate,ARTHI     6F,WITTMAN R K,A,11
F21,Undergraduate,ARTHI     6F,WITTMAN R K,A-,26
F21,Undergraduate,ARTHI     6F,WITTMAN R K,B+,25
F21,Undergraduate,ARTHI     6F,WITTMAN R K,B,33
F21,Undergraduate,ARTHI     6F,WITTMAN R K,B-,15
F21,Undergraduate,ARTHI     6F,WITTMAN R K,C+,9
F21,Undergraduate,ARTHI     6F,WITTMAN R K,C,6
F21,Undergraduate,ARTHI     6F,WITTMAN R K,C-,2
F21,Undergraduate,ARTHI     6F,WITTMAN R K,F,7
F21,Undergraduate,ARTHI     6K,VILANDER B A,A,24
F21,Undergraduate,ARTHI     6K,VILANDER B A,A-,22
F21,Undergraduate,ARTHI     6K,VILANDER B A,B+,19
F21,Undergraduate,ARTHI     6K,VILANDER B A,B,26
F21,Undergraduate,ARTHI     6K,VILANDER B A,B-,10
F21,Undergraduate,ARTHI     6K,VILANDER B A,C+,5
F21,Undergraduate,ARTHI     6K,VILANDER B A,C,7
F21,Undergraduate,ARTHI     6K,VILANDER B A,F,2
