Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,CNCSP   110,GOODWIN J W,A+,79
F21,Undergraduate,CNCSP   110,GOODWIN J W,A,35
F21,Undergraduate,CNCSP   110,GOODWIN J W,A-,1
F21,Undergraduate,CNCSP   110,GOODWIN J W,B+,1
F21,Undergraduate,CNCSP   110,GOODWIN J W,B,1
F21,Undergraduate,CNCSP   190,VERNON T W,A+,125
F21,Undergraduate,CNCSP   190,VERNON T W,A,112
F21,Undergraduate,CNCSP   190,VERNON T W,A-,13
F21,Undergraduate,CNCSP   190,VERNON T W,B+,3
F21,Undergraduate,CNCSP   190,VERNON T W,B,4
F21,Undergraduate,CNCSP   190,VERNON T W,B-,1
F21,Undergraduate,CNCSP   190,VERNON T W,C+,2
F21,Undergraduate,CNCSP   197,JIMERSON S R,A+,15
F21,Undergraduate,CNCSP   197,JIMERSON S R,A,19
F21,Undergraduate,CNCSP   197,JIMERSON S R,A-,1
F21,Undergraduate,CNCSP   197,JIMERSON S R,B,6
F21,Undergraduate,CNCSP   197,JIMERSON S R,B-,1
F21,Undergraduate,CNCSP   197,VERNON T W,A+,2
F21,Undergraduate,CNCSP   197,VERNON T W,A,10
F21,Undergraduate,CNCSP   197,ZETZER H A,A+,9
F21,Undergraduate,CNCSP   197,ZETZER H A,A,8
F21,Undergraduate,CNCSP   197,ZETZER H A,A-,1
F21,Graduate,CNCSP   200,QUIRK M P,A+,2
F21,Graduate,CNCSP   200,QUIRK M P,A,8
F21,Graduate,CNCSP   209A,VERNON T W,S,5
F21,Graduate,CNCSP   210,LANDE E S,A+,4
F21,Graduate,CNCSP   210,LANDE E S,A,6
F21,Graduate,CNCSP   210,LANDE E S,A-,2
F21,Graduate,CNCSP   220,ORTIZ A,A,10
F21,Graduate,CNCSP   220,ORTIZ A,A-,2
F21,Graduate,CNCSP   224A,QUIRK M P,S,12
F21,Graduate,CNCSP   250,THOMPSON M E,A,7
F21,Graduate,CNCSP   260A,GOODWIN J W,A+,6
F21,Graduate,CNCSP   260A,GOODWIN J W,A,1
F21,Graduate,CNCSP   264A,ZETZER H A,S,6
F21,Graduate,CNCSP   271A,BARNETT M L,S,13
F21,Graduate,CNCSP   272,ZETZER H A,S,5
F21,Graduate,CNCSP   273,ZETZER H A,S,9
F21,Graduate,CNCSP   290,CONSOLI A J,A+,8
F21,Graduate,CNCSP   293,BURNES T R,A+,1
F21,Graduate,CNCSP   293,BURNES T R,A,12
F21,Graduate,CNCSP   293,BURNES T R,A-,1
