Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,EACS     21,HILLIS G A,A+,11
F21,Undergraduate,EACS     21,HILLIS G A,A,46
F21,Undergraduate,EACS     21,HILLIS G A,A-,24
F21,Undergraduate,EACS     21,HILLIS G A,B+,21
F21,Undergraduate,EACS     21,HILLIS G A,B,10
F21,Undergraduate,EACS     21,HILLIS G A,B-,5
F21,Undergraduate,EACS     21,HILLIS G A,C+,3
F21,Undergraduate,EACS     21,HILLIS G A,C,1
F21,Undergraduate,EACS     21,HILLIS G A,C-,1
F21,Undergraduate,EACS     21,HILLIS G A,F,2
F21,Undergraduate,EACS    181AA,TSAI P B,A,8
F21,Undergraduate,EACS    181AA,TSAI P B,A-,7
F21,Undergraduate,EACS    181AA,TSAI P B,B+,2
F21,Undergraduate,EACS    181AA,TSAI P B,B,4
F21,Undergraduate,EACS    181AA,TSAI P B,B-,2
F21,Undergraduate,EACS    181AA,TSAI P B,F,2
