Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,EEMB      2LL,EVEN T J,A+,69
F21,Undergraduate,EEMB      2LL,EVEN T J,A,66
F21,Undergraduate,EEMB      2LL,EVEN T J,A-,21
F21,Undergraduate,EEMB      2LL,EVEN T J,B+,13
F21,Undergraduate,EEMB      2LL,EVEN T J,B,11
F21,Undergraduate,EEMB      2LL,EVEN T J,B-,3
F21,Undergraduate,EEMB      2LL,EVEN T J,C+,1
F21,Undergraduate,EEMB      2LL,EVEN T J,C,3
F21,Undergraduate,EEMB      2LL,LATTO J G,A+,69
F21,Undergraduate,EEMB      2LL,LATTO J G,A,66
F21,Undergraduate,EEMB      2LL,LATTO J G,A-,21
F21,Undergraduate,EEMB      2LL,LATTO J G,B+,13
F21,Undergraduate,EEMB      2LL,LATTO J G,B,11
F21,Undergraduate,EEMB      2LL,LATTO J G,B-,3
F21,Undergraduate,EEMB      2LL,LATTO J G,C+,1
F21,Undergraduate,EEMB      2LL,LATTO J G,C,3
F21,Undergraduate,EEMB      2LL,NGUYEN A T,A+,69
F21,Undergraduate,EEMB      2LL,NGUYEN A T,A,66
F21,Undergraduate,EEMB      2LL,NGUYEN A T,A-,21
F21,Undergraduate,EEMB      2LL,NGUYEN A T,B+,13
F21,Undergraduate,EEMB      2LL,NGUYEN A T,B,11
F21,Undergraduate,EEMB      2LL,NGUYEN A T,B-,3
F21,Undergraduate,EEMB      2LL,NGUYEN A T,C+,1
F21,Undergraduate,EEMB      2LL,NGUYEN A T,C,3
F21,Undergraduate,EEMB      3,LEACH T S,A,17
F21,Undergraduate,EEMB      3,LEACH T S,A-,9
F21,Undergraduate,EEMB      3,LEACH T S,B+,20
F21,Undergraduate,EEMB      3,LEACH T S,B,20
F21,Undergraduate,EEMB      3,LEACH T S,B-,15
F21,Undergraduate,EEMB      3,LEACH T S,C+,19
F21,Undergraduate,EEMB      3,LEACH T S,C,22
F21,Undergraduate,EEMB      3,LEACH T S,D+,3
F21,Undergraduate,EEMB      3,LEACH T S,D,2
F21,Undergraduate,EEMB      3,LEACH T S,D-,2
F21,Undergraduate,EEMB      3,LEACH T S,F,3
F21,Undergraduate,EEMB      3,NGUYEN A T,A,17
F21,Undergraduate,EEMB      3,NGUYEN A T,A-,9
F21,Undergraduate,EEMB      3,NGUYEN A T,B+,20
F21,Undergraduate,EEMB      3,NGUYEN A T,B,20
F21,Undergraduate,EEMB      3,NGUYEN A T,B-,15
F21,Undergraduate,EEMB      3,NGUYEN A T,C+,19
F21,Undergraduate,EEMB      3,NGUYEN A T,C,22
F21,Undergraduate,EEMB      3,NGUYEN A T,D+,3
F21,Undergraduate,EEMB      3,NGUYEN A T,D,2
F21,Undergraduate,EEMB      3,NGUYEN A T,D-,2
F21,Undergraduate,EEMB      3,NGUYEN A T,F,3
F21,Undergraduate,EEMB      3,OONO R,A,17
F21,Undergraduate,EEMB      3,OONO R,A-,9
F21,Undergraduate,EEMB      3,OONO R,B+,20
F21,Undergraduate,EEMB      3,OONO R,B,20
F21,Undergraduate,EEMB      3,OONO R,B-,15
F21,Undergraduate,EEMB      3,OONO R,C+,19
F21,Undergraduate,EEMB      3,OONO R,C,22
F21,Undergraduate,EEMB      3,OONO R,D+,3
F21,Undergraduate,EEMB      3,OONO R,D,2
F21,Undergraduate,EEMB      3,OONO R,D-,2
F21,Undergraduate,EEMB      3,OONO R,F,3
F21,Undergraduate,EEMB      3,WILBANKS E G,A,17
F21,Undergraduate,EEMB      3,WILBANKS E G,A-,9
F21,Undergraduate,EEMB      3,WILBANKS E G,B+,20
F21,Undergraduate,EEMB      3,WILBANKS E G,B,20
F21,Undergraduate,EEMB      3,WILBANKS E G,B-,15
F21,Undergraduate,EEMB      3,WILBANKS E G,C+,19
F21,Undergraduate,EEMB      3,WILBANKS E G,C,22
F21,Undergraduate,EEMB      3,WILBANKS E G,D+,3
F21,Undergraduate,EEMB      3,WILBANKS E G,D,2
F21,Undergraduate,EEMB      3,WILBANKS E G,D-,2
F21,Undergraduate,EEMB      3,WILBANKS E G,F,3
F21,Undergraduate,EEMB     40,LATTO J G,A,138
F21,Undergraduate,EEMB     40,LATTO J G,A-,18
F21,Undergraduate,EEMB     40,LATTO J G,B+,5
F21,Undergraduate,EEMB     40,LATTO J G,B,10
F21,Undergraduate,EEMB     40,LATTO J G,B-,4
F21,Undergraduate,EEMB     40,LATTO J G,C+,4
F21,Undergraduate,EEMB     40,LATTO J G,C,2
F21,Undergraduate,EEMB     40,LATTO J G,C-,2
F21,Undergraduate,EEMB     40,LATTO J G,D-,3
F21,Undergraduate,EEMB     40,LATTO J G,F,2
F21,Undergraduate,EEMB    106,ELIASON PARSO,A+,15
F21,Undergraduate,EEMB    106,ELIASON PARSO,A,27
F21,Undergraduate,EEMB    106,ELIASON PARSO,A-,16
F21,Undergraduate,EEMB    106,ELIASON PARSO,B+,11
F21,Undergraduate,EEMB    106,ELIASON PARSO,B,6
F21,Undergraduate,EEMB    106,ELIASON PARSO,B-,1
F21,Undergraduate,EEMB    106,ELIASON PARSO,C,1
F21,Undergraduate,EEMB    106,ELIASON PARSO,C-,2
F21,Undergraduate,EEMB    106,ELIASON PARSO,F,1
F21,Undergraduate,EEMB    106,KRASKURA K,A+,15
F21,Undergraduate,EEMB    106,KRASKURA K,A,27
F21,Undergraduate,EEMB    106,KRASKURA K,A-,16
F21,Undergraduate,EEMB    106,KRASKURA K,B+,11
F21,Undergraduate,EEMB    106,KRASKURA K,B,6
F21,Undergraduate,EEMB    106,KRASKURA K,B-,1
F21,Undergraduate,EEMB    106,KRASKURA K,C,1
F21,Undergraduate,EEMB    106,KRASKURA K,C-,2
F21,Undergraduate,EEMB    106,KRASKURA K,F,1
F21,Undergraduate,EEMB    112,KURIS A M,A+,3
F21,Undergraduate,EEMB    112,KURIS A M,A,17
F21,Undergraduate,EEMB    112,KURIS A M,A-,4
F21,Undergraduate,EEMB    112,KURIS A M,B+,7
F21,Undergraduate,EEMB    112,KURIS A M,B,15
F21,Undergraduate,EEMB    112,KURIS A M,B-,4
F21,Undergraduate,EEMB    112,KURIS A M,C+,3
F21,Undergraduate,EEMB    112,KURIS A M,C,21
F21,Undergraduate,EEMB    112,KURIS A M,C-,2
F21,Undergraduate,EEMB    112,KURIS A M,D,1
F21,Undergraduate,EEMB    112,OAKLEY T H,A+,3
F21,Undergraduate,EEMB    112,OAKLEY T H,A,17
F21,Undergraduate,EEMB    112,OAKLEY T H,A-,4
F21,Undergraduate,EEMB    112,OAKLEY T H,B+,7
F21,Undergraduate,EEMB    112,OAKLEY T H,B,15
F21,Undergraduate,EEMB    112,OAKLEY T H,B-,4
F21,Undergraduate,EEMB    112,OAKLEY T H,C+,3
F21,Undergraduate,EEMB    112,OAKLEY T H,C,21
F21,Undergraduate,EEMB    112,OAKLEY T H,C-,2
F21,Undergraduate,EEMB    112,OAKLEY T H,D,1
F21,Undergraduate,EEMB    113,MCCAULEY D J,A+,10
F21,Undergraduate,EEMB    113,MCCAULEY D J,A,67
F21,Undergraduate,EEMB    113,MCCAULEY D J,A-,18
F21,Undergraduate,EEMB    113,MCCAULEY D J,B+,1
F21,Undergraduate,EEMB    113,MCCAULEY D J,B,2
F21,Undergraduate,EEMB    113,MCCAULEY D J,B-,2
F21,Undergraduate,EEMB    113,MCCAULEY D J,C+,3
F21,Undergraduate,EEMB    113,MCCAULEY D J,C,3
F21,Undergraduate,EEMB    113,MCCAULEY D J,C-,1
F21,Undergraduate,EEMB    113,MCCAULEY D J,F,2
