Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,ENV S     1,ALAGONA P S,A+,196
F21,Undergraduate,ENV S     1,ALAGONA P S,A,121
F21,Undergraduate,ENV S     1,ALAGONA P S,A-,39
F21,Undergraduate,ENV S     1,ALAGONA P S,B+,36
F21,Undergraduate,ENV S     1,ALAGONA P S,B,33
F21,Undergraduate,ENV S     1,ALAGONA P S,B-,14
F21,Undergraduate,ENV S     1,ALAGONA P S,C+,14
F21,Undergraduate,ENV S     1,ALAGONA P S,C,3
F21,Undergraduate,ENV S     1,ALAGONA P S,C-,3
F21,Undergraduate,ENV S     1,ALAGONA P S,D+,2
F21,Undergraduate,ENV S     1,ALAGONA P S,D,4
F21,Undergraduate,ENV S     1,ALAGONA P S,D-,1
F21,Undergraduate,ENV S     1,ALAGONA P S,F,5
F21,Undergraduate,ENV S     1H,ALAGONA P S,P,15
F21,Undergraduate,ENV S    30,HEILMAYR R F,A,56
F21,Undergraduate,ENV S    30,HEILMAYR R F,A-,6
F21,Undergraduate,ENV S    30,HEILMAYR R F,B+,1
F21,Undergraduate,ENV S    30,HEILMAYR R F,B,1
F21,Undergraduate,ENV S    30,HEILMAYR R F,C+,3
F21,Undergraduate,ENV S    30,HEILMAYR R F,C,2
F21,Undergraduate,ENV S    30,HEILMAYR R F,C-,1
F21,Undergraduate,ENV S    30,HEILMAYR R F,D,2
F21,Undergraduate,ENV S    30,HEILMAYR R F,F,1
F21,Undergraduate,ENV S    40,MARTIN J A,A+,6
F21,Undergraduate,ENV S    40,MARTIN J A,A,63
F21,Undergraduate,ENV S    40,MARTIN J A,A-,36
F21,Undergraduate,ENV S    40,MARTIN J A,B+,22
F21,Undergraduate,ENV S    40,MARTIN J A,B,8
F21,Undergraduate,ENV S    40,MARTIN J A,B-,4
F21,Undergraduate,ENV S    40,MARTIN J A,C+,4
F21,Undergraduate,ENV S    40,MARTIN J A,C,2
F21,Undergraduate,ENV S    40,MARTIN J A,C-,1
F21,Undergraduate,ENV S    40,MARTIN J A,D,1
F21,Undergraduate,ENV S    40,MARTIN J A,F,1
F21,Undergraduate,ENV S   100,TYLER C M,A+,27
F21,Undergraduate,ENV S   100,TYLER C M,A,64
F21,Undergraduate,ENV S   100,TYLER C M,A-,16
F21,Undergraduate,ENV S   100,TYLER C M,B+,10
F21,Undergraduate,ENV S   100,TYLER C M,B,4
F21,Undergraduate,ENV S   100,TYLER C M,B-,1
F21,Undergraduate,ENV S   100,TYLER C M,C+,2
F21,Undergraduate,ENV S   100,TYLER C M,C,1
F21,Undergraduate,ENV S   100,TYLER C M,C-,2
F21,Undergraduate,ENV S   100,TYLER C M,D+,2
F21,Undergraduate,ENV S   100,TYLER C M,F,1
F21,Undergraduate,ENV S   102,NIELSEN E S,A,29
F21,Undergraduate,ENV S   102,NIELSEN E S,C,1
F21,Undergraduate,ENV S   108W,ALAGONA P S,A+,46
F21,Undergraduate,ENV S   108W,ALAGONA P S,A,7
F21,Undergraduate,ENV S   108W,ALAGONA P S,A-,7
F21,Undergraduate,ENV S   108W,ALAGONA P S,B+,1
F21,Undergraduate,ENV S   108W,ALAGONA P S,B,4
F21,Undergraduate,ENV S   108W,ALAGONA P S,C,1
F21,Undergraduate,ENV S   108W,ALAGONA P S,F,2
F21,Undergraduate,ENV S   116,PELLOW D N,A+,38
F21,Undergraduate,ENV S   116,PELLOW D N,A,137
F21,Undergraduate,ENV S   116,PELLOW D N,A-,9
F21,Undergraduate,ENV S   116,PELLOW D N,B+,10
F21,Undergraduate,ENV S   116,PELLOW D N,B,4
F21,Undergraduate,ENV S   116,PELLOW D N,B-,4
F21,Undergraduate,ENV S   116,PELLOW D N,C,3
F21,Undergraduate,ENV S   116,PELLOW D N,D+,1
F21,Undergraduate,ENV S   116,PELLOW D N,F,5
F21,Undergraduate,ENV S   120A,GARDNER H K,A,12
F21,Undergraduate,ENV S   120A,GARDNER H K,A-,4
F21,Undergraduate,ENV S   120A,GARDNER H K,B,17
F21,Undergraduate,ENV S   120A,GARDNER H K,B-,4
F21,Undergraduate,ENV S   120A,GARDNER H K,C+,1
F21,Undergraduate,ENV S   120A,GARDNER H K,C,10
F21,Undergraduate,ENV S   120A,GARDNER H K,D+,2
F21,Undergraduate,ENV S   120A,GARDNER H K,D,1
F21,Undergraduate,ENV S   120A,GARDNER H K,F,1
F21,Undergraduate,ENV S   129,PYE L,A+,17
F21,Undergraduate,ENV S   129,PYE L,A,9
F21,Undergraduate,ENV S   129,PYE L,A-,4
F21,Undergraduate,ENV S   129,PYE L,B+,3
F21,Undergraduate,ENV S   129,PYE L,B,5
F21,Undergraduate,ENV S   130A,MALDONADO J K,A+,12
F21,Undergraduate,ENV S   130A,MALDONADO J K,A,18
F21,Undergraduate,ENV S   130A,MALDONADO J K,A-,2
F21,Undergraduate,ENV S   130A,MALDONADO J K,B+,1
F21,Undergraduate,ENV S   130A,MALDONADO J K,B,3
F21,Undergraduate,ENV S   130A,MALDONADO J K,B-,2
F21,Undergraduate,ENV S   130A,MALDONADO J K,C,1
F21,Undergraduate,ENV S   130A,MALDONADO J K,C-,1
F21,Undergraduate,ENV S   133,HARDESTY MOOR,A+,9
F21,Undergraduate,ENV S   133,HARDESTY MOOR,A,30
F21,Undergraduate,ENV S   133,HARDESTY MOOR,A-,2
F21,Undergraduate,ENV S   133,HARDESTY MOOR,B+,2
F21,Undergraduate,ENV S   133,HARDESTY MOOR,B-,1
F21,Undergraduate,ENV S   136O,WELTER V W,A+,40
F21,Undergraduate,ENV S   136O,WELTER V W,A,12
F21,Undergraduate,ENV S   136O,WELTER V W,A-,10
F21,Undergraduate,ENV S   136O,WELTER V W,B+,1
F21,Undergraduate,ENV S   136O,WELTER V W,B,1
F21,Undergraduate,ENV S   136O,WELTER V W,B-,1
F21,Undergraduate,ENV S   136O,WELTER V W,C+,1
F21,Undergraduate,ENV S   136O,WELTER V W,C-,1
F21,Undergraduate,ENV S   136O,WELTER V W,D,1
F21,Undergraduate,ENV S   136O,WELTER V W,F,1
F21,Undergraduate,ENV S   139,PULVER S,A+,6
F21,Undergraduate,ENV S   139,PULVER S,A,26
F21,Undergraduate,ENV S   139,PULVER S,A-,24
F21,Undergraduate,ENV S   139,PULVER S,B+,5
F21,Undergraduate,ENV S   139,PULVER S,B,5
F21,Undergraduate,ENV S   139,PULVER S,B-,2
F21,Undergraduate,ENV S   139,PULVER S,C,1
F21,Undergraduate,ENV S   139,PULVER S,F,1
F21,Undergraduate,ENV S   147,GARDNER H K,A,6
F21,Undergraduate,ENV S   147,GARDNER H K,A-,3
F21,Undergraduate,ENV S   147,GARDNER H K,B,8
F21,Undergraduate,ENV S   147,GARDNER H K,C+,1
F21,Undergraduate,ENV S   147,GARDNER H K,C,4
F21,Undergraduate,ENV S   147,GARDNER H K,C-,1
F21,Undergraduate,ENV S   147,GARDNER H K,D+,1
F21,Undergraduate,ENV S   147,GARDNER H K,D,4
F21,Undergraduate,ENV S   147,GARDNER H K,F,1
F21,Undergraduate,ENV S   149,CARLISLE E W,A+,31
F21,Undergraduate,ENV S   149,CARLISLE E W,A,124
F21,Undergraduate,ENV S   149,CARLISLE E W,A-,24
F21,Undergraduate,ENV S   149,CARLISLE E W,B+,6
F21,Undergraduate,ENV S   165A,STONE D,A+,8
F21,Undergraduate,ENV S   165A,STONE D,A,27
F21,Undergraduate,ENV S   165A,STONE D,A-,16
F21,Undergraduate,ENV S   165A,STONE D,B+,12
F21,Undergraduate,ENV S   165A,STONE D,B,9
F21,Undergraduate,ENV S   165A,STONE D,B-,7
F21,Undergraduate,ENV S   165A,STONE D,C+,3
F21,Undergraduate,ENV S   165A,STONE D,C-,1
F21,Undergraduate,ENV S   165A,STONE D,F,3
F21,Undergraduate,ENV S   171,SCHIMEL J P,A+,1
F21,Undergraduate,ENV S   171,SCHIMEL J P,A,5
F21,Undergraduate,ENV S   171,SCHIMEL J P,A-,1
F21,Undergraduate,ENV S   171,SCHIMEL J P,B+,6
F21,Undergraduate,ENV S   171,SCHIMEL J P,B-,3
F21,Undergraduate,ENV S   171,SCHIMEL J P,C+,1
F21,Undergraduate,ENV S   172,FORE M R,A+,1
F21,Undergraduate,ENV S   172,FORE M R,A,4
F21,Undergraduate,ENV S   172,FORE M R,A-,3
F21,Undergraduate,ENV S   172,FORE M R,B+,4
F21,Undergraduate,ENV S   172,FORE M R,B,7
F21,Undergraduate,ENV S   172,FORE M R,B-,3
F21,Undergraduate,ENV S   172,FORE M R,C+,2
F21,Undergraduate,ENV S   172,FORE M R,C,4
F21,Undergraduate,ENV S   172,FORE M R,D+,1
F21,Undergraduate,ENV S   172,FORE M R,F,5
F21,Undergraduate,ENV S   178,SMITH E R,A,7
F21,Undergraduate,ENV S   178,SMITH E R,A-,6
F21,Undergraduate,ENV S   178,SMITH E R,B+,8
F21,Undergraduate,ENV S   178,SMITH E R,B,6
F21,Undergraduate,ENV S   178,SMITH E R,B-,10
F21,Undergraduate,ENV S   178,SMITH E R,C+,1
F21,Undergraduate,ENV S   178,SMITH E R,C-,2
F21,Undergraduate,ENV S   190,ZIMMERMAN E D,P,184
F21,Undergraduate,ENV S   190,ZIMMERMAN E D,NP,4
F21,Undergraduate,ENV S   191,LEWIN B A,A+,7
F21,Undergraduate,ENV S   191,LEWIN B A,A,10
F21,Undergraduate,ENV S   191,LEWIN B A,A-,1
F21,Undergraduate,ENV S   191,LEWIN B A,B+,1
F21,Undergraduate,ENV S   193AF,CARLISLE E W,A+,5
F21,Undergraduate,ENV S   193AF,CARLISLE E W,A,21
F21,Undergraduate,ENV S   193CB,MAIER J A,A+,2
F21,Undergraduate,ENV S   193CB,MAIER J A,A,9
F21,Undergraduate,ENV S   193CB,MAIER J A,A-,10
F21,Undergraduate,ENV S   193CB,MAIER J A,B+,8
F21,Undergraduate,ENV S   193CB,MAIER J A,B,7
F21,Undergraduate,ENV S   193CB,MAIER J A,B-,1
F21,Undergraduate,ENV S   193GB,KAYSEN B J,A,20
F21,Undergraduate,ENV S   193GB,KAYSEN B J,A-,14
F21,Undergraduate,ENV S   193GB,KAYSEN B J,B,3
F21,Undergraduate,ENV S   193GB,KAYSEN B J,B-,5
F21,Undergraduate,ENV S   193GB,KAYSEN B J,C+,1
F21,Undergraduate,ENV S   193GB,KAYSEN B J,D+,1
F21,Undergraduate,ENV S   193GB,KAYSEN B J,D-,3
F21,Undergraduate,ENV S   193PL,WILLIAMS D L,A,14
F21,Undergraduate,ENV S   193PL,WILLIAMS D L,A-,3
F21,Undergraduate,ENV S   193PL,WILLIAMS D L,B+,4
F21,Undergraduate,ENV S   193PL,WILLIAMS D L,B,3
F21,Undergraduate,ENV S   193PL,WILLIAMS D L,B-,2
F21,Undergraduate,ENV S   193PL,WILLIAMS D L,C-,2
F21,Undergraduate,ENV S   193ST,QUIROS W,A,35
F21,Undergraduate,ENV S   193ST,QUIROS W,A-,4
F21,Undergraduate,ENV S   193ST,QUIROS W,B+,3
F21,Undergraduate,ENV S   193ST,QUIROS W,F,1
F21,Undergraduate,ENV S   193TW,KAMAL-HEIKMAN,A,8
F21,Undergraduate,ENV S   193TW,KAMAL-HEIKMAN,A-,11
F21,Undergraduate,ENV S   193TW,KAMAL-HEIKMAN,B+,4
F21,Undergraduate,ENV S   193TW,KAMAL-HEIKMAN,B,4
F21,Undergraduate,ENV S   193TW,KAMAL-HEIKMAN,B-,1
F21,Undergraduate,ENV S   193TW,KAMAL-HEIKMAN,C,1
F21,Undergraduate,ENV S   193TW,KAMAL-HEIKMAN,F,2
