Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,GEOG W   12,CHU V W,A+,10
F21,Undergraduate,GEOG W   12,CHU V W,A,43
F21,Undergraduate,GEOG W   12,CHU V W,A-,49
F21,Undergraduate,GEOG W   12,CHU V W,B+,21
F21,Undergraduate,GEOG W   12,CHU V W,B,11
F21,Undergraduate,GEOG W   12,CHU V W,B-,12
F21,Undergraduate,GEOG W   12,CHU V W,C+,6
F21,Undergraduate,GEOG W   12,CHU V W,C,5
F21,Undergraduate,GEOG W   12,CHU V W,C-,3
F21,Undergraduate,GEOG W   12,CHU V W,D+,3
F21,Undergraduate,GEOG W   12,CHU V W,D,3
F21,Undergraduate,GEOG W   12,CHU V W,D-,3
F21,Undergraduate,GEOG W   12,CHU V W,F,5
