Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,HIST      2A,LEE J W,A+,11
F21,Undergraduate,HIST      2A,LEE J W,A,83
F21,Undergraduate,HIST      2A,LEE J W,A-,83
F21,Undergraduate,HIST      2A,LEE J W,B+,88
F21,Undergraduate,HIST      2A,LEE J W,B,78
F21,Undergraduate,HIST      2A,LEE J W,B-,28
F21,Undergraduate,HIST      2A,LEE J W,C+,29
F21,Undergraduate,HIST      2A,LEE J W,C,21
F21,Undergraduate,HIST      2A,LEE J W,C-,4
F21,Undergraduate,HIST      2A,LEE J W,D+,3
F21,Undergraduate,HIST      2A,LEE J W,D,3
F21,Undergraduate,HIST      2A,LEE J W,D-,1
F21,Undergraduate,HIST      2A,LEE J W,F,27
F21,Undergraduate,HIST      2C,HENDERSON J G,A+,182
F21,Undergraduate,HIST      2C,HENDERSON J G,A,85
F21,Undergraduate,HIST      2C,HENDERSON J G,A-,26
F21,Undergraduate,HIST      2C,HENDERSON J G,B+,19
F21,Undergraduate,HIST      2C,HENDERSON J G,B,18
F21,Undergraduate,HIST      2C,HENDERSON J G,B-,9
F21,Undergraduate,HIST      2C,HENDERSON J G,C+,6
F21,Undergraduate,HIST      2C,HENDERSON J G,C,8
F21,Undergraduate,HIST      2C,HENDERSON J G,C-,4
F21,Undergraduate,HIST      2C,HENDERSON J G,D,5
F21,Undergraduate,HIST      2C,HENDERSON J G,D-,6
F21,Undergraduate,HIST      2C,HENDERSON J G,F,20
F21,Undergraduate,HIST      4B,SONNINO P M,A,8
F21,Undergraduate,HIST      4B,SONNINO P M,A-,3
F21,Undergraduate,HIST      4B,SONNINO P M,B,6
F21,Undergraduate,HIST      4B,SONNINO P M,B-,1
F21,Undergraduate,HIST      4B,SONNINO P M,C+,4
F21,Undergraduate,HIST      4B,SONNINO P M,C,7
F21,Undergraduate,HIST      4B,SONNINO P M,C-,2
F21,Undergraduate,HIST      4B,SONNINO P M,D,1
F21,Undergraduate,HIST      4B,SONNINO P M,F,4
F21,Undergraduate,HIST      7,BERGSTROM R E,A,29
F21,Undergraduate,HIST      7,BERGSTROM R E,A-,33
F21,Undergraduate,HIST      7,BERGSTROM R E,B+,31
F21,Undergraduate,HIST      7,BERGSTROM R E,B,34
F21,Undergraduate,HIST      7,BERGSTROM R E,B-,7
F21,Undergraduate,HIST      7,BERGSTROM R E,C+,4
F21,Undergraduate,HIST      7,BERGSTROM R E,C,2
F21,Undergraduate,HIST      7,BERGSTROM R E,F,3
F21,Undergraduate,HIST      9,ARNOLD K A,A+,1
F21,Undergraduate,HIST      9,ARNOLD K A,A,6
F21,Undergraduate,HIST      9,ARNOLD K A,A-,5
F21,Undergraduate,HIST      9,ARNOLD K A,B+,4
F21,Undergraduate,HIST      9,ARNOLD K A,B,6
F21,Undergraduate,HIST      9,ARNOLD K A,B-,3
F21,Undergraduate,HIST      9,ARNOLD K A,C+,1
F21,Undergraduate,HIST      9,ARNOLD K A,C,2
F21,Undergraduate,HIST      9,BARBIERI A J,A+,2
F21,Undergraduate,HIST      9,BARBIERI A J,A,7
F21,Undergraduate,HIST      9,BARBIERI A J,A-,3
F21,Undergraduate,HIST      9,BARBIERI A J,B+,10
F21,Undergraduate,HIST      9,BARBIERI A J,B,2
F21,Undergraduate,HIST      9,BARBIERI A J,B-,3
F21,Undergraduate,HIST      9,BARBIERI A J,C+,1
F21,Undergraduate,HIST      9,BARBIERI A J,C,1
F21,Undergraduate,HIST      9,BARBIERI A J,C-,1
F21,Undergraduate,HIST      9,BERGSTROM R E,A,12
F21,Undergraduate,HIST      9,BERGSTROM R E,A-,9
F21,Undergraduate,HIST      9,BERGSTROM R E,B+,2
F21,Undergraduate,HIST      9,BERGSTROM R E,B,1
F21,Undergraduate,HIST      9,BERGSTROM R E,B-,2
F21,Undergraduate,HIST      9,BERGSTROM R E,C+,1
F21,Undergraduate,HIST      9,BERGSTROM R E,F,2
F21,Undergraduate,HIST     17A,MOORE K A,A+,79
F21,Undergraduate,HIST     17A,MOORE K A,A,107
F21,Undergraduate,HIST     17A,MOORE K A,A-,55
F21,Undergraduate,HIST     17A,MOORE K A,B+,41
F21,Undergraduate,HIST     17A,MOORE K A,B,40
F21,Undergraduate,HIST     17A,MOORE K A,B-,23
F21,Undergraduate,HIST     17A,MOORE K A,C+,10
F21,Undergraduate,HIST     17A,MOORE K A,C,2
F21,Undergraduate,HIST     17A,MOORE K A,C-,2
F21,Undergraduate,HIST     17A,MOORE K A,D+,2
F21,Undergraduate,HIST     17A,MOORE K A,D,1
F21,Undergraduate,HIST     17A,MOORE K A,D-,2
F21,Undergraduate,HIST     17A,MOORE K A,F,4
F21,Undergraduate,HIST     28,ELISON W N,A,15
F21,Undergraduate,HIST     28,ELISON W N,A-,17
F21,Undergraduate,HIST     28,ELISON W N,B+,14
F21,Undergraduate,HIST     28,ELISON W N,B,4
F21,Undergraduate,HIST     28,ELISON W N,C+,3
F21,Undergraduate,HIST     28,ELISON W N,C,2
F21,Undergraduate,HIST     28,ELISON W N,F,1
F21,Undergraduate,HIST     46B,SEIKALY S R,A,80
F21,Undergraduate,HIST     46B,SEIKALY S R,A-,38
F21,Undergraduate,HIST     46B,SEIKALY S R,B+,10
F21,Undergraduate,HIST     46B,SEIKALY S R,B,8
F21,Undergraduate,HIST     46B,SEIKALY S R,B-,7
F21,Undergraduate,HIST     46B,SEIKALY S R,C,1
F21,Undergraduate,HIST     46B,SEIKALY S R,D+,1
F21,Undergraduate,HIST     46B,SEIKALY S R,D,1
F21,Undergraduate,HIST     46B,SEIKALY S R,F,6
F21,Undergraduate,HIST     49A,CHIKOWERO M,A+,6
F21,Undergraduate,HIST     49A,CHIKOWERO M,A,22
F21,Undergraduate,HIST     49A,CHIKOWERO M,A-,10
F21,Undergraduate,HIST     49A,CHIKOWERO M,B+,13
F21,Undergraduate,HIST     49A,CHIKOWERO M,B,4
F21,Undergraduate,HIST     49A,CHIKOWERO M,B-,5
F21,Undergraduate,HIST     49A,CHIKOWERO M,C+,2
F21,Undergraduate,HIST     49A,CHIKOWERO M,C,1
F21,Undergraduate,HIST     49A,CHIKOWERO M,C-,2
