Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,SOC       1,TOBER T L,A+,2
F21,Undergraduate,SOC       1,TOBER T L,A,315
F21,Undergraduate,SOC       1,TOBER T L,A-,82
F21,Undergraduate,SOC       1,TOBER T L,B+,49
F21,Undergraduate,SOC       1,TOBER T L,B,27
F21,Undergraduate,SOC       1,TOBER T L,B-,9
F21,Undergraduate,SOC       1,TOBER T L,C+,7
F21,Undergraduate,SOC       1,TOBER T L,C,5
F21,Undergraduate,SOC       1,TOBER T L,D+,3
F21,Undergraduate,SOC       1,TOBER T L,D,2
F21,Undergraduate,SOC       1,TOBER T L,F,10
F21,Undergraduate,SOC     108,CAST A D,A+,37
F21,Undergraduate,SOC     108,CAST A D,A,5
F21,Undergraduate,SOC     108,CAST A D,A-,7
F21,Undergraduate,SOC     108,CAST A D,B+,2
F21,Undergraduate,SOC     108,CAST A D,B,4
F21,Undergraduate,SOC     108,CAST A D,B-,1
F21,Undergraduate,SOC     108,CAST A D,C,2
F21,Undergraduate,SOC     108,CAST A D,C-,2
F21,Undergraduate,SOC     108,CAST A D,F,1
F21,Undergraduate,SOC     108A,TAYLOR C J,A,16
F21,Undergraduate,SOC     108A,TAYLOR C J,A-,9
F21,Undergraduate,SOC     108A,TAYLOR C J,B+,12
F21,Undergraduate,SOC     108A,TAYLOR C J,B,5
F21,Undergraduate,SOC     108A,TAYLOR C J,B-,4
F21,Undergraduate,SOC     108A,TAYLOR C J,C+,1
F21,Undergraduate,SOC     108A,TAYLOR C J,C,1
F21,Undergraduate,SOC     108A,TAYLOR C J,D,1
F21,Undergraduate,SOC     108A,TAYLOR C J,F,3
F21,Undergraduate,SOC     108G,FORAN J F,A+,13
F21,Undergraduate,SOC     108G,FORAN J F,A,26
F21,Undergraduate,SOC     108G,FORAN J F,A-,14
F21,Undergraduate,SOC     108G,FORAN J F,B+,1
F21,Undergraduate,SOC     108G,FORAN J F,B-,1
F21,Undergraduate,SOC     108ST,RAYMOND E,A+,1
F21,Undergraduate,SOC     108ST,RAYMOND E,A,21
F21,Undergraduate,SOC     108ST,RAYMOND E,A-,15
F21,Undergraduate,SOC     108ST,RAYMOND E,B+,3
F21,Undergraduate,SOC     108ST,RAYMOND E,B,6
F21,Undergraduate,SOC     108ST,RAYMOND E,B-,2
F21,Undergraduate,SOC     108ST,RAYMOND E,C+,2
F21,Undergraduate,SOC     108ST,RAYMOND E,C,6
F21,Undergraduate,SOC     108ST,RAYMOND E,C-,1
F21,Undergraduate,SOC     108ST,RAYMOND E,D-,1
F21,Undergraduate,SOC     118C,WOHL H L,A+,9
F21,Undergraduate,SOC     118C,WOHL H L,A,24
F21,Undergraduate,SOC     118C,WOHL H L,A-,29
F21,Undergraduate,SOC     118C,WOHL H L,B+,11
F21,Undergraduate,SOC     118C,WOHL H L,B,11
F21,Undergraduate,SOC     118C,WOHL H L,B-,4
F21,Undergraduate,SOC     118C,WOHL H L,F,2
F21,Undergraduate,SOC     122,TOBER T L,A+,1
F21,Undergraduate,SOC     122,TOBER T L,A,23
F21,Undergraduate,SOC     122,TOBER T L,A-,15
F21,Undergraduate,SOC     122,TOBER T L,B+,11
F21,Undergraduate,SOC     122,TOBER T L,B,17
F21,Undergraduate,SOC     122,TOBER T L,B-,14
F21,Undergraduate,SOC     122,TOBER T L,C+,6
F21,Undergraduate,SOC     122,TOBER T L,C,1
F21,Undergraduate,SOC     122,TOBER T L,C-,1
F21,Undergraduate,SOC     122,TOBER T L,D-,1
F21,Undergraduate,SOC     122,TOBER T L,F,2
F21,Undergraduate,SOC     122GI,ROBINSON W I,A+,58
F21,Undergraduate,SOC     122GI,ROBINSON W I,A,70
F21,Undergraduate,SOC     122GI,ROBINSON W I,A-,21
F21,Undergraduate,SOC     122GI,ROBINSON W I,B+,12
F21,Undergraduate,SOC     122GI,ROBINSON W I,B,30
F21,Undergraduate,SOC     122GI,ROBINSON W I,B-,8
F21,Undergraduate,SOC     122GI,ROBINSON W I,C,14
F21,Undergraduate,SOC     122GI,ROBINSON W I,C-,5
F21,Undergraduate,SOC     122GI,ROBINSON W I,D,3
F21,Undergraduate,SOC     122GI,ROBINSON W I,F,13
F21,Undergraduate,SOC     130EV,FORAN J F,A+,15
F21,Undergraduate,SOC     130EV,FORAN J F,A,70
F21,Undergraduate,SOC     130EV,FORAN J F,A-,3
F21,Undergraduate,SOC     130EV,FORAN J F,B+,3
F21,Undergraduate,SOC     131,NIELSEN E S,A,27
F21,Undergraduate,SOC     131,NIELSEN E S,A-,23
F21,Undergraduate,SOC     131,NIELSEN E S,B+,26
F21,Undergraduate,SOC     131,NIELSEN E S,B,4
F21,Undergraduate,SOC     131,NIELSEN E S,C+,3
F21,Undergraduate,SOC     131,NIELSEN E S,C,1
F21,Undergraduate,SOC     131,NIELSEN E S,D,4
F21,Undergraduate,SOC     142,BALDWIN J D,A+,19
F21,Undergraduate,SOC     142,BALDWIN J D,A,19
F21,Undergraduate,SOC     142,BALDWIN J D,A-,20
F21,Undergraduate,SOC     142,BALDWIN J D,B+,9
F21,Undergraduate,SOC     142,BALDWIN J D,B,16
F21,Undergraduate,SOC     142,BALDWIN J D,B-,13
F21,Undergraduate,SOC     142,BALDWIN J D,C+,29
F21,Undergraduate,SOC     142,BALDWIN J D,C,11
F21,Undergraduate,SOC     142,BALDWIN J D,C-,4
F21,Undergraduate,SOC     142,BALDWIN J D,D,10
F21,Undergraduate,SOC     142,BALDWIN J D,F,8
F21,Undergraduate,SOC     145,RAYMOND E,A+,14
F21,Undergraduate,SOC     145,RAYMOND E,A,49
F21,Undergraduate,SOC     145,RAYMOND E,A-,10
F21,Undergraduate,SOC     145,RAYMOND E,B+,1
F21,Undergraduate,SOC     145,RAYMOND E,B,6
F21,Undergraduate,SOC     145,RAYMOND E,C+,2
F21,Undergraduate,SOC     145,RAYMOND E,D+,1
F21,Undergraduate,SOC     145,RAYMOND E,D,1
F21,Undergraduate,SOC     145,RAYMOND E,F,5
F21,Undergraduate,SOC     146,BRIDGES T S,A,8
F21,Undergraduate,SOC     146,BRIDGES T S,A-,12
F21,Undergraduate,SOC     146,BRIDGES T S,B+,21
F21,Undergraduate,SOC     146,BRIDGES T S,B,21
F21,Undergraduate,SOC     146,BRIDGES T S,B-,10
F21,Undergraduate,SOC     146,BRIDGES T S,C+,2
F21,Undergraduate,SOC     146,BRIDGES T S,C,3
F21,Undergraduate,SOC     146,BRIDGES T S,C-,1
F21,Undergraduate,SOC     146,BRIDGES T S,F,2
F21,Undergraduate,SOC     147,CAST A D,A+,25
F21,Undergraduate,SOC     147,CAST A D,A,25
F21,Undergraduate,SOC     147,CAST A D,A-,10
F21,Undergraduate,SOC     147,CAST A D,B+,14
F21,Undergraduate,SOC     147,CAST A D,B,8
F21,Undergraduate,SOC     147,CAST A D,B-,2
F21,Undergraduate,SOC     147,CAST A D,C+,2
F21,Undergraduate,SOC     147,CAST A D,C,1
F21,Undergraduate,SOC     147,CAST A D,C-,1
F21,Undergraduate,SOC     152A,BALDWIN J D,A+,26
F21,Undergraduate,SOC     152A,BALDWIN J D,A,85
F21,Undergraduate,SOC     152A,BALDWIN J D,A-,70
F21,Undergraduate,SOC     152A,BALDWIN J D,B+,56
F21,Undergraduate,SOC     152A,BALDWIN J D,B,29
F21,Undergraduate,SOC     152A,BALDWIN J D,B-,30
F21,Undergraduate,SOC     152A,BALDWIN J D,C+,60
F21,Undergraduate,SOC     152A,BALDWIN J D,C,63
F21,Undergraduate,SOC     152A,BALDWIN J D,C-,5
F21,Undergraduate,SOC     152A,BALDWIN J D,D,19
F21,Undergraduate,SOC     152A,BALDWIN J D,F,28
F21,Undergraduate,SOC     152A,BALDWIN J I,A+,26
F21,Undergraduate,SOC     152A,BALDWIN J I,A,85
F21,Undergraduate,SOC     152A,BALDWIN J I,A-,70
F21,Undergraduate,SOC     152A,BALDWIN J I,B+,56
F21,Undergraduate,SOC     152A,BALDWIN J I,B,29
F21,Undergraduate,SOC     152A,BALDWIN J I,B-,30
F21,Undergraduate,SOC     152A,BALDWIN J I,C+,60
F21,Undergraduate,SOC     152A,BALDWIN J I,C,63
F21,Undergraduate,SOC     152A,BALDWIN J I,C-,5
F21,Undergraduate,SOC     152A,BALDWIN J I,D,19
F21,Undergraduate,SOC     152A,BALDWIN J I,F,28
F21,Undergraduate,SOC     152B,BALDWIN J D,A,8
F21,Undergraduate,SOC     152B,BALDWIN J D,A-,6
F21,Undergraduate,SOC     152B,BALDWIN J D,B,1
F21,Undergraduate,SOC     152B,BALDWIN J D,D,1
F21,Undergraduate,SOC     152B,BALDWIN J I,A,8
F21,Undergraduate,SOC     152B,BALDWIN J I,A-,6
F21,Undergraduate,SOC     152B,BALDWIN J I,B,1
F21,Undergraduate,SOC     152B,BALDWIN J I,D,1
F21,Undergraduate,SOC     152C,BALDWIN J D,A+,16
F21,Undergraduate,SOC     152C,BALDWIN J D,B+,1
F21,Undergraduate,SOC     152C,BALDWIN J I,A+,16
F21,Undergraduate,SOC     152C,BALDWIN J I,B+,1
F21,Undergraduate,SOC     155,TAYLOR C J,A,19
F21,Undergraduate,SOC     155,TAYLOR C J,A-,30
F21,Undergraduate,SOC     155,TAYLOR C J,B+,17
F21,Undergraduate,SOC     155,TAYLOR C J,B,15
F21,Undergraduate,SOC     155,TAYLOR C J,B-,3
F21,Undergraduate,SOC     155,TAYLOR C J,C+,2
F21,Undergraduate,SOC     155,TAYLOR C J,F,2
F21,Undergraduate,SOC     164,RAYMOND E,A,72
F21,Undergraduate,SOC     164,RAYMOND E,A-,9
F21,Undergraduate,SOC     164,RAYMOND E,B+,2
F21,Undergraduate,SOC     164,RAYMOND E,B,4
F21,Undergraduate,SOC     164,RAYMOND E,B-,1
F21,Undergraduate,SOC     164,RAYMOND E,F,2
F21,Undergraduate,SOC     172,ABRA G J,A+,24
F21,Undergraduate,SOC     172,ABRA G J,A,10
F21,Undergraduate,SOC     172,ABRA G J,A-,9
F21,Undergraduate,SOC     172,ABRA G J,B+,4
F21,Undergraduate,SOC     172,ABRA G J,B,7
F21,Undergraduate,SOC     172,ABRA G J,B-,5
F21,Undergraduate,SOC     172,ABRA G J,C+,11
F21,Undergraduate,SOC     172,ABRA G J,C,9
F21,Undergraduate,SOC     172,ABRA G J,D,1
F21,Undergraduate,SOC     172,ABRA G J,F,2
F21,Undergraduate,SOC     185A,ANDERSON KE B,A+,34
F21,Undergraduate,SOC     185A,ANDERSON KE B,A,46
F21,Undergraduate,SOC     185A,ANDERSON KE B,A-,3
