Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
F21,Undergraduate,THTR      5,FISHELL J K,A+,30
F21,Undergraduate,THTR      5,FISHELL J K,A,43
F21,Undergraduate,THTR      5,FISHELL J K,A-,5
F21,Undergraduate,THTR      5,FISHELL J K,B+,2
F21,Undergraduate,THTR      5,FISHELL J K,B,4
F21,Undergraduate,THTR      5,FISHELL J K,B-,2
F21,Undergraduate,THTR      5,FISHELL J K,C,2
F21,Undergraduate,THTR      5,FISHELL J K,D-,1
F21,Undergraduate,THTR      5,FISHELL J K,F,1
F21,Undergraduate,THTR      9,LYTLE T J,A+,17
F21,Undergraduate,THTR      9,LYTLE T J,A,6
F21,Undergraduate,THTR      9,LYTLE T J,B+,1
F21,Undergraduate,THTR      9,LYTLE T J,B,1
F21,Undergraduate,THTR      9,LYTLE T J,C-,1
F21,Undergraduate,THTR      9,LYTLE T J,D-,1
F21,Undergraduate,THTR      9,LYTLE T J,F,1
F21,Undergraduate,THTR     10A,STEIN D A,A,6
F21,Undergraduate,THTR     10A,STEIN D A,A-,2
F21,Undergraduate,THTR     10A,STEIN D A,B+,1
F21,Undergraduate,THTR     10A,STEIN D A,C,1
F21,Undergraduate,THTR     11A,MORGAN M,A,7
F21,Undergraduate,THTR     11A,MORGAN M,B+,1
F21,Undergraduate,THTR     11A,MORGAN M,C+,1
F21,Undergraduate,THTR     11A,MORGAN M,C,1
F21,Undergraduate,THTR     15A,FISHELL J K,A+,2
F21,Undergraduate,THTR     15A,FISHELL J K,A,2
F21,Undergraduate,THTR     15A,FISHELL J K,A-,1
F21,Undergraduate,THTR     15A,FISHELL J K,B+,2
F21,Undergraduate,THTR     15A,FISHELL J K,B,1
F21,Undergraduate,THTR     15A,FISHELL J K,B-,1
F21,Undergraduate,THTR     15A,FISHELL J K,C,1
F21,Undergraduate,THTR     19,MITCHELL G M,A,6
F21,Undergraduate,THTR     19,MITCHELL G M,A-,4
F21,Undergraduate,THTR     19,MITCHELL G M,B+,4
F21,Undergraduate,THTR     19,MITCHELL G M,B,2
F21,Undergraduate,THTR     19,MITCHELL G M,B-,3
F21,Undergraduate,THTR     19,MITCHELL G M,C+,2
F21,Undergraduate,THTR     19,MITCHELL G M,C,2
F21,Undergraduate,THTR     19,MITCHELL G M,D-,2
F21,Undergraduate,THTR     19,MITCHELL G M,F,1
F21,Undergraduate,THTR     22,SHEFFIELD C A,A+,4
F21,Undergraduate,THTR     22,SHEFFIELD C A,A,6
F21,Undergraduate,THTR     22,SHEFFIELD C A,A-,2
F21,Undergraduate,THTR     22,SHEFFIELD C A,B+,2
F21,Undergraduate,THTR     22,SHEFFIELD C A,B,3
F21,Undergraduate,THTR     22,SHEFFIELD C A,B-,1
F21,Undergraduate,THTR     22,SHEFFIELD C A,C,1
F21,Undergraduate,THTR     23,SCOTT V,A,7
F21,Undergraduate,THTR     23,SCOTT V,A-,4
F21,Undergraduate,THTR     23,SCOTT V,B,1
F21,Undergraduate,THTR     23,SCOTT V,B-,1
F21,Undergraduate,THTR     23,SCOTT V,D+,1
F21,Undergraduate,THTR    104A,KING W D,A+,1
F21,Undergraduate,THTR    104A,KING W D,A,8
F21,Undergraduate,THTR    104A,KING W D,A-,5
F21,Undergraduate,THTR    110A,STEIN D A,A,10
F21,Undergraduate,THTR    110A,STEIN D A,A-,3
F21,Undergraduate,THTR    110A,STEIN D A,B+,1
F21,Undergraduate,THTR    110A,STEIN D A,B,1
F21,Undergraduate,THTR    111A,MORGAN M,A,12
F21,Undergraduate,THTR    111A,MORGAN M,A-,3
F21,Undergraduate,THTR    112,MORGAN M,A,12
F21,Undergraduate,THTR    151A,APPEL I J,A,14
F21,Undergraduate,THTR    151A,APPEL I J,A-,1
F21,Undergraduate,THTR    151F,LEWIS J D,A,11
F21,Undergraduate,THTR    151F,LEWIS J D,A-,1
F21,Undergraduate,THTR    151F,TORSIGLIERI A,A,11
F21,Undergraduate,THTR    151F,TORSIGLIERI A,A-,1
F21,Undergraduate,THTR    152A,BRAININ R,A,11
F21,Undergraduate,THTR    152A,BRAININ R,B+,2
F21,Undergraduate,THTR    152A,BRAININ R,C+,3
F21,Undergraduate,THTR    180G,BOROWICZ L A,A+,7
F21,Undergraduate,THTR    180G,BOROWICZ L A,A,20
F21,Undergraduate,THTR    180G,BOROWICZ L A,A-,8
F21,Undergraduate,THTR    180G,BOROWICZ L A,B+,7
F21,Undergraduate,THTR    180G,BOROWICZ L A,B,6
F21,Undergraduate,THTR    180G,BOROWICZ L A,B-,2
F21,Undergraduate,THTR    180G,BOROWICZ L A,C+,1
F21,Undergraduate,THTR    180G,BOROWICZ L A,C,1
F21,Undergraduate,THTR    180G,BOROWICZ L A,D-,1
F21,Undergraduate,THTR    180G,BOROWICZ L A,F,1
F21,Undergraduate,THTR    188S,GARCIA DAHAN,A+,33
F21,Undergraduate,THTR    188S,GARCIA DAHAN,A,17
F21,Undergraduate,THTR    188S,GARCIA DAHAN,A-,1
F21,Undergraduate,THTR    188S,GARCIA DAHAN,B+,1
F21,Undergraduate,THTR    188S,GARCIA DAHAN,B,1
F21,Undergraduate,THTR    188S,GARCIA DAHAN,C,1
F21,Undergraduate,THTR    188S,GARCIA DAHAN,F,1
F21,Undergraduate,THTR    194A,BERNARD M A,A,15
F21,Undergraduate,THTR    194A,BERNARD M A,A-,1
F21,Undergraduate,THTR    195,HERRERA D J,A,10
F21,Undergraduate,THTR    195,HERRERA D J,A-,1
F21,Undergraduate,THTR    195P,HERRERA D J,A,5
F21,Graduate,THTR    210H,NAKAMURA J C,A,4
F21,Graduate,THTR    210H,NAKAMURA J C,A-,2
F21,Graduate,THTR    210H,NAKAMURA J C,B+,2
F21,Graduate,THTR    250SK,KING W D,A,4
F21,Graduate,THTR    250SK,KING W D,A-,3
F21,Undergraduate,THTR W    2B,NAKAMURA J C,A+,54
F21,Undergraduate,THTR W    2B,NAKAMURA J C,A,61
F21,Undergraduate,THTR W    2B,NAKAMURA J C,A-,9
F21,Undergraduate,THTR W    2B,NAKAMURA J C,B+,5
F21,Undergraduate,THTR W    2B,NAKAMURA J C,B,4
F21,Undergraduate,THTR W    2B,NAKAMURA J C,B-,2
F21,Undergraduate,THTR W    2B,NAKAMURA J C,C+,1
F21,Undergraduate,THTR W    2B,NAKAMURA J C,C,1
F21,Undergraduate,THTR W    2B,NAKAMURA J C,C-,2
F21,Undergraduate,THTR W    2B,NAKAMURA J C,D-,1
F21,Undergraduate,THTR W    2B,NAKAMURA J C,F,3
