Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M10,Undergraduate,DANCE    40,MOSELEY D,A,15
M10,Undergraduate,DANCE    40,MOSELEY D,A-,4
M10,Undergraduate,DANCE    40,MOSELEY D,B+,1
M10,Undergraduate,DANCE    40,MOSELEY D,B,1
M10,Undergraduate,DANCE    41,PEARSON J,A,16
M10,Undergraduate,DANCE    41,PEARSON J,A-,1
M10,Undergraduate,DANCE    41,PEARSON J,B,1
M10,Undergraduate,DANCE    41,PEARSON J,B-,1
M10,Undergraduate,DANCE    41,PEARSON J,C,2
M10,Undergraduate,DANCE   147A,HUSTON V G,A,4
M10,Undergraduate,DANCE   147A,HUSTON V G,A-,5
M10,Undergraduate,DANCE   147A,HUSTON V G,B+,2
M10,Undergraduate,DANCE   156A,COLAHAN N,A,4
M10,Undergraduate,DANCE   156A,COLAHAN N,A-,4
M10,Undergraduate,DANCE   156A,COLAHAN N,B+,3
