Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,A+,1
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,A,7
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,A-,8
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,B+,8
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,B,11
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,B-,6
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,C+,24
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,C,24
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,D,5
M10,Undergraduate,ECON      1,GREEN-ARMYTAG,F,2
M10,Undergraduate,ECON      2,RUPERT P,A,6
M10,Undergraduate,ECON      2,RUPERT P,A-,2
M10,Undergraduate,ECON      2,RUPERT P,B+,8
M10,Undergraduate,ECON      2,RUPERT P,B,8
M10,Undergraduate,ECON      2,RUPERT P,B-,7
M10,Undergraduate,ECON      2,RUPERT P,C+,12
M10,Undergraduate,ECON      2,RUPERT P,C,14
M10,Undergraduate,ECON      2,RUPERT P,C-,6
M10,Undergraduate,ECON      2,RUPERT P,F,1
M10,Undergraduate,ECON      3A,ANDERSON R W,A+,1
M10,Undergraduate,ECON      3A,ANDERSON R W,A,4
M10,Undergraduate,ECON      3A,ANDERSON R W,A-,2
M10,Undergraduate,ECON      3A,ANDERSON R W,B+,9
M10,Undergraduate,ECON      3A,ANDERSON R W,B,8
M10,Undergraduate,ECON      3A,ANDERSON R W,B-,4
M10,Undergraduate,ECON      3A,ANDERSON R W,C+,11
M10,Undergraduate,ECON      3A,ANDERSON R W,C,12
M10,Undergraduate,ECON      3A,ANDERSON R W,C-,5
M10,Undergraduate,ECON      3A,ANDERSON R W,D,2
M10,Undergraduate,ECON      3A,ANDERSON R W,F,3
M10,Undergraduate,ECON    100A,HUNTER N A,A+,1
M10,Undergraduate,ECON    100A,HUNTER N A,A,9
M10,Undergraduate,ECON    100A,HUNTER N A,A-,6
M10,Undergraduate,ECON    100A,HUNTER N A,B+,9
M10,Undergraduate,ECON    100A,HUNTER N A,B,10
M10,Undergraduate,ECON    100A,HUNTER N A,B-,9
M10,Undergraduate,ECON    100A,HUNTER N A,C+,16
M10,Undergraduate,ECON    100A,HUNTER N A,C,22
M10,Undergraduate,ECON    100A,HUNTER N A,C-,5
M10,Undergraduate,ECON    100A,HUNTER N A,D,3
M10,Undergraduate,ECON    100A,HUNTER N A,F,4
M10,Undergraduate,ECON    100B,NEIRA J M,A+,7
M10,Undergraduate,ECON    100B,NEIRA J M,A,2
M10,Undergraduate,ECON    100B,NEIRA J M,A-,10
M10,Undergraduate,ECON    100B,NEIRA J M,B+,15
M10,Undergraduate,ECON    100B,NEIRA J M,B,8
M10,Undergraduate,ECON    100B,NEIRA J M,B-,15
M10,Undergraduate,ECON    100B,NEIRA J M,C+,4
M10,Undergraduate,ECON    100B,NEIRA J M,C,7
M10,Undergraduate,ECON    100B,NEIRA J M,C-,6
M10,Undergraduate,ECON    100B,NEIRA J M,D+,1
M10,Undergraduate,ECON    100B,NEIRA J M,D,3
M10,Undergraduate,ECON    100B,NEIRA J M,D-,3
M10,Undergraduate,ECON    100B,NEIRA J M,F,3
M10,Undergraduate,ECON    101,MOORE R L,A+,5
M10,Undergraduate,ECON    101,MOORE R L,A,8
M10,Undergraduate,ECON    101,MOORE R L,A-,7
M10,Undergraduate,ECON    101,MOORE R L,B+,5
M10,Undergraduate,ECON    101,MOORE R L,B,15
M10,Undergraduate,ECON    101,MOORE R L,B-,5
M10,Undergraduate,ECON    101,MOORE R L,C+,4
M10,Undergraduate,ECON    101,MOORE R L,C,13
M10,Undergraduate,ECON    101,MOORE R L,C-,1
M10,Undergraduate,ECON    101,MOORE R L,D+,4
M10,Undergraduate,ECON    101,MOORE R L,D,2
M10,Undergraduate,ECON    101,MOORE R L,D-,4
M10,Undergraduate,ECON    101,MOORE R L,F,6
M10,Undergraduate,ECON    118,LOSTER D R,A,5
M10,Undergraduate,ECON    118,LOSTER D R,A-,6
