Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M10,Undergraduate,INT       1,TUCKER C E,P,10
M10,Undergraduate,INT       1,TUCKER C E,NP,1
M10,Undergraduate,INT      93LS,POLNE-FULLER,A+,9
M10,Undergraduate,INT      93LS,POLNE-FULLER,A,53
M10,Undergraduate,INT      93LS,POLNE-FULLER,A-,3
M10,Undergraduate,INT      93S,POLNE-FULLER,A+,5
M10,Undergraduate,INT      93S,POLNE-FULLER,A,54
M10,Undergraduate,INT      93S,POLNE-FULLER,A-,5
M10,Undergraduate,INT      93S,POLNE-FULLER,B,1
M10,Undergraduate,INT     185EM,PORTUGES P C,A,15
M10,Undergraduate,INT     185EM,PORTUGES P C,A-,4
M10,Undergraduate,INT     192DC,CLARK J F,P,26
M10,Undergraduate,INT     199DC,CLARK J F,A,14
M10,Undergraduate,INT     199DC,CLARK J F,A-,11
M10,Undergraduate,INT     199DC,CLARK J F,B+,1
