Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M10,Undergraduate,POL S     1,HUGHES T,A,1
M10,Undergraduate,POL S     1,HUGHES T,A-,7
M10,Undergraduate,POL S     1,HUGHES T,B+,6
M10,Undergraduate,POL S     1,HUGHES T,B,10
M10,Undergraduate,POL S     1,HUGHES T,B-,16
M10,Undergraduate,POL S     1,HUGHES T,C+,14
M10,Undergraduate,POL S     1,HUGHES T,C,6
M10,Undergraduate,POL S     1,HUGHES T,C-,5
M10,Undergraduate,POL S     1,HUGHES T,D+,1
M10,Undergraduate,POL S     1,HUGHES T,D,4
M10,Undergraduate,POL S     1,HUGHES T,F,2
M10,Undergraduate,POL S     6,REYES C A,A,13
M10,Undergraduate,POL S     6,REYES C A,A-,19
M10,Undergraduate,POL S     6,REYES C A,B+,6
M10,Undergraduate,POL S     6,REYES C A,B,6
M10,Undergraduate,POL S     6,REYES C A,B-,5
M10,Undergraduate,POL S     6,REYES C A,C+,1
M10,Undergraduate,POL S     6,REYES C A,C,1
M10,Undergraduate,POL S     6,REYES C A,F,1
M10,Undergraduate,POL S     7,RAUCHHAUS R,A,1
M10,Undergraduate,POL S     7,RAUCHHAUS R,A-,4
M10,Undergraduate,POL S     7,RAUCHHAUS R,B+,2
M10,Undergraduate,POL S     7,RAUCHHAUS R,B,5
M10,Undergraduate,POL S     7,RAUCHHAUS R,B-,2
M10,Undergraduate,POL S     7,RAUCHHAUS R,C,2
M10,Undergraduate,POL S     7,RAUCHHAUS R,C-,4
M10,Undergraduate,POL S     7,RAUCHHAUS R,D,1
M10,Undergraduate,POL S     7,RAUCHHAUS R,F,1
M10,Undergraduate,POL S    12,SMITH E R,A,1
M10,Undergraduate,POL S    12,SMITH E R,B+,3
M10,Undergraduate,POL S    12,SMITH E R,B-,4
M10,Undergraduate,POL S    12,SMITH E R,C+,3
M10,Undergraduate,POL S    12,SMITH E R,C,4
M10,Undergraduate,POL S    12,SMITH E R,D,1
M10,Undergraduate,POL S    12,WIENER S L,A,2
M10,Undergraduate,POL S    12,WIENER S L,A-,3
M10,Undergraduate,POL S    12,WIENER S L,B+,4
M10,Undergraduate,POL S    12,WIENER S L,B,6
M10,Undergraduate,POL S    12,WIENER S L,B-,9
M10,Undergraduate,POL S    12,WIENER S L,C+,5
M10,Undergraduate,POL S    12,WIENER S L,C,7
M10,Undergraduate,POL S    12,WIENER S L,C-,2
M10,Undergraduate,POL S    12,WIENER S L,D+,1
M10,Undergraduate,POL S    12,WIENER S L,F,1
M10,Undergraduate,POL S   104,OLEINIKOV P,A-,3
M10,Undergraduate,POL S   104,OLEINIKOV P,B+,1
M10,Undergraduate,POL S   104,OLEINIKOV P,B,5
M10,Undergraduate,POL S   104,OLEINIKOV P,B-,2
M10,Undergraduate,POL S   104,OLEINIKOV P,C+,2
M10,Undergraduate,POL S   104,OLEINIKOV P,C,3
M10,Undergraduate,POL S   104,OLEINIKOV P,D,1
M10,Undergraduate,POL S   104,OLEINIKOV P,F,1
M10,Undergraduate,POL S   121,ROD A,A+,2
M10,Undergraduate,POL S   121,ROD A,A,5
M10,Undergraduate,POL S   121,ROD A,A-,2
M10,Undergraduate,POL S   121,ROD A,B+,4
M10,Undergraduate,POL S   121,ROD A,B,7
M10,Undergraduate,POL S   121,ROD A,B-,3
M10,Undergraduate,POL S   121,ROD A,C+,5
M10,Undergraduate,POL S   121,ROD A,C,2
M10,Undergraduate,POL S   121,ROD A,C-,1
M10,Undergraduate,POL S   121,ROD A,D+,2
M10,Undergraduate,POL S   121,ROD A,F,2
M10,Undergraduate,POL S   150A,NASH M B,A+,1
M10,Undergraduate,POL S   150A,NASH M B,A,11
M10,Undergraduate,POL S   150A,NASH M B,A-,10
M10,Undergraduate,POL S   150A,NASH M B,B+,8
M10,Undergraduate,POL S   150A,NASH M B,B,15
M10,Undergraduate,POL S   150A,NASH M B,B-,9
M10,Undergraduate,POL S   150A,NASH M B,C+,7
M10,Undergraduate,POL S   150A,NASH M B,C-,1
M10,Undergraduate,POL S   150A,NASH M B,D,1
M10,Undergraduate,POL S   150A,NASH M B,D-,1
