Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M10,Undergraduate,WRIT      1,BAILLARGEON K,A,2
M10,Undergraduate,WRIT      1,BAILLARGEON K,A-,10
M10,Undergraduate,WRIT      1,BAILLARGEON K,B+,9
M10,Undergraduate,WRIT      1,BAILLARGEON K,B,17
M10,Undergraduate,WRIT      1,BAILLARGEON K,B-,3
M10,Undergraduate,WRIT      1,BAILLARGEON K,C+,1
M10,Undergraduate,WRIT      1,BAILLARGEON K,C,1
M10,Undergraduate,WRIT      1,BAILLARGEON K,D,1
M10,Undergraduate,WRIT      1,BAILLARGEON K,F,1
M10,Undergraduate,WRIT      1,VALLIS G L,A,7
M10,Undergraduate,WRIT      1,VALLIS G L,A-,4
M10,Undergraduate,WRIT      1,VALLIS G L,B+,6
M10,Undergraduate,WRIT      1,VALLIS G L,B,2
M10,Undergraduate,WRIT      1,VALLIS G L,F,1
M10,Undergraduate,WRIT      2,ADLER-KASSNER,A,1
M10,Undergraduate,WRIT      2,ADLER-KASSNER,A-,6
M10,Undergraduate,WRIT      2,ADLER-KASSNER,B+,6
M10,Undergraduate,WRIT      2,ADLER-KASSNER,B,4
M10,Undergraduate,WRIT      2,ADLER-KASSNER,B-,2
M10,Undergraduate,WRIT      2,ADLER-KASSNER,C+,1
M10,Undergraduate,WRIT      2,ADLER-KASSNER,C,1
M10,Undergraduate,WRIT      2,ALBRIGHT M A,A,2
M10,Undergraduate,WRIT      2,ALBRIGHT M A,A-,4
M10,Undergraduate,WRIT      2,ALBRIGHT M A,B+,8
M10,Undergraduate,WRIT      2,ALBRIGHT M A,B,1
M10,Undergraduate,WRIT      2,ALBRIGHT M A,B-,2
M10,Undergraduate,WRIT      2,ALBRIGHT M A,C,2
M10,Undergraduate,WRIT      2,ALBRIGHT M A,D,1
M10,Undergraduate,WRIT      2,AVERY L K,A,3
M10,Undergraduate,WRIT      2,AVERY L K,A-,9
M10,Undergraduate,WRIT      2,AVERY L K,C+,1
M10,Undergraduate,WRIT      2,AVERY L K,C-,2
M10,Undergraduate,WRIT      2,BAZZANO E A,A,4
M10,Undergraduate,WRIT      2,BAZZANO E A,A-,1
M10,Undergraduate,WRIT      2,BAZZANO E A,B+,2
M10,Undergraduate,WRIT      2,BAZZANO E A,B,4
M10,Undergraduate,WRIT      2,BAZZANO E A,B-,2
M10,Undergraduate,WRIT      2,BAZZANO E A,C+,1
M10,Undergraduate,WRIT      2,BAZZANO E A,D+,1
M10,Undergraduate,WRIT      2,BAZZANO E A,D,1
M10,Undergraduate,WRIT      2,BAZZANO E A,D-,1
M10,Undergraduate,WRIT      2,BAZZANO E A,F,1
M10,Undergraduate,WRIT      2,FRIEDL A,A,3
M10,Undergraduate,WRIT      2,FRIEDL A,A-,6
M10,Undergraduate,WRIT      2,FRIEDL A,B+,7
M10,Undergraduate,WRIT      2,FRIEDL A,B,2
M10,Undergraduate,WRIT      2,FRIEDL A,B-,1
M10,Undergraduate,WRIT      2,HAGENAH C J,A,4
M10,Undergraduate,WRIT      2,HAGENAH C J,A-,1
M10,Undergraduate,WRIT      2,HAGENAH C J,B+,6
M10,Undergraduate,WRIT      2,HAGENAH C J,B,6
M10,Undergraduate,WRIT      2,HAGENAH C J,B-,5
M10,Undergraduate,WRIT      2,HAGENAH C J,C+,1
M10,Undergraduate,WRIT      2,HAGENAH C J,C-,1
M10,Undergraduate,WRIT      2,MILLER L A,A,2
M10,Undergraduate,WRIT      2,MILLER L A,A-,4
M10,Undergraduate,WRIT      2,MILLER L A,B+,3
M10,Undergraduate,WRIT      2,MILLER L A,B,8
M10,Undergraduate,WRIT      2,MILLER L A,B-,3
M10,Undergraduate,WRIT      2,MILLER L A,C,1
M10,Undergraduate,WRIT      2,PECCHENINO D,A,2
M10,Undergraduate,WRIT      2,PECCHENINO D,A-,3
M10,Undergraduate,WRIT      2,PECCHENINO D,B+,3
M10,Undergraduate,WRIT      2,PECCHENINO D,B,7
M10,Undergraduate,WRIT      2,PECCHENINO D,B-,4
M10,Undergraduate,WRIT     50,BERNSTEIN M M,A,2
M10,Undergraduate,WRIT     50,BERNSTEIN M M,A-,5
M10,Undergraduate,WRIT     50,BERNSTEIN M M,B+,8
M10,Undergraduate,WRIT     50,BERNSTEIN M M,B,7
M10,Undergraduate,WRIT     50,BERNSTEIN M M,B-,4
M10,Undergraduate,WRIT     50,BERNSTEIN M M,C+,2
M10,Undergraduate,WRIT     50,BERNSTEIN M M,C,1
M10,Undergraduate,WRIT     50,BERNSTEIN M M,F,2
M10,Undergraduate,WRIT     50,CATALINI J P,A+,2
M10,Undergraduate,WRIT     50,CATALINI J P,A,4
M10,Undergraduate,WRIT     50,CATALINI J P,A-,5
M10,Undergraduate,WRIT     50,CATALINI J P,B+,5
M10,Undergraduate,WRIT     50,CATALINI J P,F,1
M10,Undergraduate,WRIT     50,COKLIN L,A,2
M10,Undergraduate,WRIT     50,COKLIN L,A-,1
M10,Undergraduate,WRIT     50,COKLIN L,B+,1
M10,Undergraduate,WRIT     50,COKLIN L,B,4
M10,Undergraduate,WRIT     50,COKLIN L,B-,1
M10,Undergraduate,WRIT     50,COKLIN L,C+,2
M10,Undergraduate,WRIT     50,COKLIN L,C,1
M10,Undergraduate,WRIT     50,COKLIN L,F,1
M10,Undergraduate,WRIT     50,DEAN C W,A,9
M10,Undergraduate,WRIT     50,DEAN C W,A-,5
M10,Undergraduate,WRIT     50,DEAN C W,B+,6
M10,Undergraduate,WRIT     50,DEAN C W,B,1
M10,Undergraduate,WRIT     50,DEAN C W,C,1
M10,Undergraduate,WRIT     50,HUK P M,A,11
M10,Undergraduate,WRIT     50,HUK P M,A-,20
M10,Undergraduate,WRIT     50,HUK P M,B+,5
M10,Undergraduate,WRIT     50,HUK P M,B,4
M10,Undergraduate,WRIT     50,HUK P M,B-,2
M10,Undergraduate,WRIT     50,HUK P M,C+,1
M10,Undergraduate,WRIT     50,KRUT R M,A,5
M10,Undergraduate,WRIT     50,KRUT R M,A-,6
M10,Undergraduate,WRIT     50,KRUT R M,B+,3
M10,Undergraduate,WRIT     50,KRUT R M,B,3
M10,Undergraduate,WRIT     50,KRUT R M,B-,1
M10,Undergraduate,WRIT     50,KRUT R M,C,1
M10,Undergraduate,WRIT     50,VALLIS D L,A,18
M10,Undergraduate,WRIT     50,VALLIS D L,A-,2
M10,Undergraduate,WRIT     50,VALLIS D L,B+,4
M10,Undergraduate,WRIT     50,VALLIS D L,F,1
M10,Undergraduate,WRIT     50,VALLIS G L,A,5
M10,Undergraduate,WRIT     50,VALLIS G L,A-,2
M10,Undergraduate,WRIT     50,VALLIS G L,B+,4
M10,Undergraduate,WRIT     50,VALLIS G L,B,1
M10,Undergraduate,WRIT     50,VALLIS G L,D,1
M10,Undergraduate,WRIT     50,VALLIS G L,F,2
M10,Undergraduate,WRIT    105C,PETRACCA M F,A,11
