Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M11,Undergraduate,EARTH    20,MOSOLF J G,A+,1
M11,Undergraduate,EARTH    20,MOSOLF J G,A,2
M11,Undergraduate,EARTH    20,MOSOLF J G,A-,6
M11,Undergraduate,EARTH    20,MOSOLF J G,B+,6
M11,Undergraduate,EARTH    20,MOSOLF J G,B,7
M11,Undergraduate,EARTH    20,MOSOLF J G,B-,5
M11,Undergraduate,EARTH    20,MOSOLF J G,C+,10
M11,Undergraduate,EARTH    20,MOSOLF J G,C,3
M11,Undergraduate,EARTH    20,MOSOLF J G,C-,6
M11,Undergraduate,EARTH    20,MOSOLF J G,D+,5
M11,Undergraduate,EARTH    20,MOSOLF J G,D,3
M11,Undergraduate,EARTH    20,MOSOLF J G,F,3
M11,Undergraduate,EARTH   118,GANS P B,A-,2
M11,Undergraduate,EARTH   118,GANS P B,B+,1
M11,Undergraduate,EARTH   118,GANS P B,B,1
M11,Undergraduate,EARTH   118,GANS P B,B-,2
M11,Undergraduate,EARTH   118,GANS P B,C,1
M11,Undergraduate,EARTH   118,GANS P B,C-,1
M11,Undergraduate,EARTH   123,SPERA F J,A+,1
M11,Undergraduate,EARTH   123,SPERA F J,A,1
M11,Undergraduate,EARTH   123,SPERA F J,A-,1
M11,Undergraduate,EARTH   123,SPERA F J,B+,4
M11,Undergraduate,EARTH   123,SPERA F J,B,3
M11,Undergraduate,EARTH   123,SPERA F J,B-,3
M11,Undergraduate,EARTH   123,SPERA F J,C+,4
M11,Undergraduate,EARTH   123,SPERA F J,C,2
M11,Undergraduate,EARTH   123,SPERA F J,C-,2
