Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M11,Undergraduate,GER       1,BAULER R V,A+,2
M11,Undergraduate,GER       1,BAULER R V,A,16
M11,Undergraduate,GER       1,BAULER R V,B+,1
M11,Undergraduate,GER       2,BAULER R V,A+,1
M11,Undergraduate,GER       2,BAULER R V,A,10
M11,Undergraduate,GER       2,BAULER R V,A-,3
M11,Undergraduate,GER       2,BAULER R V,B+,1
M11,Undergraduate,GER       3,WADE E R,A+,2
M11,Undergraduate,GER       3,WADE E R,A,5
M11,Undergraduate,GER       3,WADE E R,A-,1
M11,Undergraduate,GER       3,WADE E R,B+,1
M11,Undergraduate,GER      55A,JONES B D,A,12
M11,Undergraduate,GER      55A,JONES B D,A-,1
M11,Undergraduate,GER      55A,JONES B D,B+,1
M11,Undergraduate,GER      55A,JONES B D,B,1
M11,Undergraduate,GER      55A,JONES B D,C,1
M11,Undergraduate,GER      55A,JONES B D,F,1
M11,Undergraduate,GER     116A,DERWIN S,A,4
M11,Undergraduate,GER     116A,DERWIN S,A-,1
M11,Undergraduate,GER     116A,DERWIN S,B+,2
M11,Undergraduate,GER     116A,DERWIN S,B,2
M11,Undergraduate,PSY     105,GERMAN T C M,A+,13
M11,Undergraduate,PSY     105,GERMAN T C M,A,34
M11,Undergraduate,PSY     105,GERMAN T C M,A-,7
M11,Undergraduate,PSY     105,GERMAN T C M,B+,17
M11,Undergraduate,PSY     105,GERMAN T C M,B,14
M11,Undergraduate,PSY     105,GERMAN T C M,B-,4
M11,Undergraduate,PSY     105,GERMAN T C M,C+,2
M11,Undergraduate,PSY     105,GERMAN T C M,C,4
M11,Undergraduate,PSY     105,GERMAN T C M,F,1
