Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M11,Undergraduate,LATIN     1,RAUH S H,A+,2
M11,Undergraduate,LATIN     1,RAUH S H,A,3
M11,Undergraduate,LATIN     1,RAUH S H,A-,2
M11,Undergraduate,LATIN     1,RAUH S H,B+,1
M11,Undergraduate,LATIN     1,RAUH S H,B,3
M11,Undergraduate,LATIN     2,HOLZMEISTER A,A+,3
M11,Undergraduate,LATIN     2,HOLZMEISTER A,A,3
M11,Undergraduate,LATIN     2,HOLZMEISTER A,A-,3
M11,Undergraduate,LATIN     2,HOLZMEISTER A,B,1
M11,Undergraduate,LATIN     2,HOLZMEISTER A,C-,1
M11,Undergraduate,LATIN     3,JEPPESEN S A,A+,2
M11,Undergraduate,LATIN     3,JEPPESEN S A,A,2
M11,Undergraduate,LATIN     3,JEPPESEN S A,A-,4
M11,Undergraduate,LATIN     3,JEPPESEN S A,B,4
M11,Undergraduate,LATIN     3,JEPPESEN S A,B-,3
M11,Undergraduate,LATIN     3,JEPPESEN S A,C,2
