Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M12,Undergraduate,BL ST     1,STEWART J C,A+,6
M12,Undergraduate,BL ST     1,STEWART J C,A,13
M12,Undergraduate,BL ST     1,STEWART J C,A-,10
M12,Undergraduate,BL ST     1,STEWART J C,B+,16
M12,Undergraduate,BL ST     1,STEWART J C,B,4
M12,Undergraduate,BL ST     1,STEWART J C,B-,4
M12,Undergraduate,BL ST     1,STEWART J C,F,2
M12,Undergraduate,BL ST    38B,BATISTE S L,A,2
M12,Undergraduate,BL ST    38B,BATISTE S L,A-,1
M12,Undergraduate,BL ST    38B,BATISTE S L,B+,4
M12,Undergraduate,BL ST    38B,BATISTE S L,B,4
M12,Undergraduate,BL ST    38B,BATISTE S L,B-,3
M12,Undergraduate,BL ST    38B,BATISTE S L,C+,1
M12,Undergraduate,BL ST    38B,BATISTE S L,C,2
M12,Undergraduate,BL ST    45,JACQUES G F,A+,2
M12,Undergraduate,BL ST    45,JACQUES G F,A,5
M12,Undergraduate,BL ST    45,JACQUES G F,A-,6
M12,Undergraduate,BL ST    45,JACQUES G F,B+,1
M12,Undergraduate,BL ST    45,JACQUES G F,B,1
M12,Undergraduate,BL ST    45,JACQUES G F,B-,2
M12,Undergraduate,BL ST    45,JACQUES G F,F,2
M12,Undergraduate,BL ST   108,MADISON O F,A-,4
M12,Undergraduate,BL ST   108,MADISON O F,B+,2
M12,Undergraduate,BL ST   108,MADISON O F,B,9
M12,Undergraduate,BL ST   108,MADISON O F,C+,2
M12,Undergraduate,BL ST   108,MADISON O F,F,2
M12,Undergraduate,BL ST   142,STEWART E L,A+,12
M12,Undergraduate,BL ST   142,STEWART E L,A,10
M12,Undergraduate,BL ST   142,STEWART E L,A-,10
M12,Undergraduate,BL ST   142,STEWART E L,B+,6
M12,Undergraduate,BL ST   142,STEWART E L,B,1
M12,Undergraduate,BL ST   142,STEWART E L,B-,4
M12,Undergraduate,BL ST   142,STEWART E L,C+,1
M12,Undergraduate,BL ST   142,STEWART E L,C,1
M12,Undergraduate,BL ST   142,STEWART E L,D+,1
M12,Undergraduate,BL ST   142,STEWART E L,F,2
