Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M12,Undergraduate,CNCSP   101,BROWN L G,A+,3
M12,Undergraduate,CNCSP   101,BROWN L G,A,8
M12,Undergraduate,CNCSP   101,BROWN L G,A-,4
M12,Undergraduate,CNCSP   101,BROWN L G,B+,4
M12,Undergraduate,CNCSP   101,BROWN L G,B,4
M12,Undergraduate,CNCSP   101,BROWN L G,B-,1
M12,Undergraduate,CNCSP   101,BROWN L G,C+,1
M12,Undergraduate,CNCSP   101,BROWN L G,C,1
M12,Undergraduate,CNCSP   101,BROWN L G,D+,1
M12,Undergraduate,CNCSP   101,CABRERA A P,A+,7
M12,Undergraduate,CNCSP   101,CABRERA A P,A,5
M12,Undergraduate,CNCSP   101,CABRERA A P,A-,4
M12,Undergraduate,CNCSP   101,CABRERA A P,B+,3
M12,Undergraduate,CNCSP   101,CABRERA A P,B,1
M12,Undergraduate,CNCSP   101,CABRERA A P,B-,3
M12,Undergraduate,CNCSP   101,CABRERA A P,C,1
M12,Undergraduate,CNCSP   101,CABRERA A P,C-,1
M12,Undergraduate,CNCSP   102,SHENOUDA A,P,47
M12,Undergraduate,CNCSP   110,STEEN M E,A,14
M12,Undergraduate,CNCSP   110,STEEN M E,B,7
M12,Undergraduate,CNCSP   110,STEEN M E,C,1
M12,Undergraduate,CNCSP   111,MORGAN M L,A,5
M12,Undergraduate,CNCSP   111,MORGAN M L,B,5
M12,Undergraduate,CNCSP   111,MORGAN M L,C,2
M12,Undergraduate,CNCSP   114,CONOVER K J,A,3
M12,Undergraduate,CNCSP   114,CONOVER K J,A-,4
M12,Undergraduate,CNCSP   114,CONOVER K J,B+,4
M12,Undergraduate,CNCSP   114,CONOVER K J,B,5
M12,Undergraduate,CNCSP   114,CONOVER K J,B-,2
M12,Undergraduate,CNCSP   114,CONOVER K J,C+,2
M12,Undergraduate,CNCSP   114,CONOVER K J,C,2
M12,Graduate,CNCSP   252,SMITH S R,A+,1
M12,Graduate,CNCSP   252,SMITH S R,A,3
M12,Graduate,CNCSP   252,SMITH S R,A-,2
M12,Graduate,CNCSP   252,SMITH S R,B+,2
M12,Graduate,CNCSP   252,SMITH S R,B,1
M12,Graduate,CNCSP   270,SMITH S R,S,10
