Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M12,Undergraduate,DANCE    36,BENNAHUM D,A,6
M12,Undergraduate,DANCE    36,BENNAHUM D,A-,8
M12,Undergraduate,DANCE    36,BENNAHUM D,B+,2
M12,Undergraduate,DANCE    36,BENNAHUM D,B,1
M12,Undergraduate,DANCE    36,BENNAHUM D,B-,2
M12,Undergraduate,DANCE    36,BENNAHUM D,F,2
M12,Undergraduate,DANCE    40,MOSELEY D,A,7
M12,Undergraduate,DANCE    40,MOSELEY D,A-,2
M12,Undergraduate,DANCE    40,MOSELEY D,B+,1
M12,Undergraduate,DANCE    40,MOSELEY D,B-,1
M12,Undergraduate,DANCE    40,MOSELEY D,F,1
M12,Undergraduate,DANCE    41,PEARSON J,A,16
M12,Undergraduate,DANCE    41,PEARSON J,A-,1
M12,Undergraduate,DANCE    41,PEARSON J,B+,1
M12,Undergraduate,DANCE    41,PEARSON J,B,1
M12,Undergraduate,DANCE    41,PEARSON J,B-,1
M12,Undergraduate,DANCE    60,MOSELEY D,A,10
M12,Undergraduate,DANCE    60,MOSELEY D,A-,1
M12,Undergraduate,DANCE   147A,HUSTON V G,A,3
M12,Undergraduate,DANCE   147A,HUSTON V G,B+,6
M12,Undergraduate,DANCE   156A,COLAHAN N,A,8
M12,Undergraduate,DANCE   156A,COLAHAN N,A-,3
