Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M12,Undergraduate,FEMST    30,BORGES S,A,3
M12,Undergraduate,FEMST    30,BORGES S,A-,4
M12,Undergraduate,FEMST    30,BORGES S,B+,5
M12,Undergraduate,FEMST    30,BORGES S,B,7
M12,Undergraduate,FEMST    30,BORGES S,B-,1
M12,Undergraduate,FEMST    30,BORGES S,C+,3
M12,Undergraduate,FEMST    80,DODSON L E,A+,5
M12,Undergraduate,FEMST    80,DODSON L E,A,7
M12,Undergraduate,FEMST    80,DODSON L E,A-,3
M12,Undergraduate,FEMST    80,DODSON L E,B+,2
M12,Undergraduate,FEMST    80,DODSON L E,B-,1
M12,Undergraduate,FEMST   131,THOMSEN C A,A+,1
M12,Undergraduate,FEMST   131,THOMSEN C A,A,3
M12,Undergraduate,FEMST   131,THOMSEN C A,A-,3
M12,Undergraduate,FEMST   131,THOMSEN C A,B,4
M12,Undergraduate,FEMST   131,THOMSEN C A,B-,1
M12,Undergraduate,FEMST   131,THOMSEN C A,F,1
M12,Undergraduate,FEMST   144,BOBO J,A,4
M12,Undergraduate,FEMST   144,BOBO J,A-,2
M12,Undergraduate,FEMST   144,BOBO J,B,2
M12,Undergraduate,FEMST   144,BOBO J,C,1
M12,Undergraduate,FEMST   150,WEBER S N,A,7
M12,Undergraduate,FEMST   150,WEBER S N,A-,2
M12,Undergraduate,FEMST   150,WEBER S N,B+,5
M12,Undergraduate,FEMST   150,WEBER S N,B,2
M12,Undergraduate,FEMST   150,WEBER S N,B-,5
M12,Undergraduate,FEMST   150,WEBER S N,C+,1
M12,Undergraduate,FEMST   150,WEBER S N,C,5
M12,Undergraduate,FEMST   150,WEBER S N,C-,5
M12,Undergraduate,FEMST   150,WEBER S N,D,2
M12,Undergraduate,FEMST   150,WEBER S N,D-,2
M12,Undergraduate,FEMST   150,WEBER S N,F,6
M12,Undergraduate,FEMST   151HB,BERG H R,A+,2
M12,Undergraduate,FEMST   151HB,BERG H R,A,12
M12,Undergraduate,FEMST   151HB,BERG H R,A-,1
M12,Undergraduate,FEMST   151HB,BERG H R,B,1
M12,Undergraduate,FEMST   151HB,BERG H R,F,1
M12,Undergraduate,FEMST   186DL,DIAMOND-LENOW,A+,2
M12,Undergraduate,FEMST   186DL,DIAMOND-LENOW,A,4
M12,Undergraduate,FEMST   186DL,DIAMOND-LENOW,A-,2
M12,Undergraduate,FEMST   186DL,DIAMOND-LENOW,B+,2
M12,Undergraduate,FEMST   186DL,DIAMOND-LENOW,B,1
M12,Undergraduate,FEMST   186DL,DIAMOND-LENOW,B-,1
M12,Undergraduate,FEMST   186DL,DIAMOND-LENOW,F,1
