Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M12,Undergraduate,MUS      11,BARBASCH C N,A+,12
M12,Undergraduate,MUS      11,BARBASCH C N,A,7
M12,Undergraduate,MUS      11,BARBASCH C N,A-,7
M12,Undergraduate,MUS      11,BARBASCH C N,B+,4
M12,Undergraduate,MUS      11,BARBASCH C N,B,6
M12,Undergraduate,MUS      11,BARBASCH C N,B-,6
M12,Undergraduate,MUS      11,BARBASCH C N,C+,5
M12,Undergraduate,MUS      11,BARBASCH C N,C,6
M12,Undergraduate,MUS      11,BARBASCH C N,C-,2
M12,Undergraduate,MUS      11,BARBASCH C N,D,1
M12,Undergraduate,MUS      11,BARBASCH C N,D-,1
M12,Undergraduate,MUS      11,BARBASCH C N,F,4
M12,Undergraduate,MUS      15,JOYCE M C,A+,1
M12,Undergraduate,MUS      15,JOYCE M C,A,5
M12,Undergraduate,MUS      15,JOYCE M C,A-,7
M12,Undergraduate,MUS      15,JOYCE M C,B+,4
M12,Undergraduate,MUS      15,JOYCE M C,B,4
M12,Undergraduate,MUS      15,JOYCE M C,B-,4
M12,Undergraduate,MUS      15,JOYCE M C,C+,3
M12,Undergraduate,MUS      15,JOYCE M C,C,5
M12,Undergraduate,MUS      15,JOYCE M C,F,1
M12,Undergraduate,MUS      15,MCCULLOUGH E,A,8
M12,Undergraduate,MUS      15,MCCULLOUGH E,A-,6
M12,Undergraduate,MUS      15,MCCULLOUGH E,B+,7
M12,Undergraduate,MUS      15,MCCULLOUGH E,B,4
M12,Undergraduate,MUS      15,MCCULLOUGH E,B-,4
M12,Undergraduate,MUS      15,MCCULLOUGH E,C+,8
M12,Undergraduate,MUS      15,MCCULLOUGH E,C,6
M12,Undergraduate,MUS      15,MCCULLOUGH E,C-,2
M12,Undergraduate,MUS      15,MCCULLOUGH E,D+,3
M12,Undergraduate,MUS      15,MCCULLOUGH E,D,2
M12,Undergraduate,MUS      15,MCCULLOUGH E,F,2
M12,Undergraduate,MUS      17,BLAKE G K,A+,2
M12,Undergraduate,MUS      17,BLAKE G K,A,5
M12,Undergraduate,MUS      17,BLAKE G K,A-,1
M12,Undergraduate,MUS      17,BLAKE G K,B+,3
M12,Undergraduate,MUS      17,BLAKE G K,B,4
M12,Undergraduate,MUS      17,BLAKE G K,D,1
M12,Undergraduate,MUS      17,GORDON L S,A+,2
M12,Undergraduate,MUS      17,GORDON L S,A,1
M12,Undergraduate,MUS      17,GORDON L S,A-,4
M12,Undergraduate,MUS      17,GORDON L S,B+,2
M12,Undergraduate,MUS      17,GORDON L S,B,7
M12,Undergraduate,MUS      17,GORDON L S,B-,2
M12,Undergraduate,MUS      17,GORDON L S,C+,2
M12,Undergraduate,MUS      17,GORDON L S,C-,1
M12,Undergraduate,MUS     114,RUSSELL D L,A+,13
M12,Undergraduate,MUS     114,RUSSELL D L,A,23
M12,Undergraduate,MUS     114,RUSSELL D L,A-,10
M12,Undergraduate,MUS     114,RUSSELL D L,B+,9
M12,Undergraduate,MUS     114,RUSSELL D L,B,9
M12,Undergraduate,MUS     114,RUSSELL D L,B-,2
M12,Undergraduate,MUS     114,RUSSELL D L,C,1
M12,Undergraduate,MUS     114,RUSSELL D L,D,1
M12,Undergraduate,MUS     114,RUSSELL D L,F,2
