Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M12,Undergraduate,RG ST     1,RECLA M J,A,1
M12,Undergraduate,RG ST     1,RECLA M J,A-,2
M12,Undergraduate,RG ST     1,RECLA M J,B+,4
M12,Undergraduate,RG ST     1,RECLA M J,B,4
M12,Undergraduate,RG ST     1,RECLA M J,B-,3
M12,Undergraduate,RG ST     1,RECLA M J,C+,2
M12,Undergraduate,RG ST     1,RECLA M J,C-,1
M12,Undergraduate,RG ST     1,RECLA M J,D+,1
M12,Undergraduate,RG ST     1,RECLA M J,D-,1
M12,Undergraduate,RG ST     1,SOKOLL A J,A,2
M12,Undergraduate,RG ST     1,SOKOLL A J,A-,3
M12,Undergraduate,RG ST     1,SOKOLL A J,B+,10
M12,Undergraduate,RG ST     1,SOKOLL A J,B,3
M12,Undergraduate,RG ST     1,SOKOLL A J,B-,2
M12,Undergraduate,RG ST     1,SOKOLL A J,C+,2
M12,Undergraduate,RG ST     1,SOKOLL A J,C-,1
M12,Undergraduate,RG ST     3,DHILLON P D,A+,2
M12,Undergraduate,RG ST     3,DHILLON P D,A,5
M12,Undergraduate,RG ST     3,DHILLON P D,A-,3
M12,Undergraduate,RG ST     3,DHILLON P D,B+,2
M12,Undergraduate,RG ST     3,DHILLON P D,B,1
M12,Undergraduate,RG ST     3,DHILLON P D,B-,1
M12,Undergraduate,RG ST     3,DHILLON P D,F,1
M12,Undergraduate,RG ST     3,GRUBER J S,A+,1
M12,Undergraduate,RG ST     3,GRUBER J S,A,4
M12,Undergraduate,RG ST     3,GRUBER J S,A-,2
M12,Undergraduate,RG ST     3,GRUBER J S,B+,2
M12,Undergraduate,RG ST     3,GRUBER J S,B,3
M12,Undergraduate,RG ST     3,GRUBER J S,B-,4
M12,Undergraduate,RG ST     3,GRUBER J S,C,1
M12,Undergraduate,RG ST     4,MCGOVERN N M,A+,1
M12,Undergraduate,RG ST     4,MCGOVERN N M,A,1
M12,Undergraduate,RG ST     4,MCGOVERN N M,A-,2
M12,Undergraduate,RG ST     4,MCGOVERN N M,B+,6
M12,Undergraduate,RG ST     4,MCGOVERN N M,B,2
M12,Undergraduate,RG ST     4,MCGOVERN N M,C+,1
M12,Undergraduate,RG ST     4,MCGOVERN N M,C,1
M12,Undergraduate,RG ST     4,MCGOVERN N M,F,1
M12,Undergraduate,RG ST     5,BALLMES V J,A,1
M12,Undergraduate,RG ST     5,BALLMES V J,A-,1
M12,Undergraduate,RG ST     5,BALLMES V J,B+,3
M12,Undergraduate,RG ST     5,BALLMES V J,C+,1
M12,Undergraduate,RG ST     5,BALLMES V J,C,2
M12,Undergraduate,RG ST     5,BALLMES V J,C-,1
M12,Undergraduate,RG ST     5,BALLMES V J,D,1
M12,Undergraduate,RG ST     5,BALLMES V J,F,1
M12,Undergraduate,RG ST     7,MCCONEGHY D W,A+,4
M12,Undergraduate,RG ST     7,MCCONEGHY D W,A,4
M12,Undergraduate,RG ST     7,MCCONEGHY D W,A-,5
M12,Undergraduate,RG ST     7,MCCONEGHY D W,B+,1
M12,Undergraduate,RG ST     7,MCCONEGHY D W,B,1
M12,Undergraduate,RG ST     7,MCCONEGHY D W,F,2
M12,Undergraduate,RG ST    12,ONISHI B B,A,1
M12,Undergraduate,RG ST    12,ONISHI B B,A-,5
M12,Undergraduate,RG ST    12,ONISHI B B,B,4
M12,Undergraduate,RG ST    12,ONISHI B B,B-,1
M12,Undergraduate,RG ST    12,ONISHI B B,C+,1
M12,Undergraduate,RG ST    12,ONISHI B B,F,1
M12,Undergraduate,RG ST    12,RICH N D,A,5
M12,Undergraduate,RG ST    12,RICH N D,A-,3
M12,Undergraduate,RG ST    12,RICH N D,B+,6
M12,Undergraduate,RG ST    12,RICH N D,B,7
M12,Undergraduate,RG ST    12,RICH N D,B-,2
M12,Undergraduate,RG ST    12,RICH N D,C+,1
M12,Undergraduate,RG ST    12,RICH N D,C,2
M12,Undergraduate,RG ST    14,FAWCETT N,A,3
M12,Undergraduate,RG ST    14,FAWCETT N,A-,2
M12,Undergraduate,RG ST    14,FAWCETT N,B+,1
M12,Undergraduate,RG ST    14,FAWCETT N,B-,5
M12,Undergraduate,RG ST    14,FAWCETT N,C+,1
M12,Undergraduate,RG ST    14,FAWCETT N,C,1
M12,Undergraduate,RG ST    14,FAWCETT N,C-,2
M12,Undergraduate,RG ST    14,FAWCETT N,D+,1
M12,Undergraduate,RG ST    14,FAWCETT N,F,1
M12,Undergraduate,RG ST    14,MUNSON T G,A,6
M12,Undergraduate,RG ST    14,MUNSON T G,A-,4
M12,Undergraduate,RG ST    14,MUNSON T G,B+,2
M12,Undergraduate,RG ST    14,MUNSON T G,B,1
M12,Undergraduate,RG ST    14,MUNSON T G,B-,1
M12,Undergraduate,RG ST    14,MUNSON T G,C+,1
M12,Undergraduate,RG ST    14,MUNSON T G,F,2
M12,Undergraduate,RG ST    20,FOWLER D S,A+,1
M12,Undergraduate,RG ST    20,FOWLER D S,A,6
M12,Undergraduate,RG ST    20,FOWLER D S,B+,3
M12,Undergraduate,RG ST    20,FOWLER D S,B,4
M12,Undergraduate,RG ST    20,FOWLER D S,C,1
M12,Undergraduate,RG ST    21,HILLIS G A,A+,2
M12,Undergraduate,RG ST    21,HILLIS G A,A,5
M12,Undergraduate,RG ST    21,HILLIS G A,A-,9
M12,Undergraduate,RG ST    21,HILLIS G A,B+,2
M12,Undergraduate,RG ST    21,HILLIS G A,B,2
M12,Undergraduate,RG ST    21,HILLIS G A,B-,1
M12,Undergraduate,RG ST    21,HILLIS G A,C+,1
M12,Undergraduate,RG ST    31,HILLIS G A,A+,1
M12,Undergraduate,RG ST    31,HILLIS G A,A,2
M12,Undergraduate,RG ST    31,HILLIS G A,A-,8
M12,Undergraduate,RG ST    31,HILLIS G A,B+,5
M12,Undergraduate,RG ST    31,HILLIS G A,B,3
M12,Undergraduate,RG ST    31,HILLIS G A,B-,2
M12,Undergraduate,RG ST    31,HILLIS G A,C+,3
M12,Undergraduate,RG ST   113,HECHT R,A,9
M12,Undergraduate,RG ST   113,HECHT R,A-,6
M12,Undergraduate,RG ST   113,HECHT R,B+,5
M12,Undergraduate,RG ST   113,HECHT R,B,7
M12,Undergraduate,RG ST   113,HECHT R,B-,7
M12,Undergraduate,RG ST   113,HECHT R,C,2
M12,Undergraduate,RG ST   113,HECHT R,F,1
M12,Undergraduate,RG ST   116A,MONGE R G,A,1
M12,Undergraduate,RG ST   116A,MONGE R G,A-,1
M12,Undergraduate,RG ST   116A,MONGE R G,B-,2
M12,Undergraduate,RG ST   116A,MONGE R G,C,1
M12,Undergraduate,RG ST   140A,TEMEL A,A+,1
M12,Undergraduate,RG ST   140A,TEMEL A,A,1
M12,Undergraduate,RG ST   140A,TEMEL A,A-,1
M12,Undergraduate,RG ST   140A,TEMEL A,B,4
M12,Undergraduate,RG ST   140A,TEMEL A,B-,2
M12,Undergraduate,RG ST   160A,FOWLER D S,A+,1
M12,Undergraduate,RG ST   160A,FOWLER D S,A,4
M12,Undergraduate,RG ST   160A,FOWLER D S,A-,3
M12,Undergraduate,RG ST   160A,FOWLER D S,B+,2
M12,Undergraduate,RG ST   160A,FOWLER D S,B,1
M12,Undergraduate,RG ST   160A,FOWLER D S,B-,1
M12,Undergraduate,RG ST   160A,FOWLER D S,C+,1
M12,Undergraduate,RG ST   160A,FOWLER D S,C-,1
