Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M12,Undergraduate,WRIT      1,HARRIS-MOORE,A,7
M12,Undergraduate,WRIT      1,HARRIS-MOORE,A-,8
M12,Undergraduate,WRIT      1,HARRIS-MOORE,B+,7
M12,Undergraduate,WRIT      1,HARRIS-MOORE,B,6
M12,Undergraduate,WRIT      1,HARRIS-MOORE,B-,1
M12,Undergraduate,WRIT      1,HARRIS-MOORE,C+,2
M12,Undergraduate,WRIT      1,HARRIS-MOORE,F,3
M12,Undergraduate,WRIT      1,KRUT R M,A,7
M12,Undergraduate,WRIT      1,KRUT R M,A-,8
M12,Undergraduate,WRIT      1,KRUT R M,B+,3
M12,Undergraduate,WRIT      1,KRUT R M,B,2
M12,Undergraduate,WRIT      1,SANDERS S L,A,5
M12,Undergraduate,WRIT      1,SANDERS S L,A-,5
M12,Undergraduate,WRIT      1,SANDERS S L,B+,2
M12,Undergraduate,WRIT      2,AKSOY C,A-,5
M12,Undergraduate,WRIT      2,AKSOY C,B+,1
M12,Undergraduate,WRIT      2,AKSOY C,B,4
M12,Undergraduate,WRIT      2,AKSOY C,B-,1
M12,Undergraduate,WRIT      2,BARBA P,A,6
M12,Undergraduate,WRIT      2,BARBA P,A-,5
M12,Undergraduate,WRIT      2,BARBA P,B+,3
M12,Undergraduate,WRIT      2,BARBA P,B,5
M12,Undergraduate,WRIT      2,BARBA P,C+,2
M12,Undergraduate,WRIT      2,BARBA P,C,1
M12,Undergraduate,WRIT      2,BARBA P,F,1
M12,Undergraduate,WRIT      2,DANIELS T A,A,6
M12,Undergraduate,WRIT      2,DANIELS T A,A-,3
M12,Undergraduate,WRIT      2,DANIELS T A,B+,2
M12,Undergraduate,WRIT      2,DANIELS T A,B,3
M12,Undergraduate,WRIT      2,DANIELS T A,B-,1
M12,Undergraduate,WRIT      2,DANIELS T A,C+,1
M12,Undergraduate,WRIT      2,ERNST B C,A+,3
M12,Undergraduate,WRIT      2,ERNST B C,A,27
M12,Undergraduate,WRIT      2,ERNST B C,A-,6
M12,Undergraduate,WRIT      2,ERNST B C,B+,6
M12,Undergraduate,WRIT      2,ERNST B C,B,5
M12,Undergraduate,WRIT      2,ERNST B C,F,1
M12,Undergraduate,WRIT      2,GORDON L S,A,3
M12,Undergraduate,WRIT      2,GORDON L S,B+,3
M12,Undergraduate,WRIT      2,GORDON L S,B,1
M12,Undergraduate,WRIT      2,GORDON L S,C-,1
M12,Undergraduate,WRIT      2,GORDON L S,D+,2
M12,Undergraduate,WRIT      2,GORDON L S,F,1
M12,Undergraduate,WRIT      2,KEARNEY K P,A,20
M12,Undergraduate,WRIT      2,KEARNEY K P,A-,9
M12,Undergraduate,WRIT      2,KEARNEY K P,B+,7
M12,Undergraduate,WRIT      2,KEARNEY K P,B,8
M12,Undergraduate,WRIT      2,KEARNEY K P,B-,1
M12,Undergraduate,WRIT      2,RUTHERFORD L,A-,3
M12,Undergraduate,WRIT      2,RUTHERFORD L,B+,3
M12,Undergraduate,WRIT      2,RUTHERFORD L,B,2
M12,Undergraduate,WRIT      2,RUTHERFORD L,B-,2
M12,Undergraduate,WRIT      2,RUTHERFORD L,C+,1
M12,Undergraduate,WRIT      2,RUTHERFORD L,F,1
M12,Undergraduate,WRIT      2,WALKER D R,A,1
M12,Undergraduate,WRIT      2,WALKER D R,A-,2
M12,Undergraduate,WRIT      2,WALKER D R,B+,1
M12,Undergraduate,WRIT      2,WALKER D R,B,5
M12,Undergraduate,WRIT      2,WALKER D R,B-,1
M12,Undergraduate,WRIT      2,WALKER D R,D,1
M12,Undergraduate,WRIT      2,WALKER D R,F,1
M12,Undergraduate,WRIT     50,DONELAN J H,A,7
M12,Undergraduate,WRIT     50,DONELAN J H,A-,8
M12,Undergraduate,WRIT     50,DONELAN J H,B+,4
M12,Undergraduate,WRIT     50,DONELAN J H,B,1
M12,Undergraduate,WRIT     50,PATTERSON K A,A,5
M12,Undergraduate,WRIT     50,PATTERSON K A,A-,12
M12,Undergraduate,WRIT     50,PATTERSON K A,B+,11
M12,Undergraduate,WRIT     50,PATTERSON K A,B,11
M12,Undergraduate,WRIT     50,PATTERSON K A,B-,9
M12,Undergraduate,WRIT     50,PATTERSON K A,C+,3
M12,Undergraduate,WRIT     50,PATTERSON K A,C,1
M12,Undergraduate,WRIT     50,PATTERSON K A,F,1
M12,Undergraduate,WRIT    105C,MCHUGH P,A,13
M12,Undergraduate,WRIT    105C,MCHUGH P,B+,1
M12,Undergraduate,WRIT    105C,MCHUGH P,B,1
M12,Undergraduate,WRIT    105C,MCHUGH P,F,1
M12,Undergraduate,WRIT    105G,COTICH C,A+,1
M12,Undergraduate,WRIT    105G,COTICH C,A,1
M12,Undergraduate,WRIT    105G,COTICH C,A-,6
M12,Undergraduate,WRIT    105G,COTICH C,B+,5
M12,Undergraduate,WRIT    105G,COTICH C,B,1
M12,Undergraduate,WRIT    105G,COTICH C,B-,5
M12,Undergraduate,WRIT    105G,COTICH C,C+,3
M12,Undergraduate,WRIT    105G,COTICH C,C,4
M12,Undergraduate,WRIT    105G,COTICH C,C-,1
M12,Undergraduate,WRIT    105G,COTICH C,D+,2
M12,Undergraduate,WRIT    105G,COTICH C,F,4
M12,Undergraduate,WRIT    105G,VALLIS D L,A,9
M12,Undergraduate,WRIT    105G,VALLIS D L,A-,6
M12,Undergraduate,WRIT    105G,VALLIS D L,B+,2
M12,Undergraduate,WRIT    105G,VALLIS D L,B,1
M12,Undergraduate,WRIT    105G,VALLIS D L,C+,1
M12,Undergraduate,WRIT    105M,WUEBBEN D L,A+,2
M12,Undergraduate,WRIT    105M,WUEBBEN D L,A,26
M12,Undergraduate,WRIT    105M,WUEBBEN D L,A-,13
M12,Undergraduate,WRIT    105M,WUEBBEN D L,B+,3
M12,Undergraduate,WRIT    105M,WUEBBEN D L,B,1
M12,Undergraduate,WRIT    105M,WUEBBEN D L,B-,1
M12,Undergraduate,WRIT    105R,VALLIS D L,A+,3
M12,Undergraduate,WRIT    105R,VALLIS D L,A,7
M12,Undergraduate,WRIT    105R,VALLIS D L,A-,9
M12,Undergraduate,WRIT    107B,COKLIN L,A,7
M12,Undergraduate,WRIT    107B,COKLIN L,A-,5
M12,Undergraduate,WRIT    107B,COKLIN L,B+,9
M12,Undergraduate,WRIT    107B,COKLIN L,B,2
M12,Undergraduate,WRIT    107B,COKLIN L,C+,1
M12,Undergraduate,WRIT    107B,EK A A,A,23
M12,Undergraduate,WRIT    107B,EK A A,A-,5
M12,Undergraduate,WRIT    107B,EK A A,B+,6
M12,Undergraduate,WRIT    107B,EK A A,B,3
M12,Undergraduate,WRIT    107B,EK A A,B-,2
M12,Undergraduate,WRIT    107B,EK A A,C+,1
M12,Undergraduate,WRIT    107B,KRUT R M,A,29
M12,Undergraduate,WRIT    107B,KRUT R M,A-,6
M12,Undergraduate,WRIT    107B,KRUT R M,B+,5
M12,Undergraduate,WRIT    107B,KRUT R M,B,2
M12,Undergraduate,WRIT    107B,MIZRAHI J L,A,2
M12,Undergraduate,WRIT    107B,MIZRAHI J L,A-,2
M12,Undergraduate,WRIT    107B,MIZRAHI J L,B+,2
M12,Undergraduate,WRIT    107B,MIZRAHI J L,B,5
M12,Undergraduate,WRIT    107B,MIZRAHI J L,B-,3
M12,Undergraduate,WRIT    107B,MIZRAHI J L,C+,1
M12,Undergraduate,WRIT    107G,HUK P M,A+,1
M12,Undergraduate,WRIT    107G,HUK P M,A,14
M12,Undergraduate,WRIT    107G,HUK P M,A-,16
M12,Undergraduate,WRIT    107G,HUK P M,B+,14
M12,Undergraduate,WRIT    107G,HUK P M,B,9
M12,Undergraduate,WRIT    107G,HUK P M,B-,1
M12,Undergraduate,WRIT    107G,HUK P M,C+,1
