Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,ANTH      2,KUNDU M,A+,3
M13,Undergraduate,ANTH      2,KUNDU M,A,3
M13,Undergraduate,ANTH      2,KUNDU M,A-,3
M13,Undergraduate,ANTH      2,KUNDU M,B+,4
M13,Undergraduate,ANTH      2,KUNDU M,B,12
M13,Undergraduate,ANTH      2,KUNDU M,B-,6
M13,Undergraduate,ANTH      2,KUNDU M,C+,10
M13,Undergraduate,ANTH      2,KUNDU M,C,4
M13,Undergraduate,ANTH      2,KUNDU M,C-,2
M13,Undergraduate,ANTH      2,KUNDU M,F,1
M13,Undergraduate,ANTH      2,WHITTLE M D,A+,2
M13,Undergraduate,ANTH      2,WHITTLE M D,A,6
M13,Undergraduate,ANTH      2,WHITTLE M D,A-,2
M13,Undergraduate,ANTH      2,WHITTLE M D,B+,11
M13,Undergraduate,ANTH      2,WHITTLE M D,B,16
M13,Undergraduate,ANTH      2,WHITTLE M D,B-,3
M13,Undergraduate,ANTH      2,WHITTLE M D,C+,3
M13,Undergraduate,ANTH      2,WHITTLE M D,C,3
M13,Undergraduate,ANTH      2,WHITTLE M D,C-,2
M13,Undergraduate,ANTH      2,WHITTLE M D,D,4
M13,Undergraduate,ANTH      2,WHITTLE M D,F,6
M13,Undergraduate,ANTH      3SS,VANDERWARKER,A,6
M13,Undergraduate,ANTH      3SS,VANDERWARKER,A-,5
M13,Undergraduate,ANTH      3SS,VANDERWARKER,B+,8
M13,Undergraduate,ANTH      3SS,VANDERWARKER,B,12
M13,Undergraduate,ANTH      3SS,VANDERWARKER,B-,11
M13,Undergraduate,ANTH      3SS,VANDERWARKER,C+,6
M13,Undergraduate,ANTH      3SS,VANDERWARKER,C,4
M13,Undergraduate,ANTH      3SS,VANDERWARKER,C-,1
M13,Undergraduate,ANTH      5,GAULIN S J,A+,2
M13,Undergraduate,ANTH      5,GAULIN S J,A,1
M13,Undergraduate,ANTH      5,GAULIN S J,B+,7
M13,Undergraduate,ANTH      5,GAULIN S J,B,8
M13,Undergraduate,ANTH      5,GAULIN S J,B-,6
M13,Undergraduate,ANTH      5,GAULIN S J,C+,3
M13,Undergraduate,ANTH      5,GAULIN S J,C,11
M13,Undergraduate,ANTH      5,GAULIN S J,C-,2
M13,Undergraduate,ANTH      5,GAULIN S J,D+,1
M13,Undergraduate,ANTH      5,GAULIN S J,D-,2
M13,Undergraduate,ANTH      5,GAULIN S J,F,6
M13,Undergraduate,ANTH    103B,LEWALLEN A,A+,1
M13,Undergraduate,ANTH    103B,LEWALLEN A,A,5
M13,Undergraduate,ANTH    103B,LEWALLEN A,A-,1
M13,Undergraduate,ANTH    103B,LEWALLEN A,B+,2
M13,Undergraduate,ANTH    105,MCALLISTER L,A+,1
M13,Undergraduate,ANTH    105,MCALLISTER L,A,6
M13,Undergraduate,ANTH    105,MCALLISTER L,A-,14
M13,Undergraduate,ANTH    105,MCALLISTER L,B+,3
M13,Undergraduate,ANTH    105,MCALLISTER L,B,10
M13,Undergraduate,ANTH    105,MCALLISTER L,B-,10
M13,Undergraduate,ANTH    105,MCALLISTER L,C+,1
M13,Undergraduate,ANTH    105,MCALLISTER L,C,2
M13,Undergraduate,ANTH    105,MCALLISTER L,C-,3
M13,Undergraduate,ANTH    105,MCALLISTER L,D,1
M13,Undergraduate,ANTH    105,MCALLISTER L,D-,1
M13,Undergraduate,ANTH    105,MCALLISTER L,F,2
M13,Undergraduate,ANTH    106,WHITTLE M D,A+,2
M13,Undergraduate,ANTH    106,WHITTLE M D,A,3
M13,Undergraduate,ANTH    106,WHITTLE M D,A-,1
M13,Undergraduate,ANTH    106,WHITTLE M D,B+,3
M13,Undergraduate,ANTH    106,WHITTLE M D,B,1
M13,Undergraduate,ANTH    106,WHITTLE M D,B-,1
M13,Undergraduate,ANTH    107,CIMINO A N,A,12
M13,Undergraduate,ANTH    107,CIMINO A N,B,12
M13,Undergraduate,ANTH    107,CIMINO A N,C,11
M13,Undergraduate,ANTH    107,CIMINO A N,D,6
M13,Undergraduate,ANTH    107,CIMINO A N,F,6
M13,Undergraduate,ANTH    109,CIMINO A N,A,10
M13,Undergraduate,ANTH    109,CIMINO A N,B,31
M13,Undergraduate,ANTH    109,CIMINO A N,C,15
M13,Undergraduate,ANTH    109,CIMINO A N,D,6
M13,Undergraduate,ANTH    109,CIMINO A N,F,5
