Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,ARTST     1A,KINOSHITA Y,A+,1
M13,Undergraduate,ARTST     1A,KINOSHITA Y,A,7
M13,Undergraduate,ARTST     1A,KINOSHITA Y,A-,4
M13,Undergraduate,ARTST     1A,KINOSHITA Y,B+,3
M13,Undergraduate,ARTST     1A,KINOSHITA Y,B,2
M13,Undergraduate,ARTST     1A,KINOSHITA Y,B-,1
M13,Undergraduate,ARTST     1A,KINOSHITA Y,F,1
M13,Undergraduate,ARTST     1A,VANDERPOOL J,A+,8
M13,Undergraduate,ARTST     1A,VANDERPOOL J,A,4
M13,Undergraduate,ARTST     1A,VANDERPOOL J,A-,1
M13,Undergraduate,ARTST     1A,VANDERPOOL J,B+,2
M13,Undergraduate,ARTST     1A,VANDERPOOL J,D,1
M13,Undergraduate,ARTST     1A,VANDERPOOL J,F,1
M13,Undergraduate,ARTST     7A,FOLK E,A,4
M13,Undergraduate,ARTST     7A,FOLK E,A-,3
M13,Undergraduate,ARTST     7A,FOLK E,B+,3
M13,Undergraduate,ARTST     7A,FOLK E,B-,1
M13,Undergraduate,ARTST     7A,FOLK E,F,2
M13,Undergraduate,ARTST    10,OSORIO R A,B+,3
M13,Undergraduate,ARTST    10,OSORIO R A,B,2
M13,Undergraduate,ARTST    10,OSORIO R A,C-,1
M13,Undergraduate,ARTST    18,OSORIO R A,A+,1
M13,Undergraduate,ARTST    18,OSORIO R A,A,7
M13,Undergraduate,ARTST    18,OSORIO R A,A-,3
M13,Undergraduate,ARTST    18,OSORIO R A,B+,3
M13,Undergraduate,ARTST    18,OSORIO R A,B,5
M13,Undergraduate,ARTST   100,WASHBURN S,A,1
M13,Undergraduate,ARTST   100,WASHBURN S,A-,4
M13,Undergraduate,ARTST   100,WASHBURN S,B,3
M13,Undergraduate,ARTST   100,WASHBURN S,B-,1
M13,Undergraduate,ARTST   100,WASHBURN S,C+,1
M13,Undergraduate,ARTST   100,WASHBURN S,C,1
M13,Undergraduate,ARTST   100,WASHBURN S,C-,1
M13,Undergraduate,ARTST   100,WASHBURN S,D+,1
M13,Undergraduate,ARTST   110,EKSTROM L,A,7
M13,Undergraduate,ARTST   110,EKSTROM L,B+,3
M13,Undergraduate,ARTST   110,EKSTROM L,B,1
M13,Undergraduate,ARTST   117,BULIS R A,A+,1
M13,Undergraduate,ARTST   117,BULIS R A,A,8
M13,Undergraduate,ARTST   117,BULIS R A,A-,1
M13,Undergraduate,ARTST   117,BULIS R A,B+,2
M13,Undergraduate,ARTST   117,BULIS R A,B,1
M13,Undergraduate,ARTST   117,BULIS R A,B-,1
M13,Undergraduate,ARTST   117,BULIS R A,C+,1
M13,Undergraduate,ARTST   120,SEGALOVE I J,A,2
M13,Undergraduate,ARTST   120,SEGALOVE I J,A-,2
M13,Undergraduate,ARTST   120,SEGALOVE I J,B+,3
M13,Undergraduate,ARTST   120,SEGALOVE I J,B,3
M13,Undergraduate,ARTST   120,SEGALOVE I J,C+,3
M13,Undergraduate,ARTST   120,SEGALOVE I J,D,1
M13,Undergraduate,ARTST   123,REESE S L,A+,2
M13,Undergraduate,ARTST   123,REESE S L,A-,2
M13,Undergraduate,ARTST   123,REESE S L,B+,5
M13,Undergraduate,ARTST   123,REESE S L,B,6
M13,Undergraduate,ARTST   123,REESE S L,B-,3
M13,Undergraduate,ARTST   125,WASHBURN S,A,4
M13,Undergraduate,ARTST   125,WASHBURN S,A-,3
M13,Undergraduate,ARTST   125,WASHBURN S,B+,4
M13,Undergraduate,ARTST   125,WASHBURN S,B,3
M13,Undergraduate,ARTST   125,WASHBURN S,B-,1
M13,Undergraduate,ARTST   125,WASHBURN S,C,2
M13,Undergraduate,ARTST   125,WASHBURN S,C-,1
M13,Undergraduate,ARTST   125,WASHBURN S,F,1
M13,Undergraduate,ARTST   130,KINOSHITA Y,A,6
M13,Undergraduate,ARTST   130,KINOSHITA Y,A-,3
M13,Undergraduate,ARTST   130,KINOSHITA Y,B+,1
M13,Undergraduate,ARTST   130,KINOSHITA Y,B,2
M13,Undergraduate,ARTST   130,KINOSHITA Y,C,1
