Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,C LIT    30A,DONELAN J H,A+,2
M13,Undergraduate,C LIT    30A,DONELAN J H,A,26
M13,Undergraduate,C LIT    30A,DONELAN J H,A-,6
M13,Undergraduate,C LIT    30A,DONELAN J H,B+,6
M13,Undergraduate,C LIT    30A,DONELAN J H,B,1
M13,Undergraduate,C LIT    30A,DONELAN J H,F,1
M13,Undergraduate,C LIT    30C,BOSCAGLI M,A,10
M13,Undergraduate,C LIT    30C,BOSCAGLI M,A-,8
M13,Undergraduate,C LIT    30C,BOSCAGLI M,B+,2
M13,Undergraduate,C LIT    30C,BOSCAGLI M,B,1
M13,Undergraduate,C LIT    30C,BOSCAGLI M,B-,1
M13,Undergraduate,C LIT    31,LIU K,A+,1
M13,Undergraduate,C LIT    31,LIU K,A,8
M13,Undergraduate,C LIT    31,LIU K,A-,8
M13,Undergraduate,C LIT    31,LIU K,B+,4
M13,Undergraduate,C LIT    31,LIU K,B,2
M13,Undergraduate,C LIT    31,LIU K,B-,1
M13,Undergraduate,C LIT    31,LIU K,C,1
M13,Undergraduate,C LIT    34,SOARES K,A+,6
M13,Undergraduate,C LIT    34,SOARES K,A,8
M13,Undergraduate,C LIT    34,SOARES K,A-,3
M13,Undergraduate,C LIT    34,SOARES K,B+,2
M13,Undergraduate,C LIT    34,SOARES K,B-,1
M13,Undergraduate,C LIT    34,SOARES K,F,3
M13,Undergraduate,C LIT    35,SANDERS S L,A,12
M13,Undergraduate,C LIT    35,SANDERS S L,A-,3
M13,Undergraduate,C LIT    35,SANDERS S L,B+,3
M13,Undergraduate,C LIT    35,SANDERS S L,B,1
M13,Undergraduate,C LIT   100,KICK L L,A,3
M13,Undergraduate,C LIT   100,KICK L L,A-,1
M13,Undergraduate,C LIT   100,KICK L L,B,10
M13,Undergraduate,C LIT   100,KICK L L,C+,3
M13,Undergraduate,C LIT   100,KICK L L,C,1
M13,Undergraduate,C LIT   100,KICK L L,C-,1
M13,Undergraduate,C LIT   113,KELP-STEBBINS,A+,1
M13,Undergraduate,C LIT   113,KELP-STEBBINS,A,10
M13,Undergraduate,C LIT   113,KELP-STEBBINS,A-,8
M13,Undergraduate,C LIT   113,KELP-STEBBINS,B,4
M13,Undergraduate,C LIT   113,KELP-STEBBINS,B-,1
M13,Undergraduate,C LIT   153,BROUSSEAU M,A+,2
M13,Undergraduate,C LIT   153,BROUSSEAU M,A,1
M13,Undergraduate,C LIT   153,BROUSSEAU M,A-,6
M13,Undergraduate,C LIT   153,BROUSSEAU M,B+,8
M13,Undergraduate,C LIT   153,BROUSSEAU M,B,2
M13,Undergraduate,C LIT   153,BROUSSEAU M,B-,2
M13,Undergraduate,C LIT   153,BROUSSEAU M,C+,4
M13,Undergraduate,C LIT   153,BROUSSEAU M,D-,1
M13,Undergraduate,C LIT   153,BROUSSEAU M,F,1
M13,Undergraduate,C LIT   188,HECHT R,A,7
M13,Undergraduate,C LIT   188,HECHT R,A-,8
M13,Undergraduate,C LIT   188,HECHT R,B+,2
M13,Undergraduate,C LIT   188,HECHT R,B,1
M13,Undergraduate,C LIT   188,HECHT R,C+,1
M13,Undergraduate,C LIT   188,HECHT R,F,1
