Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,CMPSC     8,KOC C K,A+,1
M13,Undergraduate,CMPSC     8,KOC C K,A,11
M13,Undergraduate,CMPSC     8,KOC C K,A-,6
M13,Undergraduate,CMPSC     8,KOC C K,B+,9
M13,Undergraduate,CMPSC     8,KOC C K,B,4
M13,Undergraduate,CMPSC     8,KOC C K,B-,5
M13,Undergraduate,CMPSC     8,KOC C K,C+,4
M13,Undergraduate,CMPSC     8,KOC C K,C,5
M13,Undergraduate,CMPSC     8,KOC C K,C-,2
M13,Undergraduate,CMPSC     8,KOC C K,D+,2
M13,Undergraduate,CMPSC     8,KOC C K,D,1
M13,Undergraduate,CMPSC     8,KOC C K,F,2
M13,Undergraduate,CMPSC    16,BUONI M J,A+,4
M13,Undergraduate,CMPSC    16,BUONI M J,A,14
M13,Undergraduate,CMPSC    16,BUONI M J,A-,4
M13,Undergraduate,CMPSC    16,BUONI M J,B+,5
M13,Undergraduate,CMPSC    16,BUONI M J,B,6
M13,Undergraduate,CMPSC    16,BUONI M J,B-,5
M13,Undergraduate,CMPSC    16,BUONI M J,C+,4
M13,Undergraduate,CMPSC    16,BUONI M J,C,1
M13,Undergraduate,CMPSC    16,BUONI M J,C-,1
M13,Undergraduate,CMPSC    16,BUONI M J,D+,1
M13,Undergraduate,CMPSC    16,BUONI M J,D,4
M13,Undergraduate,CMPSC    16,BUONI M J,F,1
M13,Undergraduate,CMPSC    24,BOE B A,A+,4
M13,Undergraduate,CMPSC    24,BOE B A,A,3
M13,Undergraduate,CMPSC    24,BOE B A,A-,3
M13,Undergraduate,CMPSC    24,BOE B A,B+,1
M13,Undergraduate,CMPSC    24,BOE B A,B,4
M13,Undergraduate,CMPSC    24,BOE B A,B-,2
M13,Undergraduate,CMPSC    24,BOE B A,C+,1
M13,Undergraduate,CMPSC    24,BOE B A,C,1
M13,Undergraduate,CMPSC    24,BOE B A,D,1
M13,Undergraduate,CMPSC    24,BOE B A,D-,1
M13,Undergraduate,CMPSC    24,BOE B A,F,2
M13,Undergraduate,CMPSC    32,KOC C K,A+,1
M13,Undergraduate,CMPSC    32,KOC C K,A,11
M13,Undergraduate,CMPSC    32,KOC C K,B+,1
M13,Undergraduate,CMPSC    32,KOC C K,B,8
M13,Undergraduate,CMPSC    32,KOC C K,C+,1
M13,Undergraduate,CMPSC    40,VAN DAM W,A+,1
M13,Undergraduate,CMPSC    40,VAN DAM W,A,2
M13,Undergraduate,CMPSC    40,VAN DAM W,B+,3
M13,Undergraduate,CMPSC    40,VAN DAM W,B,1
M13,Undergraduate,CMPSC    40,VAN DAM W,B-,2
M13,Undergraduate,CMPSC    40,VAN DAM W,C,1
M13,Undergraduate,CMPSC    40,VAN DAM W,D,1
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,A+,1
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,A,1
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,A-,2
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,B+,3
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,B,2
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,B-,2
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,C+,4
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,C,2
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,C-,3
M13,Undergraduate,CMPSC   130A,GONZALEZ T F,D+,2
