Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,EEMB      2,EVEN T J,A+,1
M13,Undergraduate,EEMB      2,EVEN T J,A,25
M13,Undergraduate,EEMB      2,EVEN T J,A-,5
M13,Undergraduate,EEMB      2,EVEN T J,B+,8
M13,Undergraduate,EEMB      2,EVEN T J,B,67
M13,Undergraduate,EEMB      2,EVEN T J,B-,13
M13,Undergraduate,EEMB      2,EVEN T J,C+,8
M13,Undergraduate,EEMB      2,EVEN T J,C,61
M13,Undergraduate,EEMB      2,EVEN T J,C-,3
M13,Undergraduate,EEMB      2,EVEN T J,D+,2
M13,Undergraduate,EEMB      2,EVEN T J,D,26
M13,Undergraduate,EEMB      2,EVEN T J,F,12
M13,Undergraduate,EEMB      2L,GEORGE R C,A,3
M13,Undergraduate,EEMB      2L,GEORGE R C,A-,5
M13,Undergraduate,EEMB      2L,GEORGE R C,B+,8
M13,Undergraduate,EEMB      2L,GEORGE R C,B,9
M13,Undergraduate,EEMB      2L,GEORGE R C,B-,7
M13,Undergraduate,EEMB      2L,GEORGE R C,C+,5
M13,Undergraduate,EEMB      2L,GEORGE R C,C,2
M13,Undergraduate,EEMB      2L,GEORGE R C,C-,6
M13,Undergraduate,EEMB      2L,GEORGE R C,D,1
M13,Undergraduate,EEMB      2L,GEORGE R C,F,1
M13,Undergraduate,EEMB      4FS,HAGGERTY B P,P,70
M13,Undergraduate,EEMB      4FS,HAGGERTY B P,NP,2
M13,Undergraduate,EEMB     22,EVEN T J,A+,1
M13,Undergraduate,EEMB     22,EVEN T J,A,5
M13,Undergraduate,EEMB     22,EVEN T J,B,7
M13,Undergraduate,EEMB     22,EVEN T J,C,2
M13,Undergraduate,EEMB     22,EVEN T J,D,2
M13,Undergraduate,EEMB     22,EVEN T J,F,1
M13,Undergraduate,EEMB     94,FRENCH L,A,6
M13,Undergraduate,EEMB     94,FRENCH L,A-,4
M13,Undergraduate,EEMB     94,FRENCH L,B+,1
M13,Undergraduate,EEMB     94,FRENCH L,B,1
M13,Undergraduate,EEMB     94,FRENCH L,B-,3
M13,Undergraduate,EEMB    120,NISBET R M,A+,4
M13,Undergraduate,EEMB    120,NISBET R M,A,10
M13,Undergraduate,EEMB    120,NISBET R M,A-,5
M13,Undergraduate,EEMB    120,NISBET R M,B+,10
M13,Undergraduate,EEMB    120,NISBET R M,B,9
M13,Undergraduate,EEMB    120,NISBET R M,B-,8
M13,Undergraduate,EEMB    120,NISBET R M,C+,3
M13,Undergraduate,EEMB    120,NISBET R M,C,3
M13,Undergraduate,EEMB    120,NISBET R M,C-,5
M13,Undergraduate,EEMB    127,KNAPP D A,A+,2
M13,Undergraduate,EEMB    127,KNAPP D A,A,11
M13,Undergraduate,EEMB    127,KNAPP D A,A-,4
M13,Undergraduate,EEMB    127,KNAPP D A,B+,7
M13,Undergraduate,EEMB    127,KNAPP D A,B,15
M13,Undergraduate,EEMB    127,KNAPP D A,B-,3
M13,Undergraduate,EEMB    127,KNAPP D A,C+,4
M13,Undergraduate,EEMB    127,KNAPP D A,C,8
M13,Undergraduate,EEMB    127,KNAPP D A,C-,1
M13,Undergraduate,EEMB    127,KNAPP D A,D,3
M13,Undergraduate,EEMB    156,COLLINS P M,A,4
M13,Undergraduate,EEMB    156,COLLINS P M,A-,11
M13,Undergraduate,EEMB    156,COLLINS P M,B+,11
M13,Undergraduate,EEMB    156,COLLINS P M,B,4
M13,Undergraduate,EEMB    156,COLLINS P M,B-,6
M13,Undergraduate,EEMB    156,COLLINS P M,C+,11
M13,Undergraduate,EEMB    156,COLLINS P M,C,6
M13,Undergraduate,EEMB    156,COLLINS P M,C-,2
M13,Undergraduate,EEMB    156,COLLINS P M,D,3
M13,Undergraduate,EEMB    156,COLLINS P M,F,1
M13,Undergraduate,EEMB    170,MILLER R J,A,4
M13,Undergraduate,EEMB    170,MILLER R J,A-,1
M13,Undergraduate,EEMB    170,MILLER R J,B+,4
M13,Undergraduate,EEMB    170,MILLER R J,B,6
M13,Undergraduate,EEMB    170,MILLER R J,B-,3
M13,Undergraduate,EEMB    170,MILLER R J,C+,4
M13,Undergraduate,EEMB    170,MILLER R J,C,1
M13,Undergraduate,EEMB    170,PAGE H M,A,4
M13,Undergraduate,EEMB    170,PAGE H M,A-,1
M13,Undergraduate,EEMB    170,PAGE H M,B+,4
M13,Undergraduate,EEMB    170,PAGE H M,B,6
M13,Undergraduate,EEMB    170,PAGE H M,B-,3
M13,Undergraduate,EEMB    170,PAGE H M,C+,4
M13,Undergraduate,EEMB    170,PAGE H M,C,1
M13,Undergraduate,EEMB    194VE,SPEISER D I,A+,4
M13,Undergraduate,EEMB    194VE,SPEISER D I,A,2
M13,Undergraduate,EEMB    194VE,SPEISER D I,A-,2
M13,Undergraduate,EEMB    194VE,SPEISER D I,B+,4
