Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,EEMB     94,FRENCH L,A,6
M13,Undergraduate,EEMB     94,FRENCH L,A-,4
M13,Undergraduate,EEMB     94,FRENCH L,B+,1
M13,Undergraduate,EEMB     94,FRENCH L,B,1
M13,Undergraduate,EEMB     94,FRENCH L,B-,3
M13,Undergraduate,ENGL     50,FRY L M,A,5
M13,Undergraduate,ENGL     50,FRY L M,A-,8
M13,Undergraduate,ENGL     50,FRY L M,B+,2
M13,Undergraduate,ENGL     50,FRY L M,B,5
M13,Undergraduate,ENGL     50,FRY L M,B-,1
M13,Undergraduate,ENGL     50,FRY L M,C+,4
M13,Undergraduate,ENGL     50,FRY L M,D-,1
M13,Undergraduate,FR        1,MAGEARU A,A+,3
M13,Undergraduate,FR        1,MAGEARU A,A,2
M13,Undergraduate,FR        1,MAGEARU A,A-,2
M13,Undergraduate,FR        1,MAGEARU A,B+,4
M13,Undergraduate,FR        1,MAGEARU A,B,2
M13,Undergraduate,FR        1,MAGEARU A,B-,2
M13,Undergraduate,FR        1,MAGEARU A,C,1
M13,Undergraduate,FR        1,MAGEARU A,F,2
M13,Undergraduate,FR        1,PRIETO E,A+,3
M13,Undergraduate,FR        1,PRIETO E,A,2
M13,Undergraduate,FR        1,PRIETO E,A-,2
M13,Undergraduate,FR        1,PRIETO E,B+,4
M13,Undergraduate,FR        1,PRIETO E,B,2
M13,Undergraduate,FR        1,PRIETO E,B-,2
M13,Undergraduate,FR        1,PRIETO E,C,1
M13,Undergraduate,FR        1,PRIETO E,F,2
M13,Undergraduate,FR        2,LMAIFI M,A+,1
M13,Undergraduate,FR        2,LMAIFI M,A,2
M13,Undergraduate,FR        2,LMAIFI M,B+,8
M13,Undergraduate,FR        2,LMAIFI M,B,2
M13,Undergraduate,FR        2,LMAIFI M,B-,1
M13,Undergraduate,FR        2,LMAIFI M,C,2
M13,Undergraduate,FR        3,LMAIFI M,A+,1
M13,Undergraduate,FR        3,LMAIFI M,A,1
M13,Undergraduate,FR        3,LMAIFI M,A-,2
M13,Undergraduate,FR        3,LMAIFI M,B+,6
M13,Undergraduate,FR        3,LMAIFI M,B,5
M13,Undergraduate,FR        3,LMAIFI M,B-,2
M13,Undergraduate,FR        3,LMAIFI M,C+,2
M13,Undergraduate,FR        4,TURMAN K C,A,1
M13,Undergraduate,FR        4,TURMAN K C,A-,2
M13,Undergraduate,FR        4,TURMAN K C,B,1
M13,Undergraduate,FR        4,TURMAN K C,C+,1
M13,Undergraduate,FR        5,KOLZOW ART E,A,3
M13,Undergraduate,FR        5,KOLZOW ART E,A-,1
M13,Undergraduate,FR        5,KOLZOW ART E,B+,1
M13,Undergraduate,FR        5,KOLZOW ART E,B-,2
M13,Undergraduate,FR        6,SMITH E J,A,2
M13,Undergraduate,FR        6,SMITH E J,A-,3
M13,Undergraduate,FR        6,SMITH E J,B+,3
M13,Undergraduate,FR        6,SMITH E J,B,2
M13,Undergraduate,FR        6,SMITH E J,B-,1
M13,Undergraduate,FR        6,SMITH E J,C+,2
M13,Undergraduate,FR        6,SMITH E J,C-,1
M13,Undergraduate,FR       50BX,KOLZOW ART E,A,6
M13,Undergraduate,FR       50BX,KOLZOW ART E,A-,7
M13,Undergraduate,FR       50BX,KOLZOW ART E,B+,3
M13,Undergraduate,FR       50BX,KOLZOW ART E,B,2
M13,Undergraduate,FR       50BX,KOLZOW ART E,B-,1
M13,Undergraduate,FR       50BX,KOLZOW ART E,C-,1
M13,Undergraduate,FR       50CX,KOLZOW ART E,A,10
M13,Undergraduate,FR       50CX,KOLZOW ART E,A-,4
M13,Undergraduate,FR       50CX,KOLZOW ART E,B+,1
M13,Undergraduate,FR       50CX,KOLZOW ART E,B,4
M13,Undergraduate,FR       50CX,KOLZOW ART E,F,1
M13,Undergraduate,FR      154F,DAL MOLIN A E,A+,4
M13,Undergraduate,FR      154F,DAL MOLIN A E,A,4
M13,Undergraduate,FR      154F,DAL MOLIN A E,A-,10
M13,Undergraduate,FR      154F,DAL MOLIN A E,B+,5
M13,Undergraduate,FR      154F,DAL MOLIN A E,B,1
M13,Undergraduate,FR      154F,DAL MOLIN A E,B-,1
M13,Undergraduate,FR      154F,DAL MOLIN A E,C-,1
M13,Undergraduate,FR      154F,DAL MOLIN A E,F,1
M13,Undergraduate,FR      155D,NESCI C,A+,3
M13,Undergraduate,FR      155D,NESCI C,A,3
M13,Undergraduate,FR      155D,NESCI C,A-,7
M13,Undergraduate,FR      155D,NESCI C,B+,2
M13,Undergraduate,FR      155D,NESCI C,B,3
M13,Undergraduate,FR      155D,NESCI C,B-,2
M13,Undergraduate,FR      155D,NESCI C,C+,1
M13,Undergraduate,PHYS      6A,FREUND E G,A+,6
M13,Undergraduate,PHYS      6A,FREUND E G,A,21
M13,Undergraduate,PHYS      6A,FREUND E G,A-,23
M13,Undergraduate,PHYS      6A,FREUND E G,B+,25
M13,Undergraduate,PHYS      6A,FREUND E G,B,21
M13,Undergraduate,PHYS      6A,FREUND E G,B-,21
M13,Undergraduate,PHYS      6A,FREUND E G,C+,16
M13,Undergraduate,PHYS      6A,FREUND E G,C,18
M13,Undergraduate,PHYS      6A,FREUND E G,C-,8
M13,Undergraduate,PHYS      6A,FREUND E G,D+,7
M13,Undergraduate,PHYS      6A,FREUND E G,D,6
M13,Undergraduate,PHYS      6A,FREUND E G,D-,2
M13,Undergraduate,PHYS      6A,FREUND E G,F,3
M13,Undergraduate,PHYS      6AL,FREUND E G,A+,15
M13,Undergraduate,PHYS      6AL,FREUND E G,A,59
M13,Undergraduate,PHYS      6AL,FREUND E G,A-,33
M13,Undergraduate,PHYS      6AL,FREUND E G,B+,18
M13,Undergraduate,PHYS      6AL,FREUND E G,B,16
M13,Undergraduate,PHYS      6AL,FREUND E G,B-,1
M13,Undergraduate,PHYS      6AL,FREUND E G,F,1
M13,Undergraduate,PHYS      6B,FREUND E G,A+,7
M13,Undergraduate,PHYS      6B,FREUND E G,A,22
M13,Undergraduate,PHYS      6B,FREUND E G,A-,17
M13,Undergraduate,PHYS      6B,FREUND E G,B+,17
M13,Undergraduate,PHYS      6B,FREUND E G,B,20
M13,Undergraduate,PHYS      6B,FREUND E G,B-,19
M13,Undergraduate,PHYS      6B,FREUND E G,C+,10
M13,Undergraduate,PHYS      6B,FREUND E G,C,6
M13,Undergraduate,PHYS      6B,FREUND E G,C-,4
M13,Undergraduate,PHYS      6B,FREUND E G,D-,1
M13,Undergraduate,PHYS      6BL,FREUND E G,A+,4
M13,Undergraduate,PHYS      6BL,FREUND E G,A,35
M13,Undergraduate,PHYS      6BL,FREUND E G,A-,32
M13,Undergraduate,PHYS      6BL,FREUND E G,B+,25
M13,Undergraduate,PHYS      6BL,FREUND E G,B,9
M13,Undergraduate,PHYS      6BL,FREUND E G,B-,1
M13,Undergraduate,PHYS      6BL,FREUND E G,C+,1
M13,Undergraduate,PSY     103,FRIDLUND A J,A+,1
M13,Undergraduate,PSY     103,FRIDLUND A J,A,22
M13,Undergraduate,PSY     103,FRIDLUND A J,A-,7
M13,Undergraduate,PSY     103,FRIDLUND A J,B+,5
M13,Undergraduate,PSY     103,FRIDLUND A J,B,29
M13,Undergraduate,PSY     103,FRIDLUND A J,B-,3
M13,Undergraduate,PSY     103,FRIDLUND A J,C+,3
M13,Undergraduate,PSY     103,FRIDLUND A J,C,14
M13,Undergraduate,PSY     103,FRIDLUND A J,D+,1
M13,Undergraduate,PSY     103,FRIDLUND A J,D,6
M13,Undergraduate,PSY     103,FRIDLUND A J,F,7
M13,Undergraduate,RG ST     1,FREDRICKSON N,A+,1
M13,Undergraduate,RG ST     1,FREDRICKSON N,A-,1
M13,Undergraduate,RG ST     1,FREDRICKSON N,B,4
M13,Undergraduate,RG ST     1,FREDRICKSON N,B-,1
M13,Undergraduate,RG ST     1,FREDRICKSON N,C,1
M13,Undergraduate,RG ST     1,FREDRICKSON N,D,1
M13,Undergraduate,RG ST     1,FREDRICKSON N,D-,1
M13,Undergraduate,RG ST     1,FREDRICKSON N,F,1
