Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,ITAL      1,BORROMEO C,A,8
M13,Undergraduate,ITAL      1,BORROMEO C,A-,2
M13,Undergraduate,ITAL      1,BORROMEO C,B+,3
M13,Undergraduate,ITAL      1,BORROMEO C,B-,1
M13,Undergraduate,ITAL      1,BORROMEO C,D+,1
M13,Undergraduate,ITAL      2,ELLIS A R,A+,1
M13,Undergraduate,ITAL      2,ELLIS A R,A,7
M13,Undergraduate,ITAL      2,ELLIS A R,A-,2
M13,Undergraduate,ITAL      2,ELLIS A R,B+,3
M13,Undergraduate,ITAL      2,ELLIS A R,B,2
M13,Undergraduate,ITAL      2,ELLIS A R,C-,1
M13,Undergraduate,ITAL      3,DE SIMONE T,A,8
M13,Undergraduate,ITAL      3,DE SIMONE T,B+,3
M13,Undergraduate,ITAL      3,DE SIMONE T,B,2
M13,Undergraduate,ITAL      3,DE SIMONE T,B-,1
M13,Undergraduate,ITAL      3,DE SIMONE T,C+,5
M13,Undergraduate,ITAL      3,DE SIMONE T,C,1
M13,Undergraduate,ITAL      3,DE SIMONE T,C-,1
M13,Undergraduate,ITAL      8A,FOGU C,P,11
M13,Undergraduate,ITAL    114X,SNYDER J R,A,1
M13,Undergraduate,ITAL    114X,SNYDER J R,A-,5
M13,Undergraduate,ITAL    114X,SNYDER J R,B,5
M13,Undergraduate,ITAL    114X,SNYDER J R,B-,6
M13,Undergraduate,ITAL    114X,SNYDER J R,C+,1
M13,Undergraduate,ITAL    114X,SNYDER J R,C,3
M13,Undergraduate,ITAL    114X,SNYDER J R,F,4
M13,Undergraduate,ITAL    189A,FOGU C,A+,2
M13,Undergraduate,ITAL    189A,FOGU C,A,4
M13,Undergraduate,ITAL    189A,FOGU C,A-,3
M13,Undergraduate,ITAL    189A,FOGU C,B+,1
M13,Undergraduate,ITAL    189A,FOGU C,B,1
M13,Undergraduate,ITAL    189A,FOGU C,B-,1
M13,Undergraduate,ITAL    189B,FOGU C,A+,2
M13,Undergraduate,ITAL    189B,FOGU C,A,4
M13,Undergraduate,ITAL    189B,FOGU C,A-,3
M13,Undergraduate,ITAL    189B,FOGU C,B+,1
M13,Undergraduate,ITAL    189B,FOGU C,B,1
M13,Undergraduate,ITAL    189B,FOGU C,B-,1
