Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,MUS      11,BELL E J,A+,1
M13,Undergraduate,MUS      11,BELL E J,A,12
M13,Undergraduate,MUS      11,BELL E J,A-,3
M13,Undergraduate,MUS      11,BELL E J,B+,4
M13,Undergraduate,MUS      11,BELL E J,B,4
M13,Undergraduate,MUS      11,BELL E J,B-,4
M13,Undergraduate,MUS      11,BELL E J,C+,7
M13,Undergraduate,MUS      11,BELL E J,C,3
M13,Undergraduate,MUS      11,BELL E J,C-,1
M13,Undergraduate,MUS      11,BELL E J,D,1
M13,Undergraduate,MUS      11,BELL E J,D-,3
M13,Undergraduate,MUS      11,BELL E J,F,5
M13,Undergraduate,MUS      15,JOYCE M C,A,6
M13,Undergraduate,MUS      15,JOYCE M C,A-,8
M13,Undergraduate,MUS      15,JOYCE M C,B+,5
M13,Undergraduate,MUS      15,JOYCE M C,B,17
M13,Undergraduate,MUS      15,JOYCE M C,B-,8
M13,Undergraduate,MUS      15,JOYCE M C,C+,3
M13,Undergraduate,MUS      15,JOYCE M C,C,3
M13,Undergraduate,MUS      15,JOYCE M C,C-,2
M13,Undergraduate,MUS      15,JOYCE M C,D-,1
M13,Undergraduate,MUS      15,JOYCE M C,F,2
M13,Undergraduate,MUS      15,MCCULLOUGH E,A+,1
M13,Undergraduate,MUS      15,MCCULLOUGH E,A,5
M13,Undergraduate,MUS      15,MCCULLOUGH E,A-,11
M13,Undergraduate,MUS      15,MCCULLOUGH E,B+,5
M13,Undergraduate,MUS      15,MCCULLOUGH E,B,5
M13,Undergraduate,MUS      15,MCCULLOUGH E,B-,5
M13,Undergraduate,MUS      15,MCCULLOUGH E,C+,7
M13,Undergraduate,MUS      15,MCCULLOUGH E,C,3
M13,Undergraduate,MUS      15,MCCULLOUGH E,D+,3
M13,Undergraduate,MUS      15,MCCULLOUGH E,D,3
M13,Undergraduate,MUS      15,MCCULLOUGH E,F,1
M13,Undergraduate,MUS      17,MURPHY P J,A+,11
M13,Undergraduate,MUS      17,MURPHY P J,A,9
M13,Undergraduate,MUS      17,MURPHY P J,A-,6
M13,Undergraduate,MUS      17,MURPHY P J,B+,4
M13,Undergraduate,MUS      17,MURPHY P J,B,1
M13,Undergraduate,MUS      17,MURPHY P J,B-,3
M13,Undergraduate,MUS      17,MURPHY P J,C+,2
M13,Undergraduate,MUS      17,MURPHY P J,C,1
M13,Undergraduate,MUS      17,MURPHY P J,D+,1
M13,Undergraduate,MUS      17,MURPHY P J,F,1
M13,Undergraduate,MUS     114,DRAKE R M,A+,30
M13,Undergraduate,MUS     114,DRAKE R M,A,12
M13,Undergraduate,MUS     114,DRAKE R M,A-,6
M13,Undergraduate,MUS     114,DRAKE R M,B+,6
M13,Undergraduate,MUS     114,DRAKE R M,B,8
M13,Undergraduate,MUS     114,DRAKE R M,B-,1
M13,Undergraduate,MUS     114,DRAKE R M,C+,2
M13,Undergraduate,MUS     114,DRAKE R M,C,3
M13,Undergraduate,MUS     114,DRAKE R M,D,1
M13,Undergraduate,MUS     114,DRAKE R M,F,4
