Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,PHIL      1,AUGUSTIN M J,A,7
M13,Undergraduate,PHIL      1,AUGUSTIN M J,A-,6
M13,Undergraduate,PHIL      1,AUGUSTIN M J,B+,9
M13,Undergraduate,PHIL      1,AUGUSTIN M J,B,12
M13,Undergraduate,PHIL      1,AUGUSTIN M J,B-,4
M13,Undergraduate,PHIL      1,AUGUSTIN M J,C+,3
M13,Undergraduate,PHIL      1,AUGUSTIN M J,C,1
M13,Undergraduate,PHIL      1,AUGUSTIN M J,F,3
M13,Undergraduate,PHIL      3,HESS K A,A,12
M13,Undergraduate,PHIL      3,HESS K A,A-,5
M13,Undergraduate,PHIL      3,HESS K A,B+,7
M13,Undergraduate,PHIL      3,HESS K A,B,4
M13,Undergraduate,PHIL      3,HESS K A,B-,3
M13,Undergraduate,PHIL      3,HESS K A,C+,2
M13,Undergraduate,PHIL      3,HESS K A,C,1
M13,Undergraduate,PHIL      3,HESS K A,C-,4
M13,Undergraduate,PHIL      3,HESS K A,D+,2
M13,Undergraduate,PHIL      3,HESS K A,D,2
M13,Undergraduate,PHIL      3,HESS K A,D-,1
M13,Undergraduate,PHIL      3,HESS K A,F,3
M13,Undergraduate,PHIL      4,SOMERS A G,A,6
M13,Undergraduate,PHIL      4,SOMERS A G,A-,13
M13,Undergraduate,PHIL      4,SOMERS A G,B+,17
M13,Undergraduate,PHIL      4,SOMERS A G,B,8
M13,Undergraduate,PHIL      4,SOMERS A G,B-,3
M13,Undergraduate,PHIL      4,SOMERS A G,C+,5
M13,Undergraduate,PHIL      4,SOMERS A G,C,1
M13,Undergraduate,PHIL    100B,BUTZER T B,A,2
M13,Undergraduate,PHIL    100B,BUTZER T B,A-,4
M13,Undergraduate,PHIL    100B,BUTZER T B,B+,8
M13,Undergraduate,PHIL    100B,BUTZER T B,B,7
M13,Undergraduate,PHIL    100B,BUTZER T B,B-,8
M13,Undergraduate,PHIL    100B,BUTZER T B,C+,8
M13,Undergraduate,PHIL    100B,BUTZER T B,C,2
M13,Undergraduate,PHIL    100B,BUTZER T B,F,1
M13,Undergraduate,PHIL    100D,FALVEY K T,A,1
M13,Undergraduate,PHIL    100D,FALVEY K T,B+,4
M13,Undergraduate,PHIL    100D,FALVEY K T,B,6
M13,Undergraduate,PHIL    100D,FALVEY K T,B-,3
M13,Undergraduate,PHIL    100D,FALVEY K T,C+,2
M13,Undergraduate,PHIL    100D,FALVEY K T,C,1
M13,Undergraduate,PHIL    100D,FALVEY K T,C-,2
M13,Undergraduate,PHIL    100D,FALVEY K T,F,3
M13,Undergraduate,PHIL    145,SHIN A,A,3
M13,Undergraduate,PHIL    145,SHIN A,A-,4
M13,Undergraduate,PHIL    145,SHIN A,B+,8
M13,Undergraduate,PHIL    145,SHIN A,B,13
M13,Undergraduate,PHIL    145,SHIN A,B-,10
M13,Undergraduate,PHIL    145,SHIN A,C+,4
M13,Undergraduate,PHIL    145,SHIN A,F,2
M13,Undergraduate,PHIL    188,ANDERSON C A,A+,1
M13,Undergraduate,PHIL    188,ANDERSON C A,A,3
M13,Undergraduate,PHIL    188,ANDERSON C A,A-,8
M13,Undergraduate,PHIL    188,ANDERSON C A,B+,8
M13,Undergraduate,PHIL    188,ANDERSON C A,B,9
M13,Undergraduate,PHIL    188,ANDERSON C A,B-,3
M13,Undergraduate,PHIL    188,ANDERSON C A,C+,1
M13,Undergraduate,PHIL    188,ANDERSON C A,C,1
M13,Undergraduate,PHIL    188,ANDERSON C A,C-,1
M13,Undergraduate,PHIL    188,ANDERSON C A,F,1
