Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,PSTATW  120A,CARTER A V,A+,3
M13,Undergraduate,PSTATW  120A,CARTER A V,A,6
M13,Undergraduate,PSTATW  120A,CARTER A V,B+,1
M13,Undergraduate,PSTATW  120A,CARTER A V,B,8
M13,Undergraduate,PSTATW  120A,CARTER A V,B-,3
M13,Undergraduate,PSTATW  120A,CARTER A V,C+,2
M13,Undergraduate,PSTATW  120A,CARTER A V,C,5
M13,Undergraduate,PSTATW  120A,CARTER A V,C-,1
M13,Undergraduate,PSTATW  120A,CARTER A V,D,4
M13,Undergraduate,PSTATW  120A,CARTER A V,F,6
