Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M13,Undergraduate,THTR      1,BOULOS D J,A,6
M13,Undergraduate,THTR      1,BOULOS D J,A-,1
M13,Undergraduate,THTR      1,BOULOS D J,B+,2
M13,Undergraduate,THTR      1,BOULOS D J,B,2
M13,Undergraduate,THTR      1,BOULOS D J,B-,1
M13,Undergraduate,THTR      1,BOULOS D J,F,2
M13,Undergraduate,THTR      5,,A,10
M13,Undergraduate,THTR      5,,A-,6
M13,Undergraduate,THTR      5,,B+,1
M13,Undergraduate,THTR      5,,C,1
M13,Undergraduate,THTR      5,MILLS J S,A,13
M13,Undergraduate,THTR      5,MILLS J S,A-,1
M13,Undergraduate,THTR      5,MILLS J S,B,1
M13,Undergraduate,THTR      5,MILLS J S,B-,1
M13,Undergraduate,THTR      5,WHITAKER T O,A,9
M13,Undergraduate,THTR      5,WHITAKER T O,A-,4
M13,Undergraduate,THTR      5,WHITAKER T O,B+,1
M13,Undergraduate,THTR     19,SCOTT V,A+,3
M13,Undergraduate,THTR     19,SCOTT V,A,7
M13,Undergraduate,THTR    143,MORGAN M,A,9
M13,Undergraduate,THTR    144A,APPEL I J,A+,5
M13,Undergraduate,THTR    144A,APPEL I J,A,13
M13,Undergraduate,THTR    144B,APPEL I J,A+,5
M13,Undergraduate,THTR    144B,APPEL I J,A,13
M13,Undergraduate,THTR    187TB,JOHNSON K J,A,7
