Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M14,Undergraduate,FEMST    20,CLARK L N,A,14
M14,Undergraduate,FEMST    20,CLARK L N,A-,6
M14,Undergraduate,FEMST    60,HANNA K B,A+,2
M14,Undergraduate,FEMST    60,HANNA K B,A,9
M14,Undergraduate,FEMST    60,HANNA K B,A-,1
M14,Undergraduate,FEMST    60,HANNA K B,B+,3
M14,Undergraduate,FEMST    60,HANNA K B,B-,2
M14,Undergraduate,FEMST    60,HANNA K B,C+,1
M14,Undergraduate,FEMST    60,HANNA K B,F,1
M14,Undergraduate,FEMST    60,MONDRAGON D M,A+,2
M14,Undergraduate,FEMST    60,MONDRAGON D M,A,9
M14,Undergraduate,FEMST    60,MONDRAGON D M,A-,1
M14,Undergraduate,FEMST    60,MONDRAGON D M,B+,3
M14,Undergraduate,FEMST    60,MONDRAGON D M,B-,2
M14,Undergraduate,FEMST    60,MONDRAGON D M,C+,1
M14,Undergraduate,FEMST    60,MONDRAGON D M,F,1
M14,Undergraduate,FEMST    80,HELLER M L,A-,3
M14,Undergraduate,FEMST    80,HELLER M L,B+,1
M14,Undergraduate,FEMST    80,HELLER M L,B,3
M14,Undergraduate,FEMST    80,HELLER M L,B-,2
M14,Undergraduate,FEMST    80,HELLER M L,C+,4
M14,Undergraduate,FEMST    80,HELLER M L,C,3
M14,Undergraduate,FEMST    80,HELLER M L,D+,1
M14,Undergraduate,FEMST    80,HELLER M L,D-,1
M14,Undergraduate,FEMST    80,HELLER M L,F,3
M14,Undergraduate,FEMST   120,JAHANMIR Y M,A+,1
M14,Undergraduate,FEMST   120,JAHANMIR Y M,A,1
M14,Undergraduate,FEMST   120,JAHANMIR Y M,A-,3
M14,Undergraduate,FEMST   120,JAHANMIR Y M,B+,2
M14,Undergraduate,FEMST   120,JAHANMIR Y M,B,1
M14,Undergraduate,FEMST   131,RYS R A,A+,1
M14,Undergraduate,FEMST   131,RYS R A,A,8
M14,Undergraduate,FEMST   131,RYS R A,A-,3
M14,Undergraduate,FEMST   131,RYS R A,B+,1
M14,Undergraduate,FEMST   131,RYS R A,F,1
M14,Undergraduate,FEMST   150,WATKINS S E,A+,1
M14,Undergraduate,FEMST   150,WATKINS S E,A,3
M14,Undergraduate,FEMST   150,WATKINS S E,A-,3
M14,Undergraduate,FEMST   150,WATKINS S E,B+,5
M14,Undergraduate,FEMST   150,WATKINS S E,B,6
M14,Undergraduate,FEMST   150,WATKINS S E,B-,5
M14,Undergraduate,FEMST   150,WATKINS S E,C+,1
M14,Undergraduate,FEMST   150,WATKINS S E,C,4
M14,Undergraduate,FEMST   150,WATKINS S E,C-,3
M14,Undergraduate,FEMST   150,WATKINS S E,D,1
M14,Undergraduate,FEMST   150,WATKINS S E,F,4
M14,Undergraduate,FEMST   151CJ,JONES C E,A,1
M14,Undergraduate,FEMST   151CJ,JONES C E,A-,2
M14,Undergraduate,FEMST   151CJ,JONES C E,B,1
M14,Undergraduate,FEMST   151CJ,JONES C E,B-,1
M14,Undergraduate,FEMST   181,DIAMOND-LENOW,A+,1
M14,Undergraduate,FEMST   181,DIAMOND-LENOW,A,4
M14,Undergraduate,FEMST   181,DIAMOND-LENOW,A-,1
M14,Undergraduate,FEMST   181,DIAMOND-LENOW,B+,2
M14,Undergraduate,FEMST   181,DIAMOND-LENOW,B,2
M14,Undergraduate,FEMST   181,DIAMOND-LENOW,F,1
