Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M14,Undergraduate,GEOG      3A,HARRISON L S,A+,2
M14,Undergraduate,GEOG      3A,HARRISON L S,A,4
M14,Undergraduate,GEOG      3A,HARRISON L S,A-,2
M14,Undergraduate,GEOG      3A,HARRISON L S,B+,3
M14,Undergraduate,GEOG      3A,HARRISON L S,B,3
M14,Undergraduate,GEOG      3A,HARRISON L S,B-,3
M14,Undergraduate,GEOG      3A,HARRISON L S,C+,1
M14,Undergraduate,GEOG      3A,HARRISON L S,C,4
M14,Undergraduate,GEOG      3A,HARRISON L S,D+,1
M14,Undergraduate,GEOG      3A,HARRISON L S,F,2
M14,Undergraduate,GEOG      3B,NIBLETT T J,A,4
M14,Undergraduate,GEOG      3B,NIBLETT T J,A-,10
M14,Undergraduate,GEOG      3B,NIBLETT T J,B+,3
M14,Undergraduate,GEOG      3B,NIBLETT T J,B,5
M14,Undergraduate,GEOG      3B,NIBLETT T J,B-,4
M14,Undergraduate,GEOG      3B,NIBLETT T J,C+,2
M14,Undergraduate,GEOG      3B,NIBLETT T J,C,2
M14,Undergraduate,GEOG      3B,NIBLETT T J,D-,1
M14,Undergraduate,GEOG      5,ERVIN D C,A+,1
M14,Undergraduate,GEOG      5,ERVIN D C,A,2
M14,Undergraduate,GEOG      5,ERVIN D C,A-,3
M14,Undergraduate,GEOG      5,ERVIN D C,B+,7
M14,Undergraduate,GEOG      5,ERVIN D C,B,5
M14,Undergraduate,GEOG      5,ERVIN D C,B-,7
M14,Undergraduate,GEOG      5,ERVIN D C,C+,3
M14,Undergraduate,GEOG      5,ERVIN D C,C,1
M14,Undergraduate,GEOG      5,ERVIN D C,C-,1
M14,Undergraduate,GEOG      5,ERVIN D C,D+,2
M14,Undergraduate,GEOG    150,NIBLETT T J,A,5
M14,Undergraduate,GEOG    150,NIBLETT T J,A-,8
M14,Undergraduate,GEOG    150,NIBLETT T J,B+,4
M14,Undergraduate,GEOG    150,NIBLETT T J,B,4
M14,Undergraduate,GEOG    150,NIBLETT T J,B-,5
M14,Undergraduate,GEOG    150,NIBLETT T J,C+,1
M14,Undergraduate,GEOG    150,NIBLETT T J,C,3
M14,Undergraduate,GEOG    150,NIBLETT T J,C-,1
M14,Undergraduate,GEOG    150,NIBLETT T J,D+,1
M14,Undergraduate,GEOG    176A,ALONZO M G,A,2
M14,Undergraduate,GEOG    176A,ALONZO M G,B+,1
M14,Undergraduate,GEOG    176A,ALONZO M G,B,3
M14,Undergraduate,GEOG    176A,ALONZO M G,B-,2
M14,Undergraduate,GEOG    176A,ALONZO M G,C,2
M14,Undergraduate,GEOG    176A,ALONZO M G,F,1
M14,Undergraduate,GEOG    199RA,CLARKE K,P,4
M14,Undergraduate,GEOG W    8,GAUTIER C H,A+,1
M14,Undergraduate,GEOG W    8,GAUTIER C H,A,1
M14,Undergraduate,GEOG W    8,GAUTIER C H,A-,5
M14,Undergraduate,GEOG W    8,GAUTIER C H,B+,8
M14,Undergraduate,GEOG W    8,GAUTIER C H,B,3
M14,Undergraduate,GEOG W    8,GAUTIER C H,B-,1
M14,Undergraduate,GEOG W    8,GAUTIER C H,C+,1
M14,Undergraduate,GEOG W    8,GAUTIER C H,C-,2
M14,Undergraduate,GEOG W    8,GAUTIER C H,D,1
M14,Undergraduate,GEOG W    8,GAUTIER C H,F,2
M14,Undergraduate,GEOG W   12,MWENDA K M,A,4
M14,Undergraduate,GEOG W   12,MWENDA K M,A-,1
M14,Undergraduate,GEOG W   12,MWENDA K M,B+,4
M14,Undergraduate,GEOG W   12,MWENDA K M,B,3
M14,Undergraduate,GEOG W   12,MWENDA K M,B-,3
M14,Undergraduate,GEOG W   12,MWENDA K M,C,1
M14,Undergraduate,GEOG W   12,MWENDA K M,C-,1
M14,Undergraduate,GEOG W   12,MWENDA K M,D,1
