Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,A+,2
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,A,62
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,A-,29
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,B+,28
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,B,37
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,B-,3
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,C+,5
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,C,3
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,C-,1
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,D+,1
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,D,1
M14,Undergraduate,GLOBL     1,DARIAN-SMITH,F,4
M14,Undergraduate,GLOBL   120,NASH M B,A,9
M14,Undergraduate,GLOBL   120,NASH M B,A-,8
M14,Undergraduate,GLOBL   120,NASH M B,B+,4
M14,Undergraduate,GLOBL   120,NASH M B,B,11
M14,Undergraduate,GLOBL   120,NASH M B,B-,4
M14,Undergraduate,GLOBL   120,NASH M B,C+,2
M14,Undergraduate,GLOBL   120,NASH M B,C,1
M14,Undergraduate,GLOBL   120,NASH M B,D-,1
