Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M14,Undergraduate,ARTHI   107B,MEADOW M A,A,4
M14,Undergraduate,ARTHI   107B,MEADOW M A,A-,3
M14,Undergraduate,ARTHI   107B,MEADOW M A,B,2
M14,Undergraduate,ARTHI   107B,MEADOW M A,C+,1
M14,Undergraduate,ARTHI   107B,MEADOW M A,C,1
M14,Undergraduate,ENGL     15,MEGNA P J,A+,2
M14,Undergraduate,ENGL     15,MEGNA P J,A,6
M14,Undergraduate,ENGL     15,MEGNA P J,A-,4
M14,Undergraduate,ENGL     15,MEGNA P J,B+,3
M14,Undergraduate,ENGL     15,MEGNA P J,B,3
M14,Undergraduate,ENGL     15,MEGNA P J,B-,4
M14,Undergraduate,ENGL     15,MEGNA P J,C+,3
M14,Undergraduate,ENGL     15,MEGNA P J,F,1
M14,Undergraduate,ME       14,SHUGAR T A,A,1
M14,Undergraduate,ME       14,SHUGAR T A,A-,1
M14,Undergraduate,ME       14,SHUGAR T A,B,5
M14,Undergraduate,ME       14,SHUGAR T A,C,4
M14,Undergraduate,ME       14,SHUGAR T A,F,1
M14,Undergraduate,ME       15,BELTZ G,A+,3
M14,Undergraduate,ME       15,BELTZ G,A,4
M14,Undergraduate,ME       15,BELTZ G,A-,1
M14,Undergraduate,ME       15,BELTZ G,B+,1
M14,Undergraduate,ME       15,BELTZ G,B,4
M14,Undergraduate,ME       15,BELTZ G,C,1
M14,Undergraduate,ME       15,BELTZ G,C-,1
M14,Undergraduate,ME       15,BELTZ G,D,2
M14,Undergraduate,ME       16,CAMPAS-RIGAU,A,1
M14,Undergraduate,ME       16,CAMPAS-RIGAU,A-,2
M14,Undergraduate,ME       16,CAMPAS-RIGAU,B+,1
M14,Undergraduate,ME       16,CAMPAS-RIGAU,B-,3
M14,Undergraduate,ME       16,CAMPAS-RIGAU,C+,1
M14,Undergraduate,ME       16,CAMPAS-RIGAU,C,1
M14,Undergraduate,ME       16,CAMPAS-RIGAU,C-,2
M14,Undergraduate,ME      179L,HARE C,A+,2
M14,Undergraduate,ME      179L,HARE C,A,14
M14,Undergraduate,ME      179L,HARE C,A-,1
M14,Undergraduate,PSY     102,METZ M A,A,6
M14,Undergraduate,PSY     102,METZ M A,A-,2
M14,Undergraduate,PSY     102,METZ M A,B+,9
M14,Undergraduate,PSY     102,METZ M A,B,11
M14,Undergraduate,PSY     102,METZ M A,B-,12
M14,Undergraduate,PSY     102,METZ M A,C+,3
M14,Undergraduate,PSY     102,METZ M A,C,13
M14,Undergraduate,PSY     102,METZ M A,C-,2
M14,Undergraduate,PSY     102,METZ M A,D+,2
M14,Undergraduate,PSY     102,METZ M A,D,5
M14,Undergraduate,PSY     102,METZ M A,F,4
M14,Undergraduate,PSY     158,METZ M A,A,4
M14,Undergraduate,PSY     158,METZ M A,A-,6
M14,Undergraduate,PSY     158,METZ M A,B+,6
M14,Undergraduate,PSY     158,METZ M A,B,13
M14,Undergraduate,PSY     158,METZ M A,B-,3
M14,Undergraduate,PSY     158,METZ M A,C+,3
M14,Undergraduate,PSY     158,METZ M A,C,6
M14,Undergraduate,PSY     158,METZ M A,C-,1
M14,Undergraduate,PSY     158,METZ M A,D+,1
M14,Undergraduate,PSY     158,METZ M A,D,1
M14,Undergraduate,PSY     158,METZ M A,F,3
