Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M14,Undergraduate,THTR      5,FOSTER B H,A,16
M14,Undergraduate,THTR      5,FOSTER B H,A-,14
M14,Undergraduate,THTR      5,FOSTER B H,B+,5
M14,Undergraduate,THTR      5,FOSTER B H,C+,1
M14,Undergraduate,THTR      5,FOSTER B H,F,1
M14,Undergraduate,THTR      5,MILLS J S,A+,2
M14,Undergraduate,THTR      5,MILLS J S,A,8
M14,Undergraduate,THTR      5,MILLS J S,A-,2
M14,Undergraduate,THTR      5,MILLS J S,B,1
M14,Undergraduate,THTR      5,MILLS J S,C,1
M14,Undergraduate,THTR      5,WHITAKER T O,A,15
M14,Undergraduate,THTR     19,SCOTT V,A+,1
M14,Undergraduate,THTR     19,SCOTT V,A,12
M14,Undergraduate,THTR     19,SCOTT V,B+,2
M14,Undergraduate,THTR     19,SCOTT V,B,1
M14,Undergraduate,THTR     19,SCOTT V,B-,1
M14,Undergraduate,THTR    143,MORGAN M,A,7
M14,Undergraduate,THTR    143,MORGAN M,F,1
M14,Undergraduate,THTR    144A,APPEL I J,A,21
M14,Undergraduate,THTR    144B,APPEL I J,A,21
M14,Undergraduate,THTR    180E,MORTON C,A,16
M14,Undergraduate,THTR    180E,MORTON C,B,4
M14,Undergraduate,THTR    180E,MORTON C,C+,1
M14,Undergraduate,THTR    194T,BRAININ R,A,13
