Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M15,Undergraduate,ECON      1,DELGADO HELLE,A+,5
M15,Undergraduate,ECON      1,DELGADO HELLE,A,4
M15,Undergraduate,ECON      1,DELGADO HELLE,A-,5
M15,Undergraduate,ECON      1,DELGADO HELLE,B+,8
M15,Undergraduate,ECON      1,DELGADO HELLE,B,8
M15,Undergraduate,ECON      1,DELGADO HELLE,B-,7
M15,Undergraduate,ECON      1,DELGADO HELLE,C+,18
M15,Undergraduate,ECON      1,DELGADO HELLE,C,19
M15,Undergraduate,ECON      1,DELGADO HELLE,C-,11
M15,Undergraduate,ECON      1,DELGADO HELLE,D,1
M15,Undergraduate,ECON      1,DELGADO HELLE,F,12
M15,Undergraduate,ECON      2,RUPERT P,A,5
M15,Undergraduate,ECON      2,RUPERT P,A-,6
M15,Undergraduate,ECON      2,RUPERT P,B+,5
M15,Undergraduate,ECON      2,RUPERT P,B,7
M15,Undergraduate,ECON      2,RUPERT P,B-,17
M15,Undergraduate,ECON      2,RUPERT P,C+,5
M15,Undergraduate,ECON      2,RUPERT P,C,8
M15,Undergraduate,ECON      2,RUPERT P,C-,4
M15,Undergraduate,ECON      3A,LOSTER D R,A+,1
M15,Undergraduate,ECON      3A,LOSTER D R,A,12
M15,Undergraduate,ECON      3A,LOSTER D R,A-,15
M15,Undergraduate,ECON      3A,LOSTER D R,B+,14
M15,Undergraduate,ECON      3A,LOSTER D R,B,9
M15,Undergraduate,ECON      3A,LOSTER D R,B-,7
M15,Undergraduate,ECON      3A,LOSTER D R,C+,3
M15,Undergraduate,ECON      3A,LOSTER D R,C,6
M15,Undergraduate,ECON      3A,LOSTER D R,C-,4
M15,Undergraduate,ECON      3A,LOSTER D R,D,2
M15,Undergraduate,ECON      3A,LOSTER D R,F,5
M15,Undergraduate,ECON      3AH,LOSTER D R,P,7
M15,Undergraduate,ECON      3B,HARMON C J,A,9
M15,Undergraduate,ECON      3B,HARMON C J,A-,9
M15,Undergraduate,ECON      3B,HARMON C J,B+,10
M15,Undergraduate,ECON      3B,HARMON C J,B,9
M15,Undergraduate,ECON      3B,HARMON C J,B-,6
M15,Undergraduate,ECON      3B,HARMON C J,C+,8
M15,Undergraduate,ECON      3B,HARMON C J,C,6
M15,Undergraduate,ECON      3B,HARMON C J,C-,2
M15,Undergraduate,ECON      3B,HARMON C J,D+,1
M15,Undergraduate,ECON      3B,HARMON C J,F,3
M15,Undergraduate,ECON      9,WATSON R B,A,7
M15,Undergraduate,ECON      9,WATSON R B,A-,3
M15,Undergraduate,ECON      9,WATSON R B,B+,8
M15,Undergraduate,ECON      9,WATSON R B,B,9
M15,Undergraduate,ECON      9,WATSON R B,B-,10
M15,Undergraduate,ECON      9,WATSON R B,C+,5
M15,Undergraduate,ECON      9,WATSON R B,C,16
M15,Undergraduate,ECON      9,WATSON R B,C-,3
M15,Undergraduate,ECON      9,WATSON R B,D,2
M15,Undergraduate,ECON      9,WATSON R B,F,6
M15,Undergraduate,ECON     10A,BENELLI C A,A,7
M15,Undergraduate,ECON     10A,BENELLI C A,A-,5
M15,Undergraduate,ECON     10A,BENELLI C A,B+,12
M15,Undergraduate,ECON     10A,BENELLI C A,B,7
M15,Undergraduate,ECON     10A,BENELLI C A,B-,7
M15,Undergraduate,ECON     10A,BENELLI C A,C+,3
M15,Undergraduate,ECON     10A,BENELLI C A,C,1
M15,Undergraduate,ECON     10A,BENELLI C A,C-,2
M15,Undergraduate,ECON     10A,BENELLI C A,D,5
M15,Undergraduate,ECON     10A,BENELLI C A,F,6
M15,Undergraduate,ECON     10A,HARTMAN J L,A,14
M15,Undergraduate,ECON     10A,HARTMAN J L,A-,16
M15,Undergraduate,ECON     10A,HARTMAN J L,B+,15
M15,Undergraduate,ECON     10A,HARTMAN J L,B,11
M15,Undergraduate,ECON     10A,HARTMAN J L,B-,21
M15,Undergraduate,ECON     10A,HARTMAN J L,C+,4
M15,Undergraduate,ECON     10A,HARTMAN J L,C,4
M15,Undergraduate,ECON     10A,HARTMAN J L,C-,6
M15,Undergraduate,ECON     10A,HARTMAN J L,D,5
M15,Undergraduate,ECON     10A,HARTMAN J L,F,4
M15,Undergraduate,ECON    100B,GROSSMAN Z J,A+,4
M15,Undergraduate,ECON    100B,GROSSMAN Z J,A,8
M15,Undergraduate,ECON    100B,GROSSMAN Z J,A-,6
M15,Undergraduate,ECON    100B,GROSSMAN Z J,B+,9
M15,Undergraduate,ECON    100B,GROSSMAN Z J,B,16
M15,Undergraduate,ECON    100B,GROSSMAN Z J,B-,5
M15,Undergraduate,ECON    100B,GROSSMAN Z J,C+,11
M15,Undergraduate,ECON    100B,GROSSMAN Z J,C,11
M15,Undergraduate,ECON    100B,GROSSMAN Z J,C-,3
M15,Undergraduate,ECON    100B,GROSSMAN Z J,D+,4
M15,Undergraduate,ECON    100B,GROSSMAN Z J,D,2
M15,Undergraduate,ECON    100B,GROSSMAN Z J,F,2
M15,Undergraduate,ECON    101,BIRCHENALL J,A+,8
M15,Undergraduate,ECON    101,BIRCHENALL J,A,13
M15,Undergraduate,ECON    101,BIRCHENALL J,A-,22
M15,Undergraduate,ECON    101,BIRCHENALL J,B+,29
M15,Undergraduate,ECON    101,BIRCHENALL J,B,12
M15,Undergraduate,ECON    101,BIRCHENALL J,B-,10
M15,Undergraduate,ECON    101,BIRCHENALL J,C+,6
M15,Undergraduate,ECON    101,BIRCHENALL J,F,2
M15,Undergraduate,ECON    114A,BENELLI C A,A+,1
M15,Undergraduate,ECON    114A,BENELLI C A,A,9
M15,Undergraduate,ECON    114A,BENELLI C A,A-,2
M15,Undergraduate,ECON    114A,BENELLI C A,B+,10
M15,Undergraduate,ECON    114A,BENELLI C A,B,9
M15,Undergraduate,ECON    114A,BENELLI C A,B-,2
M15,Undergraduate,ECON    114A,BENELLI C A,C+,4
M15,Undergraduate,ECON    114A,BENELLI C A,C,2
M15,Undergraduate,ECON    114A,BENELLI C A,C-,2
M15,Undergraduate,ECON    114A,BENELLI C A,D,1
M15,Undergraduate,ECON    134A,HARTMAN J L,A+,1
M15,Undergraduate,ECON    134A,HARTMAN J L,A,6
M15,Undergraduate,ECON    134A,HARTMAN J L,A-,10
M15,Undergraduate,ECON    134A,HARTMAN J L,B+,4
M15,Undergraduate,ECON    134A,HARTMAN J L,B,5
M15,Undergraduate,ECON    134A,HARTMAN J L,B-,2
M15,Undergraduate,ECON    134A,HARTMAN J L,C+,6
M15,Undergraduate,ECON    134A,HARTMAN J L,C,7
M15,Undergraduate,ECON    134A,HARTMAN J L,D+,4
M15,Undergraduate,ECON    134A,HARTMAN J L,D,2
M15,Undergraduate,ECON    134A,HARTMAN J L,D-,2
M15,Undergraduate,ECON    134A,HARTMAN J L,F,1
M15,Undergraduate,ECON    135,BOHN H,A,6
M15,Undergraduate,ECON    135,BOHN H,A-,1
M15,Undergraduate,ECON    135,BOHN H,B+,2
M15,Undergraduate,ECON    135,BOHN H,B,4
M15,Undergraduate,ECON    135,BOHN H,B-,4
M15,Undergraduate,ECON    135,BOHN H,C+,1
M15,Undergraduate,ECON    135,BOHN H,C,3
M15,Undergraduate,ECON    136A,HARMON C J,A,2
M15,Undergraduate,ECON    136A,HARMON C J,A-,7
M15,Undergraduate,ECON    136A,HARMON C J,B+,8
M15,Undergraduate,ECON    136A,HARMON C J,B,11
M15,Undergraduate,ECON    136A,HARMON C J,B-,9
M15,Undergraduate,ECON    136A,HARMON C J,C+,11
M15,Undergraduate,ECON    136A,HARMON C J,C,11
M15,Undergraduate,ECON    136A,HARMON C J,C-,5
M15,Undergraduate,ECON    136A,HARMON C J,F,2
M15,Undergraduate,ECON    136B,MAASS L E,A+,3
M15,Undergraduate,ECON    136B,MAASS L E,A,6
M15,Undergraduate,ECON    136B,MAASS L E,A-,10
M15,Undergraduate,ECON    136B,MAASS L E,B+,4
M15,Undergraduate,ECON    136B,MAASS L E,B,9
M15,Undergraduate,ECON    136B,MAASS L E,B-,2
M15,Undergraduate,ECON    136B,MAASS L E,C+,2
M15,Undergraduate,ECON    136B,MAASS L E,C,3
M15,Undergraduate,ECON    136B,MAASS L E,C-,3
M15,Undergraduate,ECON    136B,MAASS L E,D+,3
M15,Undergraduate,ECON    136B,MAASS L E,F,1
M15,Undergraduate,ECON    136C,HARMON C J,A,2
M15,Undergraduate,ECON    136C,HARMON C J,A-,1
M15,Undergraduate,ECON    136C,HARMON C J,B+,2
M15,Undergraduate,ECON    136C,HARMON C J,B,1
M15,Undergraduate,ECON    136C,HARMON C J,B-,1
