Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M15,Undergraduate,GER      43C,SMITH L N,A+,1
M15,Undergraduate,GER      43C,SMITH L N,A,10
M15,Undergraduate,GER      43C,SMITH L N,A-,3
M15,Undergraduate,GER      43C,SMITH L N,B+,1
M15,Undergraduate,GER      43C,SMITH L N,C-,1
M15,Undergraduate,GER     164E,MAGEARU A,A+,1
M15,Undergraduate,GER     164E,MAGEARU A,A,1
M15,Undergraduate,GER     164E,MAGEARU A,A-,3
M15,Undergraduate,GER     164E,MAGEARU A,B+,1
M15,Undergraduate,GER     179B,BECKER M S,B+,2
M15,Undergraduate,GER     179B,BECKER M S,B,2
M15,Undergraduate,GER     179B,BECKER M S,B-,4
M15,Undergraduate,GER     179B,BECKER M S,C+,3
M15,Undergraduate,GER     179B,BECKER M S,F,1
M15,Undergraduate,GER     179C,,A,5
M15,Undergraduate,GER     179C,,A-,1
M15,Undergraduate,GER     179C,,B+,2
M15,Undergraduate,PSY     145,GERMAN T C M,A+,3
M15,Undergraduate,PSY     145,GERMAN T C M,A,6
M15,Undergraduate,PSY     145,GERMAN T C M,A-,5
M15,Undergraduate,PSY     145,GERMAN T C M,B+,9
M15,Undergraduate,PSY     145,GERMAN T C M,B,15
M15,Undergraduate,PSY     145,GERMAN T C M,B-,5
M15,Undergraduate,PSY     145,GERMAN T C M,C+,3
M15,Undergraduate,PSY     145,GERMAN T C M,C,1
M15,Undergraduate,PSY     145,GERMAN T C M,C-,3
M15,Undergraduate,PSY     145,GERMAN T C M,F,2
