Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M15,Undergraduate,JAPAN     1,YAMAUCHI Y,A+,2
M15,Undergraduate,JAPAN     1,YAMAUCHI Y,A,7
M15,Undergraduate,JAPAN     1,YAMAUCHI Y,A-,4
M15,Undergraduate,JAPAN     1,YAMAUCHI Y,B+,4
M15,Undergraduate,JAPAN     1,YAMAUCHI Y,B,1
M15,Undergraduate,JAPAN     1,YAMAUCHI Y,C+,1
M15,Undergraduate,JAPAN     1,YAMAUCHI Y,C,1
M15,Undergraduate,JAPAN     2,HASHIMOTO K,A+,2
M15,Undergraduate,JAPAN     2,HASHIMOTO K,A,9
M15,Undergraduate,JAPAN     2,HASHIMOTO K,A-,3
M15,Undergraduate,JAPAN     2,HASHIMOTO K,B+,2
M15,Undergraduate,JAPAN     2,HASHIMOTO K,B,2
M15,Undergraduate,JAPAN     2,HASHIMOTO K,B-,1
M15,Undergraduate,JAPAN     3,HASHIMOTO K,A+,1
M15,Undergraduate,JAPAN     3,HASHIMOTO K,A,4
M15,Undergraduate,JAPAN     3,HASHIMOTO K,A-,4
M15,Undergraduate,JAPAN     3,HASHIMOTO K,B+,1
M15,Undergraduate,JAPAN     3,HASHIMOTO K,B,2
M15,Undergraduate,JAPAN     3,HASHIMOTO K,B-,1
M15,Undergraduate,JAPAN     3,HASHIMOTO K,C+,1
M15,Undergraduate,JAPAN     3,HASHIMOTO K,C,1
