Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M15,Undergraduate,LING     20,KENNEDY R A,A+,1
M15,Undergraduate,LING     20,KENNEDY R A,A,1
M15,Undergraduate,LING     20,KENNEDY R A,A-,2
M15,Undergraduate,LING     20,KENNEDY R A,B-,6
M15,Undergraduate,LING     20,KENNEDY R A,C+,3
M15,Undergraduate,LING     20,KENNEDY R A,C,1
M15,Undergraduate,LING     20,KENNEDY R A,D+,1
M15,Undergraduate,LING     20,KENNEDY R A,D-,1
M15,Undergraduate,LING     20,KENNEDY R A,F,1
M15,Undergraduate,LING     50,ARNOLD L,A+,1
M15,Undergraduate,LING     50,ARNOLD L,A,3
M15,Undergraduate,LING     50,ARNOLD L,A-,5
M15,Undergraduate,LING     50,ARNOLD L,B+,2
M15,Undergraduate,LING     50,ARNOLD L,B,1
M15,Undergraduate,LING     50,ARNOLD L,B-,2
M15,Undergraduate,LING     50,ARNOLD L,C+,1
M15,Undergraduate,LING     50,ARNOLD L,C,2
M15,Undergraduate,LING     50,ARNOLD L,D+,1
M15,Undergraduate,LING     70,KENNEDY R A,A,2
M15,Undergraduate,LING     70,KENNEDY R A,A-,2
M15,Undergraduate,LING     70,KENNEDY R A,B+,4
M15,Undergraduate,LING     70,KENNEDY R A,B,2
M15,Undergraduate,LING     70,KENNEDY R A,B-,2
M15,Undergraduate,LING     70,KENNEDY R A,C,1
M15,Undergraduate,LING     70,KENNEDY R A,C-,1
M15,Undergraduate,LING    132,WARNER-GARCIA,A+,2
M15,Undergraduate,LING    132,WARNER-GARCIA,A,8
M15,Undergraduate,LING    132,WARNER-GARCIA,A-,6
M15,Undergraduate,LING    132,WARNER-GARCIA,B+,2
M15,Undergraduate,LING    132,WARNER-GARCIA,B,1
M15,Undergraduate,LING    132,WARNER-GARCIA,B-,2
M15,Undergraduate,LING    132,WARNER-GARCIA,C+,1
M15,Undergraduate,LING    132,WARNER-GARCIA,C,2
M15,Undergraduate,LING    132,WARNER-GARCIA,D,2
M15,Undergraduate,LING    132,WARNER-GARCIA,F,1
