Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M15,Undergraduate,MCDB W  108A,SEARS D W,A+,3
M15,Undergraduate,MCDB W  108A,SEARS D W,A,7
M15,Undergraduate,MCDB W  108A,SEARS D W,A-,4
M15,Undergraduate,MCDB W  108A,SEARS D W,B+,1
M15,Undergraduate,MCDB W  108A,SEARS D W,B,5
M15,Undergraduate,MCDB W  108A,SEARS D W,B-,2
M15,Undergraduate,MCDB W  108A,SEARS D W,C+,9
M15,Undergraduate,MCDB W  108A,SEARS D W,C,7
M15,Undergraduate,MCDB W  108A,SEARS D W,C-,4
M15,Undergraduate,MCDB W  108A,SEARS D W,F,2
