Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M15,Undergraduate,PORT     16A,DA SILVA E V,A,1
M15,Undergraduate,PORT     16A,DA SILVA E V,A-,6
M15,Undergraduate,PORT     16A,DA SILVA E V,B+,2
M15,Undergraduate,PORT     16A,DA SILVA E V,B,5
M15,Undergraduate,PORT     16A,DA SILVA E V,B-,1
M15,Undergraduate,PORT     16B,VILLA FERNAND,A,1
M15,Undergraduate,PORT     16B,VILLA FERNAND,B+,1
M15,Undergraduate,PORT     16B,VILLA FERNAND,B,4
M15,Undergraduate,PORT     16B,VILLA FERNAND,B-,3
M15,Undergraduate,PORT     16B,VILLA FERNAND,C+,2
M15,Undergraduate,PORT     16B,VILLA FERNAND,C-,1
