Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M15,Undergraduate,PSTATW  120A,CARTER A V,A+,5
M15,Undergraduate,PSTATW  120A,CARTER A V,A,7
M15,Undergraduate,PSTATW  120A,CARTER A V,A-,4
M15,Undergraduate,PSTATW  120A,CARTER A V,B+,8
M15,Undergraduate,PSTATW  120A,CARTER A V,B,5
M15,Undergraduate,PSTATW  120A,CARTER A V,B-,5
M15,Undergraduate,PSTATW  120A,CARTER A V,C+,4
M15,Undergraduate,PSTATW  120A,CARTER A V,C,3
M15,Undergraduate,PSTATW  120A,CARTER A V,C-,1
M15,Undergraduate,PSTATW  120A,CARTER A V,F,4
M15,Undergraduate,PSTATW  182T,ICHIBA T,P,12
M15,Undergraduate,PSTATW  182T,ICHIBA T,NP,3
