Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M16,Undergraduate,CH ST     1A,GARCIA M T,A+,5
M16,Undergraduate,CH ST     1A,GARCIA M T,A,7
M16,Undergraduate,CH ST     1A,GARCIA M T,A-,12
M16,Undergraduate,CH ST     1A,GARCIA M T,B+,1
M16,Undergraduate,CH ST     1A,GARCIA M T,B,3
M16,Undergraduate,CH ST     1A,GARCIA M T,B-,7
M16,Undergraduate,CH ST     1A,GARCIA M T,C+,1
M16,Undergraduate,CH ST     1A,GARCIA M T,F,1
M16,Undergraduate,CH ST     1B,GARCIA M,A+,16
M16,Undergraduate,CH ST     1B,GARCIA M,A,9
M16,Undergraduate,CH ST     1B,GARCIA M,A-,1
M16,Undergraduate,CH ST     1B,GARCIA M,B+,1
M16,Undergraduate,CH ST     1B,GARCIA M,D,1
M16,Undergraduate,CH ST     1B,GARCIA M,F,1
M16,Undergraduate,CH ST     1C,TRUJILLO E N,A+,4
M16,Undergraduate,CH ST     1C,TRUJILLO E N,A,9
M16,Undergraduate,CH ST     1C,TRUJILLO E N,A-,4
M16,Undergraduate,CH ST     1C,TRUJILLO E N,B+,4
M16,Undergraduate,CH ST     1C,TRUJILLO E N,B,6
M16,Undergraduate,CH ST     1C,TRUJILLO E N,C,1
M16,Undergraduate,CH ST   138,CASILLAS D I,A,12
M16,Undergraduate,CH ST   138,CASILLAS D I,A-,1
M16,Undergraduate,CH ST   138,CASILLAS D I,B+,5
M16,Undergraduate,CH ST   138,CASILLAS D I,B,4
M16,Undergraduate,CH ST   138,CASILLAS D I,C+,5
M16,Undergraduate,CH ST   138,CASILLAS D I,C-,1
M16,Undergraduate,CH ST   138,CASILLAS D I,D,1
M16,Undergraduate,CH ST   148,HINOJOS S V,A+,2
M16,Undergraduate,CH ST   148,HINOJOS S V,A,5
M16,Undergraduate,CH ST   148,HINOJOS S V,A-,9
M16,Undergraduate,CH ST   148,HINOJOS S V,B+,3
M16,Undergraduate,CH ST   148,HINOJOS S V,B,3
M16,Undergraduate,CH ST   148,HINOJOS S V,B-,3
M16,Undergraduate,CH ST   148,HINOJOS S V,C+,1
M16,Undergraduate,CH ST   148,HINOJOS S V,C-,1
M16,Undergraduate,CH ST   148,HINOJOS S V,D,1
M16,Undergraduate,CH ST   149,BARRAGAN MIRA,A+,1
M16,Undergraduate,CH ST   149,BARRAGAN MIRA,A,3
M16,Undergraduate,CH ST   149,BARRAGAN MIRA,B,2
M16,Undergraduate,CH ST   149,BARRAGAN MIRA,B-,1
M16,Undergraduate,CH ST   149,BARRAGAN MIRA,C+,1
M16,Undergraduate,CH ST   149,BARRAGAN MIRA,C,1
M16,Undergraduate,CH ST   166,BERMUDEZ R C,A+,1
M16,Undergraduate,CH ST   166,BERMUDEZ R C,A,7
M16,Undergraduate,CH ST   166,BERMUDEZ R C,C+,2
M16,Undergraduate,CH ST   167,VILLANUEVA-NI,A+,5
M16,Undergraduate,CH ST   167,VILLANUEVA-NI,A,1
M16,Undergraduate,CH ST   167,VILLANUEVA-NI,A-,1
M16,Undergraduate,CH ST   167,VILLANUEVA-NI,B,1
M16,Undergraduate,CH ST   168F,ARMBRUSTER R,A-,2
M16,Undergraduate,CH ST   168F,ARMBRUSTER R,B+,6
M16,Undergraduate,CH ST   168F,ARMBRUSTER R,B,2
M16,Undergraduate,CH ST   168F,ARMBRUSTER R,B-,1
M16,Undergraduate,CH ST   168F,ARMBRUSTER R,C+,2
M16,Undergraduate,CH ST   168F,ARMBRUSTER R,F,2
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,A,1
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,A-,2
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,B+,1
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,B,4
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,B-,2
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,C+,2
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,C,1
M16,Undergraduate,CH ST   180,GARCIA-MARTIN,F,1
M16,Undergraduate,CH ST   184A,HERNANDEZ E D,A,8
M16,Undergraduate,CH ST   184A,HERNANDEZ E D,B,1
