Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,A+,3
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,A,26
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,A-,13
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,B+,11
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,B,20
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,B-,26
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,C+,29
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,C,33
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,C-,25
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,D,8
M16,Undergraduate,MCDB      1A,GONZALEZ NINO,F,25
M16,Undergraduate,MCDB      1AL,NGUYEN A T,A+,2
M16,Undergraduate,MCDB      1AL,NGUYEN A T,A,14
M16,Undergraduate,MCDB      1AL,NGUYEN A T,A-,12
M16,Undergraduate,MCDB      1AL,NGUYEN A T,B+,18
M16,Undergraduate,MCDB      1AL,NGUYEN A T,B,40
M16,Undergraduate,MCDB      1AL,NGUYEN A T,B-,20
M16,Undergraduate,MCDB      1AL,NGUYEN A T,C+,12
M16,Undergraduate,MCDB      1AL,NGUYEN A T,C,15
M16,Undergraduate,MCDB      1AL,NGUYEN A T,C-,2
M16,Undergraduate,MCDB      1AL,NGUYEN A T,D,4
M16,Undergraduate,MCDB      1AL,NGUYEN A T,F,2
M16,Undergraduate,MCDB      1B,LOW S H,A+,3
M16,Undergraduate,MCDB      1B,LOW S H,A,4
M16,Undergraduate,MCDB      1B,LOW S H,A-,7
M16,Undergraduate,MCDB      1B,LOW S H,B+,19
M16,Undergraduate,MCDB      1B,LOW S H,B,24
M16,Undergraduate,MCDB      1B,LOW S H,B-,25
M16,Undergraduate,MCDB      1B,LOW S H,C+,33
M16,Undergraduate,MCDB      1B,LOW S H,C,43
M16,Undergraduate,MCDB      1B,LOW S H,C-,31
M16,Undergraduate,MCDB      1B,LOW S H,D,26
M16,Undergraduate,MCDB      1B,LOW S H,F,10
M16,Undergraduate,MCDB      1BL,NGUYEN A T,A,2
M16,Undergraduate,MCDB      1BL,NGUYEN A T,A-,5
M16,Undergraduate,MCDB      1BL,NGUYEN A T,B+,7
M16,Undergraduate,MCDB      1BL,NGUYEN A T,B,14
M16,Undergraduate,MCDB      1BL,NGUYEN A T,B-,5
M16,Undergraduate,MCDB      1BL,NGUYEN A T,C+,4
M16,Undergraduate,MCDB      1BL,NGUYEN A T,C,4
M16,Undergraduate,MCDB      1BL,NGUYEN A T,D,2
M16,Undergraduate,MCDB     23,KOHL D M,A,9
M16,Undergraduate,MCDB     23,KOHL D M,A-,10
M16,Undergraduate,MCDB     23,KOHL D M,B+,5
M16,Undergraduate,MCDB     23,KOHL D M,B,1
M16,Undergraduate,MCDB     23,KOHL D M,B-,3
M16,Undergraduate,MCDB     23,KOHL D M,C,3
M16,Undergraduate,MCDB     23,KOHL D M,F,2
M16,Undergraduate,MCDB     92,GRIFFIN L Y,A,1
M16,Undergraduate,MCDB     92,GRIFFIN L Y,A-,1
M16,Undergraduate,MCDB     92,GRIFFIN L Y,B+,2
M16,Undergraduate,MCDB     92,GRIFFIN L Y,B-,3
M16,Undergraduate,MCDB     92,WILTON M B,A,2
M16,Undergraduate,MCDB     92,WILTON M B,A-,1
M16,Undergraduate,MCDB     92,WILTON M B,B+,3
M16,Undergraduate,MCDB     92,WILTON M B,B,3
M16,Undergraduate,MCDB     92,WILTON M B,B-,2
M16,Undergraduate,MCDB    101A,THROWER D A,A+,3
M16,Undergraduate,MCDB    101A,THROWER D A,A,39
M16,Undergraduate,MCDB    101A,THROWER D A,A-,6
