Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M16,Undergraduate,SPAN      1,IHLENDORF C E,A+,2
M16,Undergraduate,SPAN      1,IHLENDORF C E,A,4
M16,Undergraduate,SPAN      1,IHLENDORF C E,A-,4
M16,Undergraduate,SPAN      1,IHLENDORF C E,B+,2
M16,Undergraduate,SPAN      1,IHLENDORF C E,B,4
M16,Undergraduate,SPAN      1,IHLENDORF C E,B-,2
M16,Undergraduate,SPAN      1,IHLENDORF C E,C+,1
M16,Undergraduate,SPAN      1,IHLENDORF C E,C,2
M16,Undergraduate,SPAN      1,IHLENDORF C E,D,1
M16,Undergraduate,SPAN      1,IHLENDORF C E,F,1
M16,Undergraduate,SPAN      2,IHLENDORF C E,A,3
M16,Undergraduate,SPAN      2,IHLENDORF C E,A-,5
M16,Undergraduate,SPAN      2,IHLENDORF C E,B+,1
M16,Undergraduate,SPAN      2,IHLENDORF C E,B,5
M16,Undergraduate,SPAN      2,IHLENDORF C E,B-,5
M16,Undergraduate,SPAN      2,IHLENDORF C E,C+,1
M16,Undergraduate,SPAN      2,IHLENDORF C E,C,5
M16,Undergraduate,SPAN      2,IHLENDORF C E,C-,3
M16,Undergraduate,SPAN      2,IHLENDORF C E,D+,1
M16,Undergraduate,SPAN      2,IHLENDORF C E,D,2
M16,Undergraduate,SPAN      2,IHLENDORF C E,F,2
M16,Undergraduate,SPAN      3,IHLENDORF C E,A,1
M16,Undergraduate,SPAN      3,IHLENDORF C E,A-,1
M16,Undergraduate,SPAN      3,IHLENDORF C E,B,7
M16,Undergraduate,SPAN      3,IHLENDORF C E,B-,3
M16,Undergraduate,SPAN      3,IHLENDORF C E,C+,4
M16,Undergraduate,SPAN      3,IHLENDORF C E,C,9
M16,Undergraduate,SPAN      3,IHLENDORF C E,C-,5
M16,Undergraduate,SPAN      3,IHLENDORF C E,D+,1
M16,Undergraduate,SPAN      3,IHLENDORF C E,D,3
M16,Undergraduate,SPAN      3,IHLENDORF C E,D-,1
M16,Undergraduate,SPAN      3,IHLENDORF C E,F,2
M16,Undergraduate,SPAN    102L,KANA A,A+,1
M16,Undergraduate,SPAN    102L,KANA A,A,3
M16,Undergraduate,SPAN    102L,KANA A,A-,2
M16,Undergraduate,SPAN    102L,KANA A,B,2
M16,Undergraduate,SPAN    102L,KANA A,B-,1
M16,Undergraduate,SPAN    102L,KANA A,C+,1
M16,Undergraduate,SPAN    102L,KANA A,C,1
M16,Undergraduate,SPAN    110C,BERMUDEZ S,A+,1
M16,Undergraduate,SPAN    110C,BERMUDEZ S,A,2
M16,Undergraduate,SPAN    110C,BERMUDEZ S,A-,2
M16,Undergraduate,SPAN    110D,GRASSET MOREL,A,2
M16,Undergraduate,SPAN    110D,GRASSET MOREL,A-,2
M16,Undergraduate,SPAN    110D,GRASSET MOREL,B+,2
M16,Undergraduate,SPAN    110D,GRASSET MOREL,B,1
M16,Undergraduate,SPAN    111C,LUPI J P,A,2
M16,Undergraduate,SPAN    111C,LUPI J P,A-,4
M16,Undergraduate,SPAN    135,GARCIA-MARTIN,A,1
M16,Undergraduate,SPAN    135,GARCIA-MARTIN,A-,4
M16,Undergraduate,SPAN    135,GARCIA-MARTIN,B+,1
M16,Undergraduate,SPAN    135,GARCIA-MARTIN,B,1
M16,Undergraduate,SPAN    135,GARCIA-MARTIN,B-,2
M16,Undergraduate,SPAN    135,GARCIA-MARTIN,C+,2
M16,Undergraduate,SPAN    135,GARCIA-MARTIN,C,3
M16,Undergraduate,SPAN    147,GOMEZ O A,A,2
M16,Undergraduate,SPAN    147,GOMEZ O A,A-,1
M16,Undergraduate,SPAN    147,GOMEZ O A,B+,1
M16,Undergraduate,SPAN    147,GOMEZ O A,D+,1
