Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M16,Undergraduate,TMP     120,STERLING K W,A+,1
M16,Undergraduate,TMP     120,STERLING K W,A,11
M16,Undergraduate,TMP     120,STERLING K W,A-,7
M16,Undergraduate,TMP     120,STERLING K W,B+,11
M16,Undergraduate,TMP     120,STERLING K W,B,6
M16,Undergraduate,TMP     122,HAWKINS W M,A+,4
M16,Undergraduate,TMP     122,HAWKINS W M,A,2
M16,Undergraduate,TMP     122,HAWKINS W M,A-,5
M16,Undergraduate,TMP     122,HAWKINS W M,B+,5
M16,Undergraduate,TMP     122,HAWKINS W M,B,1
M16,Undergraduate,TMP     122,HAWKINS W M,B-,1
M16,Undergraduate,TMP     122,HAWKINS W M,C+,1
M16,Undergraduate,TMP     122,HAWKINS W M,C,1
