Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M17,Undergraduate,AS AM     1,ZHAO X,A+,4
M17,Undergraduate,AS AM     1,ZHAO X,A,6
M17,Undergraduate,AS AM     1,ZHAO X,A-,6
M17,Undergraduate,AS AM     1,ZHAO X,B+,12
M17,Undergraduate,AS AM     1,ZHAO X,B,14
M17,Undergraduate,AS AM     1,ZHAO X,B-,9
M17,Undergraduate,AS AM     1,ZHAO X,C+,8
M17,Undergraduate,AS AM     1,ZHAO X,C,7
M17,Undergraduate,AS AM     1,ZHAO X,F,2
M17,Undergraduate,AS AM     2,ZULUETA B C,A,3
M17,Undergraduate,AS AM     2,ZULUETA B C,A-,12
M17,Undergraduate,AS AM     2,ZULUETA B C,B+,16
M17,Undergraduate,AS AM     2,ZULUETA B C,B,16
M17,Undergraduate,AS AM     2,ZULUETA B C,B-,3
M17,Undergraduate,AS AM     2,ZULUETA B C,C+,2
M17,Undergraduate,AS AM     2,ZULUETA B C,C,2
M17,Undergraduate,AS AM     2,ZULUETA B C,C-,1
M17,Undergraduate,AS AM   100BB,WELTY L A,A,4
M17,Undergraduate,AS AM   100BB,WELTY L A,A-,2
M17,Undergraduate,AS AM   100BB,WELTY L A,B+,2
M17,Undergraduate,AS AM   100BB,WELTY L A,B,3
M17,Undergraduate,AS AM   100BB,WELTY L A,B-,1
M17,Undergraduate,AS AM   100BB,WELTY L A,C+,4
M17,Undergraduate,AS AM   100BB,WELTY L A,D,1
M17,Undergraduate,AS AM   100CC,ZULUETA B C,A,2
M17,Undergraduate,AS AM   100CC,ZULUETA B C,A-,1
M17,Undergraduate,AS AM   100CC,ZULUETA B C,B+,4
M17,Undergraduate,AS AM   100CC,ZULUETA B C,B,4
M17,Undergraduate,AS AM   100CC,ZULUETA B C,B-,6
M17,Undergraduate,AS AM   100CC,ZULUETA B C,C+,1
M17,Undergraduate,AS AM   100CC,ZULUETA B C,C,1
M17,Undergraduate,AS AM   118,HEINRICH R M,A,8
M17,Undergraduate,AS AM   118,HEINRICH R M,A-,5
M17,Undergraduate,AS AM   118,HEINRICH R M,B+,3
M17,Undergraduate,AS AM   118,HEINRICH R M,B,4
M17,Undergraduate,AS AM   118,HEINRICH R M,B-,1
M17,Undergraduate,AS AM   118,HEINRICH R M,C+,1
M17,Undergraduate,AS AM   118,HEINRICH R M,C,2
M17,Undergraduate,AS AM   118,HEINRICH R M,D,1
M17,Undergraduate,AS AM   157,MACIAS H C,A,5
M17,Undergraduate,AS AM   157,MACIAS H C,A-,10
M17,Undergraduate,AS AM   157,MACIAS H C,B+,1
M17,Undergraduate,AS AM   157,MACIAS H C,B,1
M17,Undergraduate,AS AM   157,MACIAS H C,F,1
M17,Undergraduate,AS AM   161,HOESLY D,A,1
M17,Undergraduate,AS AM   161,HOESLY D,A-,3
M17,Undergraduate,AS AM   161,HOESLY D,B+,2
M17,Undergraduate,AS AM   161,HOESLY D,B,3
M17,Undergraduate,AS AM   161,HOESLY D,B-,4
M17,Undergraduate,AS AM   161,HOESLY D,C,1
M17,Undergraduate,AS AM   161,HOESLY D,F,2
