Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,A+,11
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,A,5
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,A-,9
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,B+,10
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,B,7
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,B-,5
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,C,2
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,C-,1
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,D+,2
M17,Undergraduate,ASTRO     1,ANTONUCCI R R,F,1
