Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M17,Undergraduate,BL ST     1,GALICIA M G,A-,5
M17,Undergraduate,BL ST     1,GALICIA M G,B+,2
M17,Undergraduate,BL ST     1,GALICIA M G,B,6
M17,Undergraduate,BL ST     1,GALICIA M G,B-,7
M17,Undergraduate,BL ST     1,GALICIA M G,C+,5
M17,Undergraduate,BL ST     1,GALICIA M G,C,7
M17,Undergraduate,BL ST     1,GALICIA M G,C-,2
M17,Undergraduate,BL ST     1,GALICIA M G,D+,1
M17,Undergraduate,BL ST     1,GALICIA M G,D,2
M17,Undergraduate,BL ST     1,GALICIA M G,D-,1
M17,Undergraduate,BL ST     1,GALICIA M G,F,2
M17,Undergraduate,BL ST     3,AKUDINOBI J,A,12
M17,Undergraduate,BL ST     3,AKUDINOBI J,A-,9
M17,Undergraduate,BL ST     3,AKUDINOBI J,B+,12
M17,Undergraduate,BL ST     3,AKUDINOBI J,B,5
M17,Undergraduate,BL ST     3,AKUDINOBI J,B-,1
M17,Undergraduate,BL ST   126,AKUDINOBI J,A+,1
M17,Undergraduate,BL ST   126,AKUDINOBI J,A,7
M17,Undergraduate,BL ST   126,AKUDINOBI J,A-,16
M17,Undergraduate,BL ST   126,AKUDINOBI J,B+,6
M17,Undergraduate,BL ST   126,AKUDINOBI J,B,9
M17,Undergraduate,BL ST   126,AKUDINOBI J,B-,2
M17,Undergraduate,BL ST   126,AKUDINOBI J,C,1
M17,Undergraduate,BL ST   126,AKUDINOBI J,F,1
M17,Undergraduate,BL ST   153,BLAKE G K,A,7
M17,Undergraduate,BL ST   153,BLAKE G K,A-,6
M17,Undergraduate,BL ST   153,BLAKE G K,B+,4
M17,Undergraduate,BL ST   153,BLAKE G K,B,9
M17,Undergraduate,BL ST   153,BLAKE G K,B-,1
M17,Undergraduate,BL ST   153,BLAKE G K,C+,1
M17,Undergraduate,BL ST   153,BLAKE G K,C,2
M17,Undergraduate,BL ST   153,BLAKE G K,C-,2
M17,Undergraduate,BL ST   153,BLAKE G K,D,1
M17,Undergraduate,BL ST   174,GALICIA M G,A+,1
M17,Undergraduate,BL ST   174,GALICIA M G,A,9
M17,Undergraduate,BL ST   174,GALICIA M G,A-,7
M17,Undergraduate,BL ST   174,GALICIA M G,B+,3
M17,Undergraduate,BL ST   174,GALICIA M G,B,6
M17,Undergraduate,BL ST   174,GALICIA M G,B-,4
M17,Undergraduate,BL ST   174,GALICIA M G,C+,1
M17,Undergraduate,BL ST   174,GALICIA M G,C,2
M17,Undergraduate,BL ST   174,GALICIA M G,C-,1
M17,Undergraduate,BL ST   174,GALICIA M G,F,1
