Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M17,Undergraduate,C LIT    30A,MENON D R,A+,1
M17,Undergraduate,C LIT    30A,MENON D R,A,1
M17,Undergraduate,C LIT    30A,MENON D R,A-,3
M17,Undergraduate,C LIT    30A,MENON D R,B+,1
M17,Undergraduate,C LIT    30A,MENON D R,B,6
M17,Undergraduate,C LIT    30A,MENON D R,C+,1
M17,Undergraduate,C LIT    30A,MENON D R,C,6
M17,Undergraduate,C LIT    30A,MENON D R,C-,1
M17,Undergraduate,C LIT    30A,MENON D R,D,1
M17,Undergraduate,C LIT    30A,MENON D R,F,1
M17,Undergraduate,C LIT    30B,DONELAN J H,A,10
M17,Undergraduate,C LIT    30B,DONELAN J H,A-,4
M17,Undergraduate,C LIT    30B,DONELAN J H,B+,2
M17,Undergraduate,C LIT    30B,DONELAN J H,B,2
M17,Undergraduate,C LIT    30B,DONELAN J H,B-,1
M17,Undergraduate,C LIT    30B,DONELAN J H,C,1
M17,Undergraduate,C LIT    30C,BOSCAGLI M,A,7
M17,Undergraduate,C LIT    30C,BOSCAGLI M,A-,4
M17,Undergraduate,C LIT    30C,BOSCAGLI M,B+,1
M17,Undergraduate,C LIT    30C,BOSCAGLI M,B,2
M17,Undergraduate,C LIT    30C,BOSCAGLI M,B-,4
M17,Undergraduate,C LIT    31,HUR D,A,2
M17,Undergraduate,C LIT    31,HUR D,A-,9
M17,Undergraduate,C LIT    31,HUR D,B+,2
M17,Undergraduate,C LIT    31,HUR D,B,1
M17,Undergraduate,C LIT    31,HUR D,B-,2
M17,Undergraduate,C LIT    31,HUR D,C+,1
M17,Undergraduate,C LIT    31,HUR D,C,2
M17,Undergraduate,C LIT    31,HUR D,F,3
M17,Undergraduate,C LIT    32,RAHMAN A M,A+,3
M17,Undergraduate,C LIT    32,RAHMAN A M,A,2
M17,Undergraduate,C LIT    32,RAHMAN A M,A-,3
M17,Undergraduate,C LIT    32,RAHMAN A M,B+,2
M17,Undergraduate,C LIT    32,RAHMAN A M,B-,3
M17,Undergraduate,C LIT    32,RAHMAN A M,C+,1
M17,Undergraduate,C LIT    32,RAHMAN A M,C,1
M17,Undergraduate,C LIT    33,MAGEARU A,A,1
M17,Undergraduate,C LIT    33,MAGEARU A,A-,4
M17,Undergraduate,C LIT    33,MAGEARU A,B+,4
M17,Undergraduate,C LIT    33,MAGEARU A,B,1
M17,Undergraduate,C LIT    33,MAGEARU A,B-,1
M17,Undergraduate,C LIT    33,MAGEARU A,C+,1
M17,Undergraduate,C LIT    33,MAGEARU A,F,1
M17,Undergraduate,C LIT    34,SCHRANCK J B,A+,1
M17,Undergraduate,C LIT    34,SCHRANCK J B,A,4
M17,Undergraduate,C LIT    34,SCHRANCK J B,A-,2
M17,Undergraduate,C LIT    34,SCHRANCK J B,B+,4
M17,Undergraduate,C LIT    34,SCHRANCK J B,B,3
M17,Undergraduate,C LIT    34,SCHRANCK J B,C+,1
M17,Undergraduate,C LIT   113,NESCI C,A+,5
M17,Undergraduate,C LIT   113,NESCI C,A,13
M17,Undergraduate,C LIT   113,NESCI C,A-,5
M17,Undergraduate,C LIT   113,NESCI C,B+,4
M17,Undergraduate,C LIT   113,NESCI C,B,1
M17,Undergraduate,C LIT   113,NESCI C,C+,1
M17,Undergraduate,C LIT   113,NESCI C,C,1
M17,Undergraduate,C LIT   113,NESCI C,F,2
M17,Undergraduate,C LIT   153,MCCRACKEN E,A-,2
M17,Undergraduate,C LIT   153,MCCRACKEN E,B+,3
M17,Undergraduate,C LIT   153,MCCRACKEN E,B,1
M17,Undergraduate,C LIT   153,MCCRACKEN E,B-,5
M17,Undergraduate,C LIT   153,MCCRACKEN E,C,1
M17,Undergraduate,C LIT   170,JAN K L,A+,1
M17,Undergraduate,C LIT   170,JAN K L,A,12
M17,Undergraduate,C LIT   170,JAN K L,A-,3
M17,Undergraduate,C LIT   170,JAN K L,B+,3
