Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M17,Undergraduate,CHEM W  142A,KAHN K,A,3
M17,Undergraduate,CHEM W  142A,KAHN K,A-,1
M17,Undergraduate,CHEM W  142A,KAHN K,B+,3
M17,Undergraduate,CHEM W  142A,KAHN K,B,1
M17,Undergraduate,CHEM W  142A,KAHN K,B-,1
M17,Undergraduate,CHEM W  142A,KAHN K,C+,1
M17,Undergraduate,CHEM W  142A,KAHN K,C,1
M17,Undergraduate,CHEM W  142A,KAHN K,D+,1
M17,Undergraduate,CHEM W  142A,KAHN K,D,1
M17,Undergraduate,CHEM W  142A,KAHN K,D-,1
M17,Undergraduate,CHEM W  142A,KAHN K,F,4
