Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M17,Undergraduate,CHIN     40,XIE F,A,9
M17,Undergraduate,CHIN     40,XIE F,A-,6
M17,Undergraduate,CHIN     40,XIE F,B+,5
M17,Undergraduate,CHIN     40,XIE F,B,1
M17,Undergraduate,CHIN     40,XIE F,B-,4
M17,Undergraduate,CHIN     40,XIE F,C+,1
M17,Undergraduate,CHIN    103,HSU C-C,A,10
M17,Undergraduate,CHIN    103,HSU C-C,A-,2
M17,Undergraduate,CHIN    103,HSU C-C,B+,2
M17,Undergraduate,CHIN    125,GUAN D,A,7
M17,Undergraduate,CHIN    125,GUAN D,A-,1
M17,Undergraduate,CHIN    125,GUAN D,B+,2
