Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M17,Undergraduate,SOC       1,KAPDAN O,A+,1
M17,Undergraduate,SOC       1,KAPDAN O,A,8
M17,Undergraduate,SOC       1,KAPDAN O,A-,4
M17,Undergraduate,SOC       1,KAPDAN O,B+,7
M17,Undergraduate,SOC       1,KAPDAN O,B,4
M17,Undergraduate,SOC       1,KAPDAN O,B-,5
M17,Undergraduate,SOC       1,KAPDAN O,C+,3
M17,Undergraduate,SOC       1,KAPDAN O,C,3
M17,Undergraduate,SOC       1,KAPDAN O,C-,2
M17,Undergraduate,SOC       1,KAPDAN O,F,1
M17,Undergraduate,SOC       1,MCCUMBER A H,A,42
M17,Undergraduate,SOC       1,MCCUMBER A H,A-,9
M17,Undergraduate,SOC       1,MCCUMBER A H,B+,5
M17,Undergraduate,SOC       1,MCCUMBER A H,C,1
M17,Undergraduate,SOC       1,MCCUMBER A H,F,1
M17,Undergraduate,SOC     108,CAST A D,A+,1
M17,Undergraduate,SOC     108,CAST A D,A,7
M17,Undergraduate,SOC     108,CAST A D,A-,6
M17,Undergraduate,SOC     108,CAST A D,B+,3
M17,Undergraduate,SOC     108,CAST A D,B,9
M17,Undergraduate,SOC     108,CAST A D,B-,3
M17,Undergraduate,SOC     108,CAST A D,C+,2
M17,Undergraduate,SOC     108,CAST A D,C,4
M17,Undergraduate,SOC     108,CAST A D,C-,1
M17,Undergraduate,SOC     108,CAST A D,D+,1
M17,Undergraduate,SOC     108,CAST A D,F,4
M17,Undergraduate,SOC     108ST,ORNELAS A,A+,5
M17,Undergraduate,SOC     108ST,ORNELAS A,A,15
M17,Undergraduate,SOC     108ST,ORNELAS A,A-,5
M17,Undergraduate,SOC     108ST,ORNELAS A,B+,3
M17,Undergraduate,SOC     108ST,ORNELAS A,B,2
M17,Undergraduate,SOC     108ST,ORNELAS A,B-,2
M17,Undergraduate,SOC     130SG,GOW J N,A+,9
M17,Undergraduate,SOC     130SG,GOW J N,A,10
M17,Undergraduate,SOC     130SG,GOW J N,A-,14
M17,Undergraduate,SOC     130SG,GOW J N,B+,9
M17,Undergraduate,SOC     130SG,GOW J N,B,6
M17,Undergraduate,SOC     130SG,GOW J N,B-,1
M17,Undergraduate,SOC     130SG,GOW J N,C+,1
M17,Undergraduate,SOC     130SG,GOW J N,C,5
M17,Undergraduate,SOC     130SG,GOW J N,C-,1
M17,Undergraduate,SOC     130SG,GOW J N,D+,1
M17,Undergraduate,SOC     130SG,GOW J N,D,1
M17,Undergraduate,SOC     130SG,GOW J N,F,5
M17,Undergraduate,SOC     130SG,KING Z T,A+,1
M17,Undergraduate,SOC     130SG,KING Z T,A,22
M17,Undergraduate,SOC     130SG,KING Z T,A-,13
M17,Undergraduate,SOC     130SG,KING Z T,B+,6
M17,Undergraduate,SOC     130SG,KING Z T,B,8
M17,Undergraduate,SOC     130SG,KING Z T,B-,8
M17,Undergraduate,SOC     130SG,KING Z T,D,1
M17,Undergraduate,SOC     130SG,KING Z T,F,1
M17,Undergraduate,SOC     134,KAPDAN O,A+,9
M17,Undergraduate,SOC     134,KAPDAN O,A,5
M17,Undergraduate,SOC     134,KAPDAN O,A-,9
M17,Undergraduate,SOC     134,KAPDAN O,B+,4
M17,Undergraduate,SOC     134,KAPDAN O,B,4
M17,Undergraduate,SOC     134,KAPDAN O,B-,8
M17,Undergraduate,SOC     134,KAPDAN O,C+,1
M17,Undergraduate,SOC     134,KAPDAN O,C,2
M17,Undergraduate,SOC     134,KAPDAN O,C-,4
M17,Undergraduate,SOC     134,KAPDAN O,D+,1
M17,Undergraduate,SOC     134,KAPDAN O,D,1
M17,Undergraduate,SOC     134,KAPDAN O,F,3
M17,Undergraduate,SOC     139RN,STERPHONE J,A+,4
M17,Undergraduate,SOC     139RN,STERPHONE J,A,3
M17,Undergraduate,SOC     139RN,STERPHONE J,A-,12
M17,Undergraduate,SOC     139RN,STERPHONE J,B+,8
M17,Undergraduate,SOC     139RN,STERPHONE J,B,14
M17,Undergraduate,SOC     139RN,STERPHONE J,B-,7
M17,Undergraduate,SOC     139RN,STERPHONE J,C+,3
M17,Undergraduate,SOC     139RN,STERPHONE J,C,2
M17,Undergraduate,SOC     144,RODRIGUEZ L V,A+,1
M17,Undergraduate,SOC     144,RODRIGUEZ L V,A,7
M17,Undergraduate,SOC     144,RODRIGUEZ L V,A-,10
M17,Undergraduate,SOC     144,RODRIGUEZ L V,B+,7
M17,Undergraduate,SOC     144,RODRIGUEZ L V,B,6
M17,Undergraduate,SOC     144,RODRIGUEZ L V,B-,6
M17,Undergraduate,SOC     144,RODRIGUEZ L V,C+,2
M17,Undergraduate,SOC     144,RODRIGUEZ L V,C,2
M17,Undergraduate,SOC     144,RODRIGUEZ L V,D+,1
M17,Undergraduate,SOC     144,RODRIGUEZ L V,D,1
M17,Undergraduate,SOC     144,RODRIGUEZ L V,F,2
M17,Undergraduate,SOC     144LI,RANGEL S L,A+,12
M17,Undergraduate,SOC     144LI,RANGEL S L,A,11
M17,Undergraduate,SOC     144LI,RANGEL S L,A-,9
M17,Undergraduate,SOC     144LI,RANGEL S L,B+,5
M17,Undergraduate,SOC     144LI,RANGEL S L,B,5
M17,Undergraduate,SOC     144LI,RANGEL S L,B-,2
M17,Undergraduate,SOC     144LI,RANGEL S L,C+,2
M17,Undergraduate,SOC     144LI,RANGEL S L,D,1
M17,Undergraduate,SOC     144LI,RANGEL S L,F,2
M17,Undergraduate,SOC     144S,GONZALES G G,A+,2
M17,Undergraduate,SOC     144S,GONZALES G G,A,25
M17,Undergraduate,SOC     144S,GONZALES G G,A-,14
M17,Undergraduate,SOC     144S,GONZALES G G,B+,5
M17,Undergraduate,SOC     144S,GONZALES G G,B,4
